museum,place,title,date_range,year,period,url,description,category
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,24.01.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/394,"Реконструкция галерейной жизни 1990-х в фонде «Екатерина», транквилизация памяти художника Богдана Мамонова в ММСИ, первая персональная выставка в Манеже лауреата Премии Кандинского прошлого года Евгения Гранильщикова и волшебные истории Музея Москвы для самых маленьких — в этот раз все самые свежие выставки недели! В Московском музее современного искусства (ММСИ) только что открылась выставка художника Богдана Мамонова «Транквилизация памяти»",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,04.09.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/759,Пополнение в Отделе личных коллекций ГМИИ им,национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,11.09.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/771,"Выставка о диалоге рамы и картины в Третьяковской галерее, ретроспектива классика русского искусства ХХ века Эрика Булатова в Манеже, первая в России выставка отца современного стиля в дизайне Чарльза Ренни Макинтоша в Музеях Московского Кремля",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,18.09.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/786,"Выставка, посвященная раме в искусстве в Третьяковской галерее, Виноградов с Дубосарским с картинами о Москве, возвращенный из небытия один из учеников Павла Филонова в Музее истории Петербурга",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,24.09.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/800,"Фотографии Аркадия Шайхета в Мультимедиа Арт Музее, наследие Обри Бердслея в ГМИИ им",западное искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,01.10.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/821,"Обнаженное тело в русском искусстве в Третьяковской галерее, Британский дизайн в ГМИИ им",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,09.10.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/847,"Коллекция фотографии UniСredit Group в Мультимедиа Арт Музее, первая ретроспектива одной из легенд советского андерграунда Юрия Соболева, шедевры Императорского фарфорового завода в музее-заповеднике «Царицыно»",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,16.10.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/870,"Открытие новой московской галереи ArtStory с выставкой художников-кинетистов, лучшие фотографы ХХ века в ГМИИ им",западное искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,27.11.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/1023,"Выставка самой знаменитой пары русского авангарда, Александра Родченко и Варвары Степановой, в ГМИИ им",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,04.12.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/1050,"Ретроспектива одного из самых знаковых художников-нонконформистов Владимира Вейсберга в фонде IN ARTIBUS, выставка о сотрудничестве Сальвадора Дали с медиа в Московском музее современного искусства, дары европейских и восточных монархов русским царям в Эрмитаже",восточное искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,12.12.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/1086,"Выставка рисунка в Институте русского реалистического искусства, новый проект московского художника Сергея Шеховцова в Stella Art Foundation, Фрэнсис Бэкон в Государственном Эрмитаже, впервые в России",национальное российское искусство
The Art Newspaper Russia,Выставки,Приглашения,12.12.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/1090,"Выставка Моисея Фейгина, художника «Бубнового валета», прожившего 104 года, и видевшего Россию от Николая II до Путина, «Формы существования» Ивана Лубенникова, железная дорога глазами современных художников на «Винзаводе» и документальный фильм о вывернутом наизнанку искусстве",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,19.12.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/1112,Шедевры итальянского Возрождения в ГМИИ им,западное искусство
The Art Newspaper Russia,Выставки,Эль Греко: триумф спустя четыре века,22.12.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/1118,400-летие смерти художника отметили выставками практически все ведущие мировые музеи,западное искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,26.12.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/1145,"Первая в России ретроспектива Пауля Клее из швейцарских собраний, классик ХХ века британский художник Фрэнсис Бэкон в Государственном Эрмитаже, выставка коллекции икон и церковной старины в Русском музее",западное искусство
The Art Newspaper Russia,Выставки,Спешите увидеть на новогодних каникулах,30.12.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/1153,Москва,национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,28.08.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/744,"Выставка Анны Голубкиной к ее 150-летнему юбилею в Третьяковской галерее, а также выставки российского видеоарта и графики Евгения Чубарова в Государственном центре современного искусства в рамках Фестиваля коллекций современного искусства",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,21.08.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/734,"Швейцарское современное искусство в Москве, выставка, посвященная зарождению шедевра в Третьяковской галерее, ретроспектива классика литовской фотографии в Центре фотографии им",западное искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,01.02.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/404,"Анатолий Зверев в преддверии музея, две прекрасные выставки на «Винзаводе», Дега в Санкт-Петербурге — несмотря на холод, искусство всегда радует",национальное российское искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,07.08.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/717,"«Москва в годы Первой мировой войны» в Музее Москвы, выставка частных коллекций, реконструированных в интерьерах их собирателей в ГМИИ им",национальное российское искусство
The Art Newspaper Russia,Выставки,Три самые интересные выставки недели,14.08.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/728,"Неизвестная Вера Мухина из запасников Третьяковской галереи, международные звезды искусства 1990-х в Музее современного искусства «Гараж», выставка о семейных ценностях в Русском музее",национальное российское искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,11.02.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/419,"Все самые лучшие спортивные выставки этой недели в Москве: в ИРРИ — «Советский спорт», в Манеже — «Сезон побед», в МАММ — «Россия на Олимпиадах», в галерее «Проун» — «Спорткульт»",национальное российское искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,22.02.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/448,"Все аспекты света в ГЦСИ, Уорхол с портретами знаменитых евреев в Еврейском музее, Антуфьев и дельфинчики в МАММ и художник Георгий Артемов в галерее «Эритаж» — все самые лучшие выставки этой недели",национальное российское искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,28.02.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/460,"Все про традиции застольных чаепитий в усадьбе Люблино, Серебрякова и ее дети в Третьяковке, «Игра в цирк» в ММОМА и цветочные натюрморты голландских мастеров в Петербурге на выставках этой недели",западное искусство
The Art Newspaper Russia,Выставки,Четыре самые интересные выставки этой недели,14.03.2014,2014,pre_2022,https://www.theartnewspaper.ru/posts/484,"Стрит-арт в Московском музее современного искусства, Гончарова и Бакст в галерее «Наши художники», картины Гутова в «Триумфе» и несуществующий «Реквием» Корина в Третьяковке — самые интересные выставки этой недели",западное искусство
