period,word,tfidf_avg_score
before_2022,искусства,0.0308
before_2022,современного,0.0209
before_2022,выставку,0.0137
before_2022,проект,0.014
before_2022,галерее,0.0159
before_2022,искусство,0.0146
before_2022,центре,0.0084
before_2022,проходит,0.0114
before_2022,арт,0.013
before_2022,летию,0.0114
after_2022,искусства,0.0266
after_2022,современного,0.0136
after_2022,выставку,0.0167
after_2022,проект,0.0146
after_2022,галерее,0.0111
after_2022,искусство,0.0103
after_2022,центре,0.0148
after_2022,проходит,0.0117
after_2022,арт,0.0094
after_2022,летию,0.0094
