page_number,link_text,event_url
1,Прокуратура Манхэттена вернула Италии и Ватикану украденные древности,https://artguide.ru/news/10579
1,Российские специалисты создадут цифровой архив памятников Африки и исламского мира,https://artguide.ru/news/10578
1,Москва возглавила мировой рейтинг по числу туристических достопримечательностей,https://artguide.ru/news/10577
1,В Петербурге пройдет лекция главного редактора «Артгида» Марии Кравцовой,https://artguide.ru/news/10576
1,Музей Ритберг передал Нигерии право собственности на 11 вывезенных артефактов,https://artguide.ru/news/10575
1,Работу Беллини отреставрируют на глазах у публики,https://artguide.ru/news/10574
1,Татьяна Шаршавицкая назначена исполнительным директором Еврейского музея и центра толерантности,https://artguide.ru/news/10573
1,Открылась вторая Мальтийская биеннале современного искусства,https://artguide.ru/news/10572
1,Музей Метрополитен приобрел считавшуюся утраченной картину Россо Фьорентино,https://artguide.ru/news/10571
1,Ярмарка Art Dubai будет перенесена из-за ситуации на Востоке,https://artguide.ru/news/10570
1,На затонувшем корабле лорда Элгина нашли фрагмент Парфенона,https://artguide.ru/news/10569
1,Ярмарки «Контур» и «Контур. Фото» пройдут на новой площадке,https://artguide.ru/news/10568
1,Фонд Потанина удвоил финансирование программы «Музей без границ»,https://artguide.ru/news/10567
1,Новый музей современного искусства в Нью-Йорке расширяется,https://artguide.ru/news/10566
1,Польский суд удовлетворил запрос Украины об экстрадиции археолога Александра Бутягина,https://artguide.ru/news/10565
1,В Феодосии обрушилась стена армянского храма XV века,https://artguide.ru/news/10564
1,На границе Германии и Польши найден средневековый город,https://artguide.ru/news/10563
1,"В Ватикане обнаружили картину Эль Греко, спрятанную за подделкой",https://artguide.ru/news/10562
1,"В департаменте музеев и поддержки циркового искусства, «РОСИЗО» и «Архангельском» сменилось руководство",https://artguide.ru/news/10561
1,В испанском замке Эскалона обрушилась средневековая башня,https://artguide.ru/news/10560
1,Расследование Reuters раскрыло личность Бэнкси,https://artguide.ru/news/10559
1,В Ново-Переделкине откроется музей Федора Шехтеля,https://artguide.ru/news/10558
1,Британия ввела временный запрет на вывоз картины Говарда Ходжкина,https://artguide.ru/news/10557
1,Музей «Гараж» объявил программу на 2026 год,https://artguide.ru/news/10556
1,Древний ливанский город Тир пострадал во время военных действий на Востоке,https://artguide.ru/news/10555
1,В Лондоне откроют для посещения Банкетинг-хаус с работами Рубенса,https://artguide.ru/news/10554
1,В Петрозаводске сгорел Дом горного начальника,https://artguide.ru/news/10553
1,Ушел из жизни художник и куратор Виктор Сачивко,https://artguide.ru/news/10552
1,Музей Метрополитен и Lego выпустили набор по картине Клода Моне,https://artguide.ru/news/10551
1,Один из архитектурных памятников Белого города в Тель-Авиве поврежден в ходе ракетного удара,https://artguide.ru/news/10550
1,Британский музей ищет украденные гравюры спустя 30 лет после кражи,https://artguide.ru/news/10549
1,Галерея «Виктория» в Самаре открывается после реконструкции,https://artguide.ru/news/10548
1,Россия представит музыкальный перформанс на открытии 61-й Венецианской биеннале,https://artguide.ru/news/10547
1,Фонд Потанина объявил победителей программы музейно-театральных гастролей,https://artguide.ru/news/10546
