museum,year,period,title,detected_entity,detected_country,category_final,classification_method,wiki_title,wiki_url,wikipedia_search_url
Pushkin Museum,2026,post_2022,Беатриса Сандомирская. 1894–1974,Беатриса Сандомирская,,Unknown,wikipedia_no_country_detected,"Сандомирская, Беатриса Юрьевна","https://ru.wikipedia.org/wiki/Сандомирская,_Беатриса_Юрьевна",https://ru.wikipedia.org/w/index.php?search=%D0%91%D0%B5%D0%B0%D1%82%D1%80%D0%B8%D1%81%D0%B0%20%D0%A1%D0%B0%D0%BD%D0%B4%D0%BE%D0%BC%D0%B8%D1%80%D1%81%D0%BA%D0%B0%D1%8F.%201894%E2%80%931974
Pushkin Museum,2020,pre_2022,Тату,Тату,,Unknown,wikipedia_no_country_detected,Тат,https://ru.wikipedia.org/wiki/Тат,https://ru.wikipedia.org/w/index.php?search=%D0%A2%D0%B0%D1%82%D1%83
Pushkin Museum,2020,pre_2022,"Дагеротип, автохром, поляроид. 1/1",Дагеротип,,Unknown,wikipedia_no_country_detected,Дагеротипия,https://ru.wikipedia.org/wiki/Дагеротипия,https://ru.wikipedia.org/w/index.php?search=%D0%94%D0%B0%D0%B3%D0%B5%D1%80%D0%BE%D1%82%D0%B8%D0%BF%2C%20%D0%B0%D0%B2%D1%82%D0%BE%D1%85%D1%80%D0%BE%D0%BC%2C%20%D0%BF%D0%BE%D0%BB%D1%8F%D1%80%D0%BE%D0%B8%D0%B4.%201/1
Pushkin Museum,2018,pre_2022,Тадаси Кавамата. На птичьих правах / Para-site Project,Тадаси Кавамата,,Unknown,wikipedia_no_country_detected,Фукусима (префектура),https://ru.wikipedia.org/wiki/Фукусима_(префектура),https://ru.wikipedia.org/w/index.php?search=%D0%A2%D0%B0%D0%B4%D0%B0%D1%81%D0%B8%20%D0%9A%D0%B0%D0%B2%D0%B0%D0%BC%D0%B0%D1%82%D0%B0.%20%D0%9D%D0%B0%20%D0%BF%D1%82%D0%B8%D1%87%D1%8C%D0%B8%D1%85%20%D0%BF%D1%80%D0%B0%D0%B2%D0%B0%D1%85%20/%20Para-site%20Project
Pushkin Museum,2016,pre_2022,Мир впечатлений и впечатления от мира. Путешествия доктора Живаго,Живаго,,Unknown,wikipedia_no_country_detected,Доктор Живаго,https://ru.wikipedia.org/wiki/Доктор_Живаго,https://ru.wikipedia.org/w/index.php?search=%D0%9C%D0%B8%D1%80%20%D0%B2%D0%BF%D0%B5%D1%87%D0%B0%D1%82%D0%BB%D0%B5%D0%BD%D0%B8%D0%B9%20%D0%B8%20%D0%B2%D0%BF%D0%B5%D1%87%D0%B0%D1%82%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BE%D1%82%20%D0%BC%D0%B8%D1%80%D0%B0.%20%D0%9F%D1%83%D1%82%D0%B5%D1%88%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D1%8F%20%D0%B4%D0%BE%D0%BA%D1%82%D0%BE%D1%80%D0%B0%20%D0%96%D0%B8%D0%B2%D0%B0%D0%B3%D0%BE
Pushkin Museum,2016,pre_2022,Карандашная манера,Карандашная,,Unknown,wikipedia_no_country_detected,Карандашный тест,https://ru.wikipedia.org/wiki/Карандашный_тест,https://ru.wikipedia.org/w/index.php?search=%D0%9A%D0%B0%D1%80%D0%B0%D0%BD%D0%B4%D0%B0%D1%88%D0%BD%D0%B0%D1%8F%20%D0%BC%D0%B0%D0%BD%D0%B5%D1%80%D0%B0
Pushkin Museum,2016,pre_2022,Техники гравюры: Акватинта,Акватинта,,Unknown,wikipedia_no_country_detected,Акватинта,https://ru.wikipedia.org/wiki/Акватинта,https://ru.wikipedia.org/w/index.php?search=%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8%20%D0%B3%D1%80%D0%B0%D0%B2%D1%8E%D1%80%D1%8B%3A%20%D0%90%D0%BA%D0%B2%D0%B0%D1%82%D0%B8%D0%BD%D1%82%D0%B0
Pushkin Museum,2015,pre_2022,Техники гравюры: Офорт,Офорт,,Unknown,wikipedia_no_country_detected,Офорт,https://ru.wikipedia.org/wiki/Офорт,https://ru.wikipedia.org/w/index.php?search=%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D0%BA%D0%B8%20%D0%B3%D1%80%D0%B0%D0%B2%D1%8E%D1%80%D1%8B%3A%20%D0%9E%D1%84%D0%BE%D1%80%D1%82
Tretyakov Gallery,2023,post_2022,Николай Вечтомов. К 100-летию художника,Николай Вечтомов,,Unknown,wikipedia_no_country_detected,Шариковая ручка,https://ru.wikipedia.org/wiki/Шариковая_ручка,https://ru.wikipedia.org/w/index.php?search=%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%20%D0%92%D0%B5%D1%87%D1%82%D0%BE%D0%BC%D0%BE%D0%B2.%20%D0%9A%20100-%D0%BB%D0%B5%D1%82%D0%B8%D1%8E%20%D1%85%D1%83%D0%B4%D0%BE%D0%B6%D0%BD%D0%B8%D0%BA%D0%B0
Tretyakov Gallery,2022,transition_2022,Святитель Николай Чудотворец. Иконы XIII–XX веков,Николай Чудотворец,,Unknown,wikipedia_no_country_detected,Николай Чудотворец,https://ru.wikipedia.org/wiki/Николай_Чудотворец,https://ru.wikipedia.org/w/index.php?search=%D0%A1%D0%B2%D1%8F%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%20%D0%A7%D1%83%D0%B4%D0%BE%D1%82%D0%B2%D0%BE%D1%80%D0%B5%D1%86.%20%D0%98%D0%BA%D0%BE%D0%BD%D1%8B%20XIII%E2%80%93XX%20%D0%B2%D0%B5%D0%BA%D0%BE%D0%B2
Tretyakov Gallery,2021,pre_2022,Юрий Пименов,Юрий Пименов,,Unknown,wikipedia_no_country_detected,Борьба за киевскую митрополию (1379—1389),https://ru.wikipedia.org/wiki/Борьба_за_киевскую_митрополию_(1379—1389),https://ru.wikipedia.org/w/index.php?search=%D0%AE%D1%80%D0%B8%D0%B9%20%D0%9F%D0%B8%D0%BC%D0%B5%D0%BD%D0%BE%D0%B2
Tretyakov Gallery,2020,pre_2022,Алла Урбан. Из железа в каплю света,Алла Урбан,,Unknown,wikipedia_no_country_detected,Парк Малевича,https://ru.wikipedia.org/wiki/Парк_Малевича,https://ru.wikipedia.org/w/index.php?search=%D0%90%D0%BB%D0%BB%D0%B0%20%D0%A3%D1%80%D0%B1%D0%B0%D0%BD.%20%D0%98%D0%B7%20%D0%B6%D0%B5%D0%BB%D0%B5%D0%B7%D0%B0%20%D0%B2%20%D0%BA%D0%B0%D0%BF%D0%BB%D1%8E%20%D1%81%D0%B2%D0%B5%D1%82%D0%B0
Tretyakov Gallery,2019,pre_2022,Мария Якунчикова. Фотопортрет художницы,Мария Якунчикова,,Unknown,wikipedia_no_country_detected,"Якунчиков, Василий Иванович","https://ru.wikipedia.org/wiki/Якунчиков,_Василий_Иванович",https://ru.wikipedia.org/w/index.php?search=%D0%9C%D0%B0%D1%80%D0%B8%D1%8F%20%D0%AF%D0%BA%D1%83%D0%BD%D1%87%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0.%20%D0%A4%D0%BE%D1%82%D0%BE%D0%BF%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82%20%D1%85%D1%83%D0%B4%D0%BE%D0%B6%D0%BD%D0%B8%D1%86%D1%8B
