Unnamed: 0,title,date,url
0,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/stepan-erzya-skulptor-mira-k-150-letiyu-so-dnya-rozhdeniya/
1,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/epokha-imperatora-aleksandra-iii-i-eye-nasledie/
2,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/arkhip-kuindzhi-illyuziya-sveta/
3,Русская традиция,6+,https://rusmuseum.ru/exhibitions/archive/russkaya-traditsiya/
4,Наш авангард,6+,https://rusmuseum.ru/exhibitions/archive/nash-avangard/
5,Фёдор Васильев. К 175-летию со дня рождения,#ВЫСТАВКИ,https://rusmuseum.ru/exhibitions/archive/fyedor-vasilev-k-175-letiyu-so-dnya-rozhdeniya/
6,Василий Пушкарёв (1915–2002). Директор Русского музея в 1951–1977 годах,28 января 2026,https://rusmuseum.ru/exhibitions/archive/direktor-russkogo-muzeya-vasiliy-alekseevich-pushkarev-1915-2002/
7,Русский декоративный поднос,0+,https://rusmuseum.ru/exhibitions/archive/russkiy-dekorativnyy-podnos/
8,Виктор Васнецов. К 175-летию со дня рождения,0+,https://rusmuseum.ru/exhibitions/archive/viktor-vasnetsov-k-175-letiyu-so-dnya-rozhdeniya/
9,Образовательно-выставочный проект «Арт-лаборатория „Сила света”»,20 декабря 2025,https://rusmuseum.ru/exhibitions/archive/obrazovatelno-vystavochnyy-proekt-art-laboratoriya-sila-sveta-/
10,Выставочный проект «Сообщество печати»,0+,https://rusmuseum.ru/exhibitions/archive/vystavochnyy-proekt-soobshchestvo-pechati/
11,Портрет Империи. Репин и Государственный совет,0+,https://rusmuseum.ru/exhibitions/archive/portret-imperii-repin-i-gosudarstvennyy-sovet/
12,Алексей Боголюбов (1824–1896). К 200-летию художника,0+,https://rusmuseum.ru/exhibitions/archive/aleksey-bogolyubov-1824-1896-k-200-letiyu-khudozhnika/
13,Иконы из коллекции Сергея Григорьевича Строганова,0+,https://rusmuseum.ru/exhibitions/archive/ikony-iz-kollektsii-sergeya-grigorevicha-stroganova/
14,Русские императорские сервизы,0+,https://rusmuseum.ru/exhibitions/archive/russkie-imperatorskie-servizy/
15,Великий Карл. К 225-летию со дня рождения К.П. Брюллова,6+,https://rusmuseum.ru/exhibitions/archive/velikiy-karl-k-225-letiyu-so-dnya-rozhdeniya-k-p-bryullova/
16,Детский взгляд: портрет в творчестве ребенка,23 марта 2024,https://rusmuseum.ru/exhibitions/archive/detskiy-vzglyad-portret-v-tvorchestve-rebenka/
17,Мультимедийная выставка «Петр Первый. «Силы духа необъятной…»,1 апреля 2024,https://rusmuseum.ru/exhibitions/archive/multimediynaya-vystavka-petr-pervyy-sily-dukha-neobyatnoy-2023-god/
18,Техно-игровой маршрут «Романтический наш император» 7+,5 января 2024,https://rusmuseum.ru/exhibitions/archive/tekhno-igrovoy-marshrut-romanticheskiy-nash-imperator-7/
19,"Игры, в которые играют люди",0+,https://rusmuseum.ru/exhibitions/archive/igry-v-kotorye-igrayut-lyudi/
20,Как на бумаге сказка оживает,6+,https://rusmuseum.ru/exhibitions/archive/kak-na-bumage-skazka-ozhivaet/
21,Особенный мир,0+,https://rusmuseum.ru/exhibitions/archive/osobennyy-mir/
22,Александр Павлович Брюллов – художник-акварелист,1 апреля 2026,https://rusmuseum.ru/exhibitions/archive/aleksandr-pavlovich-bryullov-khudozhnik-akvarelist/
23,Петр Казимирович Балтун (1904 – 1980). Директор Государственного Русского музея 1945 – 1951,25 марта 2026,https://rusmuseum.ru/exhibitions/archive/petr-kazimirovich-baltun-/
24,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/georgiy-efimovich-lebedev-1903-1958-direktor-russkogo-muzeya-s-1941-po-1945-gody/
25,«Алексей Егорович Егоров». Памяти Евгении Николаевны Петровой,6+,https://rusmuseum.ru/exhibitions/archive/aleksey-egorovich-egorov-pamyati-evgenii-nikolaevny-petrovoy/
26,Дмитрий Митрохин (1883–1973). Рисунки и гравюры из собрания Русского музея,29 декабря 2025,https://rusmuseum.ru/exhibitions/archive/dmitriy-mitrokhin-1883-1973-risunki-i-gravyury-iz-sobraniya-russkogo-muzeya/
27,Торжество Минервы,29 декабря 2025,https://rusmuseum.ru/exhibitions/archive/torzhestvo-minervy/
28,Праздничный Петербург,24 декабря 2025,https://rusmuseum.ru/exhibitions/archive/prazdnichnyy-peterburg/
29,«Геннадий Устюгов. Букварь жизни»,0+,https://rusmuseum.ru/exhibitions/archive/gennadiy-ustyugov-bukvar-zhizni/
30,Шедевр русского зодчества. К 200-летию Михайловского дворца,15 октября 2025,https://rusmuseum.ru/exhibitions/archive/shedevr-russkogo-zodchestva-k-nbsp-200-letiyu-mikhaylovskogo-dvortsa/
31,Петербург и его окрестности в середине XVIII века,#ВЫСТАВКИ,https://rusmuseum.ru/exhibitions/archive/peterburg-i-ego-okrestnosti-v-seredine-xviii-veka/
32,Мы от рода русского. Григорий Гукасов,#ВЫСТАВКИ,https://rusmuseum.ru/exhibitions/archive/my-ot-roda-russkogo-grigoriy-gukasov/
33,Врачуя тела и души. Медицина в изобразительном искусстве,#ВЫСТАВКИ,https://rusmuseum.ru/exhibitions/archive/vrachuya-tela-i-dushi-meditsina-v-izobrazitelnom-iskusstve/
34,Алексей Пахомов. К 125-летию со дня рождения. Произведения из собрания Русского музея,#ВЫСТАВКИ,https://rusmuseum.ru/exhibitions/archive/aleksey-pakhomov-k-125-letiyu-so-dnya-rozhdeniya-proizvedeniya-iz-sobraniya-russkogo-muzeya/
35,Картоны к росписям Исаакиевского собора,#ВЫСТАВКИ,https://rusmuseum.ru/exhibitions/archive/kartony-k-rospisyam-isaakievskogo-sobora/
36,"О, море, море! Водная стихия в произведениях русских художников XVIII – XX веков",#ВЫСТАВКИ,https://rusmuseum.ru/exhibitions/archive/o-more-more-vodnaya-stikhiya-v-proizvedeniyakh-russkikh-khudozhnikov-xviii-xx-vekov/
37,Выставка Центра Art & Science Университета ИТМО «Машины эмпатии»,0+,https://rusmuseum.ru/exhibitions/archive/vystavka-tsentra-art-science-universiteta-itmo-mashiny-empatii-/
38,Жизнь замечательных собак,0+,https://rusmuseum.ru/exhibitions/archive/zhizn-zamechatelnykh-sobak/
39,Страна побед. К 80-й годовщине Победы в Великой Отечественной войне,0+,https://rusmuseum.ru/exhibitions/archive/strana-pobed-k-80-y-godovshchine-pobedy-v-velikoy-otechestvennoy-voyne/
40,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/ivan-pokhitonov-k-nbsp-175-letiyu-so-nbsp-dnya-rozhdeniya/
41,Образовательно-выставочный проект «Маленькие истории о больших победах»,0+,https://rusmuseum.ru/exhibitions/archive/obrazovatelno-vystavochnyy-proekt-laquo-malenkie-istorii-o-nbsp-bolshikh-pobedakh-raquo/
42,Василий Семенович Садовников.<br>Акварелист пушкинской эпохи,0+,https://rusmuseum.ru/exhibitions/archive/vasiliy-semenovich-sadovnikov-akvarelist-pushkinskoy-epokhi/
43,"Выставочный проект «Мы разные, мы вместе»",14 марта 2025,https://rusmuseum.ru/exhibitions/archive/vystavochnyy-proekt-my-raznye-my-vmeste/
44,"Ассамбляж, объект, инсталляция",26 февраля 2025,https://rusmuseum.ru/exhibitions/archive/assamblyazh-obekt-installyatsiya/
45,Александр Дейнека. Певец новой жизни. К 125-летию со дня рождения,21 февраля 2025,https://rusmuseum.ru/exhibitions/archive/aleksandr-deyneka-pevets-novoy-zhizni-k-125-letiyu-so-dnya-rozhdeniya/
46,Петр Оссовский. К 100-летию со дня рождения,20 февраля 2025,https://rusmuseum.ru/exhibitions/archive/petr-ossovskiy-k-100-letiyu-so-dnya-rozhdeniya-/
47,Юрий Васнецов. К 125-летию со дня рождения,5 февраля 2025,https://rusmuseum.ru/exhibitions/archive/yuriy-vasnetsov-k-125-letiyu-so-dnya-rozhdeniya/
48,фотовыставка «Летний. Времена года»,25 января 2025,https://rusmuseum.ru/exhibitions/archive/fotovystavka-letniy-vremena-goda/
49,"О Родине, о жизни, о себе. Художественное наследие Белгородской земли",28 декабря 2024,https://rusmuseum.ru/exhibitions/archive/o-rodine-o-zhizni-o-sebe-khudozhestvennoe-nasledie-belgorodskoy-zemli/
50,Русское Рождество,28 декабря 2024,https://rusmuseum.ru/exhibitions/archive/russkoe-rozhdestvo/
51,Васнецов. Сказы и были,25 декабря 2024,https://rusmuseum.ru/exhibitions/archive/vasnetsov-skazy-i-byli/
52,Образовательно-выставочный проект для детской и семейной аудитории «Васнецов. Сказы и были».,25 декабря 2024,https://rusmuseum.ru/exhibitions/archive/obrazovatelno-vystavochnogo-proekta-dlya-detskoy-i-semeynoy-auditorii-vasnetsov-skazy-i-byli-/
53,К 300-летию Академии наук. Иллюстрированные академические издания середины XVIII века из собрания Русского музея,20 декабря 2024,https://rusmuseum.ru/exhibitions/archive/k-300-letiyu-akademii-nauk-illyustrirovannye-akademicheskie-izdaniya-serediny-xviii-veka-iz-sobraniya/
54,Поп-Механика Сергея Курёхина,20 декабря 2024,https://rusmuseum.ru/exhibitions/archive/pop-mekhanika-sergeya-kuryekhina/
55,Андрей Васнецов. К 100-летию со дня рождения,19 декабря 2024,https://rusmuseum.ru/exhibitions/archive/andrey-vasnetsov-k-100-letiyu-so-dnya-rozhdeniya/
56,Русская академическая живопись второй половины XVIII – первой половины XIX века,#ПОСТОЯННАЯ ЭКСПОЗИЦИЯ,https://rusmuseum.ru/exhibitions/archive/russkaya-akademicheskaya-zhivopis-vtoroy-poloviny-xviii-pervoy-poloviny-xix-veka/
57,Мультимедийная экспозиция с VR-погружением «Потерянные миры: Карл Брюллов “Последний день Помпеи”»,30 ноября 2024,https://rusmuseum.ru/exhibitions/archive/multimediynaya-ekspozitsiya-s-vr-ar-pogruzheniem-poteryannye-miry-karl-bryullov-posledniy-den-pompei/
58,Васильевский остров Алексея Карева. К 145-летию со дня рождения,13 ноября 2024,https://rusmuseum.ru/exhibitions/archive/vasilevskiy-ostrov-alekseya-kareva-k-145-letiyu-so-dnya-rozhdeniya/
59,Императрица Мария Александровна. Империя. Династия. Семья. К 200-летию со дня рождения,3 ноября 2024,https://rusmuseum.ru/exhibitions/archive/imperatritsa-mariya-aleksandrovna-imperiya-dinastiya-semya-k-200-letiyu-so-dnya-rozhdeniya/
60,Образовательно-выставочный проект «Брюллов. Классная классика»,26 октября 2024,https://rusmuseum.ru/exhibitions/archive/obrazovatelno-vystavochnyy-proekt-bryullov-klassnaya-klassika/
61,Линия. Штрих. Пятно. Рисунок ХХ века из собрания Русского музея,4 октября 2024,https://rusmuseum.ru/exhibitions/archive/liniya-shtrikh-pyatno-risunok-khkh-veka-iz-sobraniya-russkogo-muzeya/
62,Ко Дню учителя,30 сентября 2024,https://rusmuseum.ru/exhibitions/archive/ko-dnyu-uchitelya/
63,Россия – Беларусь. Пересечение судеб,15 сентября 2024,https://rusmuseum.ru/exhibitions/archive/belorussiya/
64,Казачество – опора государства Российского,11 сентября 2024,https://rusmuseum.ru/exhibitions/archive/veroy-i-pravdoy-kazaki-i-kazachestvo-v-russkom-iskusstve-xviii-khkh-vekov/
65,Мультимедийная выставка «Шедевры древнерусского искусства» 10+,31 августа 2024,https://rusmuseum.ru/exhibitions/archive/multimediynaya-vystavka-pokrova-presvyatoy-bogoroditsy-10/
66,Тафтяная церковь царя Федора Иоанновича и царицы Ирины Федоровны 1592 года,30 августа 2024,https://rusmuseum.ru/exhibitions/archive/taftyanaya-tserkov-fedora-ioannovicha-i-iriny-fedorovny-godunovoy-1592-goda/
67,н/д,н/д,https://rusmuseum.ru/exhibitions/archive/talant-tragicheskoy-sudby-k-200-letiyu-so-dnya-rozhdeniya-grigoriya-vasilevicha-soroki/
68,Давид Ефимович Загоскин (1900–1942),7 августа 2024,https://rusmuseum.ru/exhibitions/archive/david-efimovich-zagoskin-1900-1942/
69,Весть,2 августа 2024,https://rusmuseum.ru/exhibitions/archive/vest/
70,Искусство китайской каллиграфии на Великом чайном пути: персональная выставка мастера Лю Хуншэна,31 июля 2024,https://rusmuseum.ru/exhibitions/archive/iskusstvo-kitayskoy-kalligrafii-na-velikom-chaynom-puti-personalnaya-vystavka-mastera-lyu-khunshena/
71,Виктор Иванов. К 100-летнему юбилею,19 июня 2024,https://rusmuseum.ru/exhibitions/archive/viktor-ivanov-k-100-letiyu-so-dnya-rozhdeniya/
72,Иоганн-Готлиб Георги «Описание всех обитающих в Российском государстве народов...»,13 июня 2024,https://rusmuseum.ru/exhibitions/archive/iogann-gotlib-georgi-opisanie-vsekh-obitayushchikh-v-rossiyskom-gosudarstve-narodov-/
