title,year,url,text_to_analyze
Бюро архитектора Рема Колхаса ОМА разработает новое здание «Гаража»,2012,https://garagemca.org/news/2012-04-27-rem-koolhaas-oma-to-design-new-home-for-garage,"«Гараж» в Парке Горького вырастет на месте известного в 1960-х ресторана «Времена года» – массивного бетонного здания, заброшенного уже более двух десятков лет. Проект нового здания в 5500 кв. м соединяет в себе выставочные пространства, творческий центр для детей, книжный магазин, кафе, лекционный зал и офисные помещения. Дизайн предполагает сохранение декоративных материалов советского периода – плитки, мозаики и кирпича. OMA сотрудничает с молодыми российскими специалистами из архитектурного бюро Form."
Центр современной культуры «Гараж» представил проект временного павильона,2012,https://garagemca.org/news/2012-06-01-garage-presented-plans-for-a-new-architectural-project-in-gorky-park,"Центр современной культуры «Гараж» рад представить общественности проект временного павильона, автором которого выступил японский архитектор Шигеру Бан, а также анонсировать летнюю выставочную и образовательную программу. Первым зданием, в котором будет осуществляться деятельность Центра на территории Парка Горького, станет временный павильон, спроектированный Шигеру Баном, который будет располагаться рядом с Пионерским прудом. «Меня заинтересовала работа в России в первую очередь из-за особенностей российской культуры, архитектуры, музыки и искусства и из-за географических связей с Японией. Хотя Россия и Япония – соседи, их культуры совершенно разные. «Гараж» хорошо известен повсюду в мире искусства благодаря своей авангардной деятельности, что существенно отличает его от прочих российских музеев и укрепляет его связь с мировой арт-сценой. Создание временной конструкции требует низкой стоимости и быстроты сооружения. Я был счастлив найти в Санкт-Петербурге фабрику, производящую бумажные трубы, – это позволит построить здание из местных доступных материалов…», – говорит Шигеру Бан. Даша Жукова: «Наш переезд в Парк Горького – захватывающий новый этап в развитии “Гаража"". При обсуждении необходимости постройки временного павильона Центра сомнений по поводу архитектора не было. Шигеру Бан – известный мастер возведения уникальных зданий в кратчайшие сроки, и мы очень рады тому, что Шигеру нашел время и возможность для создания нашего временного дома в Парке Горького». Всемирно известный архитектор славится временными постройками из необработанного сырья - бумаги и картона, использованием недорогих и экологически чистых, но непривычных стройматериалов. Павильон Центра не стал исключением – произведенные в России бумажные трубы будут образовывать здание овальной формы высотой 6 метров, а общей площадью - 2 400 м². Временный павильон Центра современной культуры «Гараж» откроется для посетителей в начале осени 2012 года."
Издательская программа Центра современной культуры «Гараж» и издательства Ad Marginem,2012,https://garagemca.org/news/2012-06-10-garage-and-ad-marginem-press-collaborate-to-create-new-publications,"В июне 2012 года стартовала совместная издательская программа Центра современной культуры «Гараж» и издательства Ad Marginem. В новую серию включены книги о современном искусстве и архитектуре, новых медиа и фотографии, кинематографе и театре, социологии и маркетинге культуры. Разнообразны не только сферы интереса авторов, но и жанры самих книг – от собственно теоретических исследований до художественной литературы, от дневников до сборников интервью. В серию войдут как уже ставшие классическими работы Жиля Делёза и Ролана Барта, так и произведения, впервые вышедшие в свет на английском языке в 2012 году, например, книга Джонатана Литтелла «Триптих. Три этюда о Френсисе Бэконе». В 2012 году в рамках серии впервые на русском языке будут опубликованы, в частности, авторский сборник статей Бориса Гройса «Политика поэтики», «Краткая история кураторства» Ханса-Ульриха Обриста, книга букеровского лауреата Джона Берждера «Блокнот Бенто». Эти книги, образующие интеллектуальный контекст мировой современной культуры, определяют и очерчивают само понятие современного, помогая читателю «откалибровать» собственный взгляд на современное культурное пространство."
Тело в Городском Пространстве,2012,https://garagemca.org/news/2012-06-20-bodies-in-urban-spaces-gallery,"«Тело в городском пространстве» австрийского хореографа Вилли Дорнера представляет собой серию временных арт-вторжений в разнообразные пространства городской архитектуры. Его цель – подчеркнуть структуру мегаполиса и раскрыть трудности передвижения внутри него, опыт жизни и правила поведения в городе и связанные с городской жизнью запреты. Появление на улицах участников проекта, тела которых становятся частью городского декора, с неизбежностью провоцируют зрительскую реакцию: прохожие, местные жители, вынуждены задуматься об окружающей их городской действительности и о собственных привычках и манерах, сформированных условиями жизни в мегаполисе. Благодаря проекту «Тело в городском пространстве», вовлекающему в прогулки по городу, вы получаете возможность лучше узнать место, в котором живете, свой район и самих себя. Интервенции участников в городское пространство недолги – они не оставляют следов в пространстве, но запечатлеваются в памяти очевидцев. «Тело в городском пространстве» – это путь, по которому движется группа танцоров под руководством хореографа. Артисты ведут зрителей через разные точки в открытых и полуоткрытых пространствах. Цепочка участников выстраивается очень быстро и существует всего несколько минут. Для каждого места и каждого времени суток создаются свои уникальные перформансы, а во время движения привычные места в городе воспринимаются совершенно по-новому."
Как найти «Гараж» в Парке Горького,2012,https://garagemca.org/news/2012-07-04-visit-us-in-gorky-park,
Скидки в G Cafe для посетителей «Гаража»,2012,https://garagemca.org/news/2012-07-17-save-10-at-g-cafe-with-a-garage-ticket,"В G Cafe, которое вновь откроется для посетителей в четверг, 19 июля, все посетители выставки «Потрогай Музыку» получат скидку 10%, предъявив билет. Кстати, до конца выставки осталась всего неделя - не забудьте заглянуть с детьми на игровую площадку и в павильоны с музыкальными инструментами! Просмотреть G Cafe и выставка ""Потрогай Музыку"" в Парке Горького на карте большего размера"
Фотогалерея: «Музей Всего» начал работу в Екатеринбурге,2012,https://garagemca.org/news/2012-08-02-gallery-the-museum-of-everything-in-yekaterinburg,Репортаж с места событий: «Музей Всего» в Екатеринбурге собирает работы неизвестных художников.
Центр «Гараж» ищет преподавателей,2012,https://garagemca.org/news/2012-08-10-garage-is-looking-for-teachers,
Фильмы «Музея Всего»,2012,https://garagemca.org/news/2012-08-24-films-of-everything,"Смотрите мини-фильмы о том, как проходили этапы «Музея Всего» в Казани и Нижнем Новгороде и приносите свои работы в Москву на нашу летнюю площадку на берегу Пионерского пруда в Парке Горького!"
Новые книги издательской программы,2012,https://garagemca.org/news/2012-09-20-new-titles-of-garage-publishing-program,"В рамках совместной издательской программы Центра современной культуры «Гараж» и издательства «Ad Marginem» вышли в свет две новые книги: «Блокнот Бенто» знаменитого английского арт-критика и писателя Джона Берджера и автобиография знаменитого философа 20-го века «Ролан Барт о Ролане Барте». «Блокнот Бенто» – исследование визуальных наслаждений, удовольствия от искусства, которое получают и художники, и зрители. Автор отталкивается от легенды о блокноте с рисунками Спинозы (Бенто – уменьши¬тельная форма имени философа Бенедикт), который был утрачен после его смерти. Бёрджер наполняет свой блокнот цитатами из трудов Спинозы и собственными рисунками и размышлениями о жизни, философии и искусстве. Эта книга – увлекательная история жизни души и ума, которая доставит радость любителям искусства. Вместе с автором читатели снова переживут встречу с шедеврами мировой живописи, например, с «Венерой» Диего Веласкеса, «Распятием» Антонелло да Мессина или «Сумасшедшей» Теодора Жерико – визуальными метафорами, которые точнее и лаконичнее любых слов выражают фундаментальные истины о жизни. Русского читателя обрадует и любовь Бёрджера к русской литературе XIX-XX веков – от Федора Достоевского до Андрея Платонова. «Ролан Барт о Ролане Барте» - оригинальная интеллектуальная автобиография одного из самых цитируемых мыслителей 20-го века. Барт сочетает в этом тексте попытку взглянуть на себя «объективно», со стороны, с абсолютно искренним «дневниковым» тоном. В этой мозаике из кратких фрагментов Барт формулирует свои политические и теоретические взгляды, разъясняет свои главные идеи и термины, говорит о своем понимании дружбы и любви. И, конечно, пишет о своей интеллектуальной жизни как о захватывающем приключении. Не удивительно, что Барт сравнивает жизнь ума с любовными переживаниями – радость познания, неожиданная новая идея дает дозу адреналина сравнимую с встречей с любимым. И еще это книга о свободе: свободе мысли, независимости от идеологий любого толка, свободе от мифов и стереотипов мышления, навязываемых нам обществом, свободе от языковых штампов и условностей."
