period,word,tfidf_avg_score
before_2022,искусства,0.0641
before_2022,программы,0.0382
before_2022,россии,0.0292
before_2022,искусстве,0.016
before_2022,будут,0.0241
before_2022,проекта,0.0248
before_2022,книги,0.0163
before_2022,книга,0.0065
before_2022,участников,0.0148
before_2022,программа,0.0191
after_2022,искусства,0.0666
after_2022,программы,0.0387
after_2022,россии,0.0264
after_2022,искусстве,0.0382
after_2022,будут,0.0266
after_2022,проекта,0.0183
after_2022,книги,0.025
after_2022,книга,0.0346
after_2022,участников,0.0251
after_2022,программа,0.0203
