museum,title,date_range,year,period,url,description
Hermitage Museum,Путешествие кота во времени,30 мая 2026 - 14 июня 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/timecat,"Бумага; мелок, карандаш, акварель Частное собрание С 30 мая для посетителей Главного музейного комплекса открыта выставка «Путешествие кота во времени». Уникальные экспонаты позволяют проследить, как менялось отношение людей к кошкам на протяжении более двух тысяч лет. «Люди всегда хотели запечатлеть для вечности своего друга. В Древнем Египте кошки считались священными животными и были тесно связаны с религиозными представлениями. Их почитание было связано с практической пользой: кошки защищали амбары с зерном от грызунов, охотились на ядовитых змей и скорпионов. Кошки ассоциировались с божествами. Одна из них, Бастет (Баст), считалась защитницей домашнего хозяйства, покровительницей материнства и плодородия. Зачастую она изображалась в виде женской фигуры с кошачьей головой. Пустотелая бронзовая Голова кота –VI веков до нашей эры, представленная на выставке, относится к позднему периоду истории Египта. Скорее всего, подобные головы надевались на головы запелёнатых мумий кошек, которые изготавливались в массовом порядке в связи с широко распространившимся в это время культом животного. На выставке также можно увидеть редчайший образец декоративно-прикладного искусства периода династии Цин (1644–1911). Сидящий кот – скульптура, выполненная из горного хрусталя с внутренними включениями, которые дают разнообразные эффекты радужного сияния. Несмотря на то что кот не входит в число двенадцати сакральных животных, связанных с зодиакальными созвездиями, китайцы всегда относились к нему уважительно. Жители Китая в легендах именовали кота «домашним лисом», испытывая к хитрецу тёплые чувства и иронию. В семьях баловали себялюбца, служившего символом гармонии человеческих отношений. Завершает путешествие во времени графическая работа «Хранитель культуры» современного южнокорейского художника Ю Мин Сока"
Hermitage Museum,Выставка работ победителей конкурса рисунков ко Дню Эрмитажного кота,30 мая 2026 - 14 июня 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/catpaint26,"Из общего количества было отобрано 23 рисунка финалистов из более, чем 10 стран мира: России, Беларуси, Узбекистана, Казахстана, Молдовы, Южной Кореи, Армении, , Израиля, Индии и Германии. Пушистики размеренно вышагивают по крыше Зимнего дворца рядом с вазами и скульптурами на ней. Они едут Египет к Великому Сфинксу и посещают Каирский музей. А оттуда – в Китай, где среди цветущих на фоне крыш пагод глициний, коты стремятся увидеть древних львов-стражей Ши-Цза. Отправляются в один из самых «кошачьих» регионов России, Калининград, где беседуют с собратьями. Из окна поезда, идущего во Владивосток, любуются бесконечной гладью воды. Вместе с Леонардо пребывают в восторге от увиденных образов Италии. Возвращаются из Лондона и торжественно въезжают в Арку Главного штаба, где их уже ожидают друзья. В карете Екатерины, вместе с самой императрицей, коты весело переезжают в летнюю императорскую резиденцию в Петергоф. Смело и решительно идут по льду Байкала. На повозке, запряженной быстрыми крысами, они несутся через пески пустыни Гоби. Они путешествуют во времени в волшебном лифте, видят великое прошлое на стенах подвала – Екатерину и Великую Отечественную войну. Поздравляем всех участников и победителей и предлагаем ознакомиться с их работами! Выставку можно будет посетить по входному билету в Главный музейный комплекс д"
Hermitage Museum,«Золотая молодёжь» тувинской Долины царей,27 мая 2026 - 28 июня 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/valley_of_the_kings,"Никифоров Экспозиция предлагает визуальный рассказ о процессе научного исследования монументального мемориального комплекса Чинге-Тей I в Долине царей. Посетители выставки могут проследить путь археологов – от первых этапов исследования кургана до раскрытия уникального, не тронутого грабителями захоронения знатного скифского воина. Выставка-событие приурочена к завершению очередного этапа проекта комплексного изучения и реставрации уникальных находок из погребения скифского воина (могилы 9) кургана Чинге-Тей I. Среди них – украшения погребального наряда, а также разнообразие многочисленных изделий из золота в «зверином стиле», стилистически пересекающиеся с находками из царского кургана Аржан-2, также расположенного в Долине царей. Выставку сопровождают фотографии, которые иллюстрируют пейзажи Долины царей, работу археологов и основные этапы полевых исследований. Раскопки монументального мемориального комплекса Чинге-Тей I за прошедшие десятилетия (2008–2021) открыли множество ранее неизвестных фактов. Девять неограбленных захоронений молодых воинов разного возраста и социального статуса дают возможность подумать о том, кем были эти люди и почему их могилы расположены на разных участках одного из самых больших курганов тувинской Долины царей. Начало исследования центральной каменной насыпи кургана Чинге-Тей I привело к открытию в 2022 году непотревоженного погребения молодого мужчины в могиле 9, по всем признакам относящегося к представителям высшей знати или именитого воина. Об этом свидетельствуют расположение могилы (под центральной насыпью) и найденные вместе с ним тысячи золотых предметов, включая шедевры ювелирного искусства. Антропологическая реконструкция облика молодого воина также представлена на выставке"
Hermitage Museum,Эрмитажные мгновения – 2026,30 апреля 2026 - 31 мая 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/moments26,"Две предыдущие экспозиции этого цикла были посвящены сразу всем главным направлениям работы универсального музея: хранению коллекций, их изучению и представлению в собственных комплексах и центрах-спутниках, в разных городах России и за рубежом. Основной целью было – познакомить посетителей со всем разнообразием музейной деятельности, показать широту охвата всех её сфер. И редкая возможность увидеть, как выглядят пустые залы музея утром и в вечерние часы, зимой и летом. Как существуют в этом пространстве памяти и красоты сотрудники музея и те, кому посчастливилось сюда попасть. Эта летопись ведётся на официальном сайте музея, в социальных сетях, на страницах газет, журналов и других"
Hermitage Museum,День Мецената. Дары Эрмитажу,14 апреля 2026 - 26 апреля 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/mecenat26,"Ботиночки дамские из ткани в полоску, на боковой шнуровке Шелковая и льняная ткани, натуральная кожа, шелковая тесьма, белый сплав; тиснение, ручная работа Великобритания. 1830–1840 гг. Среди даров современных художников следует отметить произведения В. В этом году День Мецената посвящён памяти его инициатора – Аркадия Яковлевича Соснова – петербургского журналиста и писателя, многие годы возглавлявшего альманах «Русский меценат». На протяжении многих лет большим другом и меценатом музея был выдающийся коллекционер, профессор Юрий Шмавонович Абрамов. Разумовского кисти неизвестного художника конца  – начала  веков (с оригинала Л. Токке), представляющего видного российского государственного деятеля Елизаветинского и Екатерининского царствований. Попова – основателя знаменитой парижской «Galerie Popoff et Co». Особую ценность представляют великолепной сохранности парчовые платки конца  – первой половины  века, которые являлись важной частью традиционного русского праздничного костюма. Повседневные дамские ботиночки и нарядные домашние туфли займут достойное место в музейном собрании. Дар Ольги Ивановны Сурковой позволил заполнить существенные лакуны в коллекции одежды XX –  веков: платье модного дома «Valentino» и две эксклюзивные пары обуви, исполненные К. Гроувз, демонстрируют высочайшее техническое мастерство исполнения и яркие художественные образы. Среди даров современных художников следует отметить произведения петербургского скульптора, члена-корреспондента Российской Академии художеств, лауреата мн"
Hermitage Museum,Пьетро Гонзага. К 275-летию со дня рождения,28 марта 2026 - 26 апреля 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/gonzaga,"К 275-летию со дня рождения», приуроченная к празднованию Всемирного Дня театра. Эскиз занавеса Россия, после 1802 г. Бумага; перо, кисть, тушь по наброску карандашом. 25,5х34 см Программы к выставке Нынешний год отмечен двумя памятными датами, связанными с именем выдающегося театрального декоратора, рисовальщика, живописца, теоретика искусства Пьетро ди Готтардо Гонзага (1751–1831): 275 лет со дня рождения и 195 лет со дня смерти мастера. Уроженец региона Венето, он учился у знаменитых театральных художников своего времени Карло Галли Бибиена, Антонио Везентини, а позднее в Милане, у братьев Галлиари. В 1770-е годы он начал работать для театров Милана и других городов Италии. С 1778 года создавал декорации для театра Ла Скала. В 1792 году Пьетро Гонзага прибыл в Петербург, где стал главным придворным театральным художником. Уникальный творческий стиль Гонзаги основывался на эффекте иллюзорной перспективы в архитектуре, однако его произведения отличались не масштабными барочными фантазиями, характерными для работ Бибиена, а чёткостью, лаконичностью изображённых конструкций, родственных по духу творчеству итальянских архитекторов Андреа Палладио и Микеле Санмикели. Художник считал, что в театре, где всё построено на иллюзии, декоратор должен максимально приблизиться к натуре, чтобы достичь впечатления реальности сценического действия. Впервые будет показан гравированный увраж с неосуществлённым проектом театра в саду Михайловского замка. Дополнят экспозицию теоретические трактаты «Предуведомление моему начальнику, или надлежащее разъяснение театрального декоратора Пьетро Готтардо Гонзага о сущности его профессии» и «Музыка для глаз и театральная оптика», а также либретто к спектаклям, которые были оформлены Гонзагой. Об экспозиции Когда: 28 марта 2026 - 26 апреля 2026 Где: Главный музейный"
Hermitage Museum,За пределами «учёного искусства». Провинциальный портрет в собрании Эрмитажа,7 марта 2026 - 31 мая 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/province,"Бибиковой в окружении прислуги. Вторая половина 1800-х годов   Программы к выставке Термин «провинциальное искусство» в данном случае обозначает не региональную принадлежность, а недостаток академического образования художника. Образно говоря, «провинциальный» портрет является некоей «окраиной» по отношению к «учёному искусству». Экспозиция включает в себя как признанные шедевры провинциального портрета первой половины  века, так и произведения, которые раньше не выставлялись. Основные задачи – показать живопись, прежде скрытую позднейшими записями, и привлечь внимание к художественным достоинствам подобных полотен. Всего на выставке представлено 80 произведений живописи, большинство из которых широкий зритель увидит впервые. Среди них мужские, женские, детские и семейные портреты – работы неизвестных мастеров и художников, чьи имена сохранились. Часть картин была атрибутирована в процессе подготовки экспозиции. Исследователям удалось установить имена некоторых авторов и изображённых людей. Главными источниками пополнения были в то время национализированные частные собрания, хранившиеся в Государственном музейном фонде, а также частые экспедиции сотрудников по России. К моменту закрытия отдела в 1934 году его коллекция включала в себя около 300 тысяч единиц экспонатов, в том числе около 2 тысяч картин. Важнейшей частью собрания были живописные портреты, представлявшие основные социальные типы  – начала XX века: «дворянский», «купеческий», «военный», «церковный» и так далее. Вместе они сложились в исключител"
Hermitage Museum,Архитектура книги,4 марта 2026 - 7 июня 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/book_architechture,"Экспозиция демонстрирует подход к созданию книги по аналогии со строительством здания и состоит из четырёх крупных разделов – «фасад», «интерьер», «окна» и, собственно, сам «дом». Важное место отведено рассказу о той части работы над книгой, которая остаётся в тени: приёмам и методам работы специалистов разных областей под руководством «главных архитекторов» – издателя, редактора и художника. Экспозиция приурочена к 25-летию издательства, успешно сотрудничающего с музеем с 2004 года. Открывает выставку зал, посвящённый «фасаду» книги – переплёту. Здесь представлены не только уникальные авторские работы, но также механизмы и инструменты переплётчиков. Посетители смогут познакомиться с разнообразными техниками декорирования переплёта: ручная роспись, аппликация, инкрустация; блинтовое, золотое и конгревное тиснения, тиснение фольгами; торшонирование и золочение обрезов; вышивка и многие другие. Гости выставки увидят также тиски для росписи обреза, пресс, станок для сшивания книжных тетрадей, книжные уголки, замки и жуковины. Во втором зале происходит переход к «интерьеру» книги: печатным техникам, традиционно использовавшимся для воспроизведения текстов и иллюстраций: ксилография, литография, различные офортные технологии. В этом разделе представлен инструментарий художника и печатника, показаны способы и стадии печати. Например, подготовленный к работе литографский камень, гравированные художниками офортные доски и этапы создания ксилографии. Третья часть экспозиции посвящена не тиражной, а уникальной графике – произведениям, созданным в единственном экземпляре. Продолжая метафору книги-здания, их можно уподобить «окнам», через которые читатель заглядывает в текст, или"
Hermitage Museum,Ганс Грундиг. К 125-летию художника,21 февраля 2026 - 20 апреля 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/grunding,"Ганс Грундиг Против атомной смерти Германия. 1958 г. Холст; масло 102х131 см Творческий расцвет Ганса Грундига пришёлся на сумрачные 1920–1930-е годы. В своих работах он отразил страшное для Германии время: послевоенный голод, приход Гитлера к власти и подготовку страны к новой разрушительной войне. Убеждённый коммунист и пацифист, Ганс агитировал соотечественников против нацизма и предостерегал от грядущей бойни. Вместе с многими другими несогласными художниками и писателями Грундиг был арестован и заключён в концентрационный лагерь, а его творчество оказалось под запретом. Его супруга Лея Грундиг, происходившая из еврейской семьи, сумела бежать в Палестину, где стала голосом, обличавшим государственный террор гитлеровской Германии перед лицом всего мира. После 11 лет разлуки Грундиги воссоединились в 1949 году. Вместе они участвовали в послевоенном восстановлении Дрездена, в живописи и мемуарах сохраняли память о пережитом, встраивая личный опыт в общеевропейскую историю. В последний раз выставка, посвящённая творчеству Ганса Грундига и Леи Грундиг, состоялась в 1959 году, объединив Москву и Ленинград; после произведения Ганса появлялись на временных выставках, посвящённых искусству Германии ХХ века, тогда как работы Леи оставалась практически без внимания. В экспозиции Главного Штаба будет представлено 6 картин Ганса Грундига, его графические иллюстрации к произведениям Франсуа Вийона, серии офортов и линогравюр. Специально к выставке отреставрирована картина «Сидящая обнажённая», – портрет Леи, написанный Гансом после освобождения из лагеря Заксенхаузен. Также на выставке будут показаны разные стороны творчества Леи Грундиг: несколько акварелей, иллюстрации к сказкам Братьев Гримм и портретные зарисовки. Большинство экспонируемых произведений были подарены Леей Грундиг во время посещения ею Советского Союза. Ключевым произведением станет последняя картина Ганса Грундига – «Против атомной смерти», написанная в 1958 году. Неотвратимости взрывной волны противопоставлены хрупкие фигуры матери и ребёнка. Художник словно изображает два варианта буд"
Hermitage Museum,Музейный детектив. Иммерсивное расследование,18 февраля 2026 - 31 мая 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/364fvujyhgt35498g3,"Они вступают в диалог с художественными инсталляциями, которые работают как визуальные и смысловые «улики», позволяя шаг за шагом реконструировать судьбу памятника. Музей здесь выступает не как рассказчик с единственной версией, а как пространство для внимательного и свободного диалога с прошлым. В центре детективного сюжета – история античной скульптуры, случайно обнаруженной в 1836 году на севере Италии, в селении Кальватоне. Собранные воедино фрагменты произведения явили женскую фигуру, стоящую на шаре. Надпись на сфере, сообщающая о победе императоров-соправителей Марка Аврелия и Луция Вера над варварскими племенами, позволила датировать скульптуру II веком и интерпретировать её как богиню Победы. Так родилось имя Виктории Кальватоне, ставшее частью её музейной биографии. История этого произведения и те метаморфозы, которые коренным образом изменили его облик, удивительны и захватывающи. До сих пор все загадки до конца не разгаданы. Когда всё-таки была создана статуя? Правильно ли определили имя богини учёные  века? Как у античной статуи Виктории Кальватоне появились крылья, которых не было при первой сборке в Италии? Как выглядел внутренний каркас статуи в древности? Какие её части были дополнены в Новое время? Музейный детектив, где посетитель ведёт собственное расследование. Выставка предлагает принципиально новый формат – иммерсивное музейное расследование, в котором посетитель становится непосредственным участником. Здесь детектив – не жанровый приём, а форма познания: сопоставление фактов, работа с «уликами», анализ версий и отказ от однозначных ответов. Мультимедиа как часть повествования. Посетители оказываются в насыщенной мультимедийной среде, где музейные экспонаты соседствуют с экранами, инсталляциями и"
