period,word,tfidf_avg_score
before_2022,искусства,0.034
before_2022,среди,0.017
before_2022,дворца,0.0155
before_2022,санкт,0.016
before_2022,книги,0.0187
before_2022,россии,0.0151
before_2022,искусство,0.0178
before_2022,мастеров,0.0161
before_2022,культуры,0.0147
before_2022,зимнего,0.0135
after_2022,искусства,0.0268
after_2022,среди,0.0174
after_2022,дворца,0.018
after_2022,санкт,0.017
after_2022,книги,0.0139
after_2022,россии,0.0176
after_2022,искусство,0.0129
after_2022,мастеров,0.0142
after_2022,культуры,0.0153
after_2022,зимнего,0.0165
