museum,title,date_range,year,period,url,description
Hermitage Museum,Путешествие кота во времени,30 мая 2026 - 14 июня 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/timecat,"Цветовая палитра Стандартная Инверсия Синяя Показ изображений Показать Скрыть Размер шрифта А А А Тип шрифта Без засечек С засечками Межбуквенный интервал Стандартный Увеличенный Межстрочный интервал Стандартный Полуторный Вернуться к обычной версии МЕНЮ ПОСЕТИТЕЛЯМ ДОСТУПНЫЙ МУЗЕЙ КОЛЛЕКЦИИ. ИСТОРИЯ ЭРМИТАЖА ВИРТУАЛЬНЫЙ ВИЗИТ НОВОСТИ ВЫСТАВКИ И СОБЫТИЯ ПРОГРАММЫ О МУЗЕЕ ПОДДЕРЖКА МУЗЕЯ НАУКА И ПУБЛИКАЦИИ ЭРМИТАЖНЫЙ ТЕАТР ГОСТИНИЦА ЭРМИТАЖ ИНТЕРНЕТ-МАГАЗИН БИЛЕТЫ МАГАЗИН ГОСТИНИЦА EN ВЫСТАВКИ И СОБЫТИЯ Выставки и события Путешествие кота во времени С 30 мая для посетителей Главного музейного комплекса открыта выставка «Путешествие кота во времени». Ю Мин Сок ХРАНИТЕЛЬ КУЛЬТУРЫ Корея. 2025 г. Бумага; мелок, карандаш, акварель Частное собрание С 30 мая для посетителей Главного музейного комплекса открыта выставка «Путешествие кота во времени». Она приурочена ко Дню Эрмитажного кота – ежегодному празднику музея, посвящённому его пушистым хранителям. Уникальные экспонаты позволяют проследить, как менялось отношение людей к кошкам на протяжении более двух тысяч лет. «Люди всегда хотели запечатлеть для вечности своего друга. Эрмитаж в маленькой выставке показал три прекрасных портрета: египетский из VII–VI веков до нашей эры; китайский, династии Цин, и корейский, работы нашего современника», – говорит о выставке её куратор Мария Халтунен. В Древнем Египте кошки считались священными животными и были тесно связаны с религиозными представлениями. Их почитание было связано с практической пользой: кошки защищали амбары с зерном от грызунов, охотились на ядовитых змей и скорпионов. Кошки ассоциировались с божествами. Одна из них, Бастет (Баст), считалась защитницей домашнего хозяйства, покровительницей материнства и плодородия. Зачастую она изображалась в виде женской фигуры с кошачьей головой. Пустотелая бронзовая Голова кота VII–VI веков до нашей эры, представленная на выставке, относится к позднему периоду истории Египта. Скорее всего, подобные головы надевались на головы запелёнатых мумий кошек, которые изготавливались в массовом порядке в связи с широко распространившимся в это время культом животного. На выставке также можно увидеть редчайший образец декоративно-прикладного искусства периода династии Цин (1644–1911). Сидящий кот – скульптура, выполненная из горного хрусталя с внутренними включениями, которые дают разнообразные эффекты радужного сияния. Несмотря на то что кот не входит в число двенадцати сакральных животных, связанных с зодиакальными созвездиями, китайцы всегда относились к нему уважительно. Жители Китая в легендах именовали кота «домашним лисом», испытывая к хитрецу тёплые чувства и иронию. В семьях баловали себялюбца, служившего символом гармонии человеческих отношений. Завершает путешествие во времени графическая работа «Хранитель культуры» современного южнокорейского художника Ю Мин Сока. Куратор выставки – Мария Борисовна Халтунен, помощник генерального директора Государственного Эрмитажа, пресс-секретарь эрмитажных котов. Выставку"
Hermitage Museum,Выставка работ победителей конкурса рисунков ко Дню Эрмитажного кота,30 мая 2026 - 14 июня 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/catpaint26,"Цветовая палитра Стандартная Инверсия Синяя Показ изображений Показать Скрыть Размер шрифта А А А Тип шрифта Без засечек С засечками Межбуквенный интервал Стандартный Увеличенный Межстрочный интервал Стандартный Полуторный Вернуться к обычной версии МЕНЮ ПОСЕТИТЕЛЯМ ДОСТУПНЫЙ МУЗЕЙ КОЛЛЕКЦИИ. ИСТОРИЯ ЭРМИТАЖА ВИРТУАЛЬНЫЙ ВИЗИТ НОВОСТИ ВЫСТАВКИ И СОБЫТИЯ ПРОГРАММЫ О МУЗЕЕ ПОДДЕРЖКА МУЗЕЯ НАУКА И ПУБЛИКАЦИИ ЭРМИТАЖНЫЙ ТЕАТР ГОСТИНИЦА ЭРМИТАЖ ИНТЕРНЕТ-МАГАЗИН БИЛЕТЫ МАГАЗИН ГОСТИНИЦА EN ВЫСТАВКИ И СОБЫТИЯ Выставки и события Выставка работ победителей конкурса рисунков ко Дню Эрмитажного кота С 30 мая 2026 года в Иорданской галерее Зимнего дворца для посетителей Эрмитажа откроется выставка работ финалистов международного конкурса рисунков ко Дню Эрмитажного кота. Тема этого года: «Путешествие Эрмитажного кота». «Три кота не считая собаки» Нафикова Полина, 5 лет, г. Санкт-Петербург Отважные Эрмитажные коты отправились в путешествие по реке Неве, прихватив с собой собаку! В этом году на суд жюри поступило более 4000 конкурсных работ участников в возрасте от 5 лет. Из общего количества было отобрано 23 рисунка финалистов из более, чем 10 стран мира: России, Беларуси, Узбекистана, Казахстана, Молдовы, Южной Кореи, Армении, США, Израиля, Индии и Германии. Эрмитажные коты, запечатленные в различных техниках, путешествуют и по всему миру, и там, где им все знакомо – по Петербургу и по самому Эрмитажу. Они прогуливаются по величественным набережным Невы, вместе с собакой проплывают на лодке мимо прекрасных дворцов и охотятся за мышами в подвалах Эрмитажа, где ко Дню Эрмитажного кота разместили работы участников конкурса. Пушистики размеренно вышагивают по крыше Зимнего дворца рядом с вазами и скульптурами на ней. Они едут Египет к Великому Сфинксу и посещают Каирский музей. А оттуда – в Китай, где среди цветущих на фоне крыш пагод глициний, коты стремятся увидеть древних львов-стражей Ши-Цза. Отправляются в один из самых «кошачьих» регионов России, Калининград, где беседуют с собратьями. Из окна поезда, идущего во Владивосток, любуются бесконечной гладью воды. Вместе с Леонардо пребывают в восторге от увиденных образов Италии. Возвращаются из Лондона и торжественно въезжают в Арку Главного штаба, где их уже ожидают друзья. В карете Екатерины, вместе с самой императрицей, коты весело переезжают в летнюю императорскую резиденцию в Петергоф. На Алтае пишут пейзажи. Смело и решительно идут по льду Байкала. На повозке, запряженной быстрыми крысами, они несутся через пески пустыни Гоби. Приходят к директору Эрмитажа и вместе с ним рассматривают глиняные сосуды из Эребуни. Они путешествуют во времени в волшебном лифте, видят великое прошлое на стенах подвала – Екатерину и Великую Отечественную войну. И только эрмитажным котам дано увидеть в оконных отражениях дома все центры-спутники Эрмитажа одновременно. Поздравляем всех участников и победителей и предлагаем ознакомиться с их работами! Выставку можно будет посетить по входному билету в Главный музейный комплекс д"
Hermitage Museum,«Золотая молодёжь» тувинской Долины царей,27 мая 2026 - 28 июня 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/valley_of_the_kings,"Цветовая палитра Стандартная Инверсия Синяя Показ изображений Показать Скрыть Размер шрифта А А А Тип шрифта Без засечек С засечками Межбуквенный интервал Стандартный Увеличенный Межстрочный интервал Стандартный Полуторный Вернуться к обычной версии МЕНЮ ПОСЕТИТЕЛЯМ ДОСТУПНЫЙ МУЗЕЙ КОЛЛЕКЦИИ. ИСТОРИЯ ЭРМИТАЖА ВИРТУАЛЬНЫЙ ВИЗИТ НОВОСТИ ВЫСТАВКИ И СОБЫТИЯ ПРОГРАММЫ О МУЗЕЕ ПОДДЕРЖКА МУЗЕЯ НАУКА И ПУБЛИКАЦИИ ЭРМИТАЖНЫЙ ТЕАТР ГОСТИНИЦА ЭРМИТАЖ ИНТЕРНЕТ-МАГАЗИН БИЛЕТЫ МАГАЗИН ГОСТИНИЦА EN ВЫСТАВКИ И СОБЫТИЯ Выставки и события «Золотая молодёжь» тувинской Долины царей С 27 мая 2026 года в Государственном Эрмитаже представлена выставка-событие «″Золотая молодёжь″ тувинской Долины царей», посвящённая одному из наиболее ярких археологических открытий последних лет – исследованию кургана Чинге-Тей I в Республике Тыва. Процесс раскопок могилы 9. Фото: В. И. Никифоров Экспозиция предлагает визуальный рассказ о процессе научного исследования монументального мемориального комплекса Чинге-Тей I в Долине царей. Посетители выставки могут проследить путь археологов – от первых этапов исследования кургана до раскрытия уникального, не тронутого грабителями захоронения знатного скифского воина. Выставка-событие приурочена к завершению очередного этапа проекта комплексного изучения и реставрации уникальных находок из погребения скифского воина (могилы 9) кургана Чинге-Тей I. Их исследование и консервация проводились в научных отделах и реставрационных лабораториях Государственного Эрмитажа. Экспонируемые в Государственном Эрмитаже великолепные предметы будут переданы в Национальный музей Республики Тыва. Временная экспозиция даёт исключительную возможность увидеть находки эрмитажных археологов, впервые представленные широкой публике. Среди них – украшения погребального наряда, а также разнообразие многочисленных изделий из золота в «зверином стиле», стилистически пересекающиеся с находками из царского кургана Аржан-2, также расположенного в Долине царей. Выставку сопровождают фотографии, которые иллюстрируют пейзажи Долины царей, работу археологов и основные этапы полевых исследований. Раскопки монументального мемориального комплекса Чинге-Тей I за прошедшие десятилетия (2008–2021) открыли множество ранее неизвестных фактов. Девять неограбленных захоронений молодых воинов разного возраста и социального статуса дают возможность подумать о том, кем были эти люди и почему их могилы расположены на разных участках одного из самых больших курганов тувинской Долины царей. Начало исследования центральной каменной насыпи кургана Чинге-Тей I привело к открытию в 2022 году непотревоженного погребения молодого мужчины в могиле 9, по всем признакам относящегося к представителям высшей знати или именитого воина. Об этом свидетельствуют расположение могилы (под центральной насыпью) и найденные вместе с ним тысячи золотых предметов, включая шедевры ювелирного искусства. Антропологическая реконструкция облика молодого воина также представлена на выставке. Исследования кургана Чинге-Те"
Hermitage Museum,Эрмитажные мгновения – 2026,30 апреля 2026 - 31 мая 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/moments26,"Цветовая палитра Стандартная Инверсия Синяя Показ изображений Показать Скрыть Размер шрифта А А А Тип шрифта Без засечек С засечками Межбуквенный интервал Стандартный Увеличенный Межстрочный интервал Стандартный Полуторный Вернуться к обычной версии МЕНЮ ПОСЕТИТЕЛЯМ ДОСТУПНЫЙ МУЗЕЙ КОЛЛЕКЦИИ. ИСТОРИЯ ЭРМИТАЖА ВИРТУАЛЬНЫЙ ВИЗИТ НОВОСТИ ВЫСТАВКИ И СОБЫТИЯ ПРОГРАММЫ О МУЗЕЕ ПОДДЕРЖКА МУЗЕЯ НАУКА И ПУБЛИКАЦИИ ЭРМИТАЖНЫЙ ТЕАТР ГОСТИНИЦА ЭРМИТАЖ ИНТЕРНЕТ-МАГАЗИН БИЛЕТЫ МАГАЗИН ГОСТИНИЦА EN ВЫСТАВКИ И СОБЫТИЯ Выставки и события Эрмитажные мгновения – 2026 30 апреля 2026 года в фойе Эрмитажного театра откроется ежегодная фотовыставка «Эрмитажные мгновения – 2026». Две предыдущие экспозиции этого цикла были посвящены сразу всем главным направлениям работы универсального музея: хранению коллекций, их изучению и представлению в собственных комплексах и центрах-спутниках, в разных городах России и за рубежом. А также реставрационным, выставочным, научным, просветительным, музыкальным и инклюзивным проектам Эрмитажа. Основной целью было – познакомить посетителей со всем разнообразием музейной деятельности, показать широту охвата всех её сфер. В этом году в фокусе внимания – две самые очевидные и самые яркие грани эрмитажной жизни. «Эрмитажные мгновения – 2026» – рассказ о том, как музей, оставаясь местом уединения и источником вдохновения для художников, исследователей и просто посетителей, становится, в то же время, местом притяжения для горожан и туристов, общественным форумом и символом государственности. Это фото-истории о масштабных проектах, которые привлекают в Эрмитаж политиков, руководителей культурных учреждений и учёных со всего мира. И редкая возможность увидеть, как выглядят пустые залы музея утром и в вечерние часы, зимой и летом. Как существуют в этом пространстве памяти и красоты сотрудники музея и те, кому посчастливилось сюда попасть. На экспозиции представлены работы фотографов Историко-информационно службы Эрмитажа Алексея Бронникова и Станислава Марченко, а также их коллег из центров-спутников Эрмитажа и городов, где в 2025 году прошли Дни Эрмитажа. Это высокохудожественные, тщательно выстроенные снимки и быстрые, репортажные зарисовки, на которых запечатлены здания и залы, люди музея и его гости, камерные и резонансные события, развернувшиеся в стенах Эрмитажа за последний год. Одна из задач, которые ставит перед собой Историко-информационная служба Государственного Эрмитажа, – создание своеобразной хроники жизни музея, фиксация всех направлений его внутренней и внешней работы, сохранение информации в текстах, видеосюжетах и фотографиях. Эта летопись ведётся на официальном сайте музея, в социальных сетях, на страницах газет, журналов и других СМИ. Выставка «Эрмитажные мгновения – 2026» станет очередной её главой. Об экспозиции Когда: 30 апреля 2026 - 31 мая 2026 Где: Главный музейный комплекс, Фойе Эрмитажного театра, зал 255 О МУЗЕЕ ДЛЯ СМИ КОНТАКТЫ ДОСТУПНЫЙ ЭРМИТАЖ ПОМОЩЬ МУЗЕЮ КУПИТЬ БИЛЕТЫ В ЭРМИТАЖ ПРИЛОЖЕНИЕ «АУДИОГИД ПО ЭРМИТАЖУ»"
Hermitage Museum,День Мецената. Дары Эрмитажу,14 апреля 2026 - 26 апреля 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/mecenat26,"Цветовая палитра Стандартная Инверсия Синяя Показ изображений Показать Скрыть Размер шрифта А А А Тип шрифта Без засечек С засечками Межбуквенный интервал Стандартный Увеличенный Межстрочный интервал Стандартный Полуторный Вернуться к обычной версии МЕНЮ ПОСЕТИТЕЛЯМ ДОСТУПНЫЙ МУЗЕЙ КОЛЛЕКЦИИ. ИСТОРИЯ ЭРМИТАЖА ВИРТУАЛЬНЫЙ ВИЗИТ НОВОСТИ ВЫСТАВКИ И СОБЫТИЯ ПРОГРАММЫ О МУЗЕЕ ПОДДЕРЖКА МУЗЕЯ НАУКА И ПУБЛИКАЦИИ ЭРМИТАЖНЫЙ ТЕАТР ГОСТИНИЦА ЭРМИТАЖ ИНТЕРНЕТ-МАГАЗИН БИЛЕТЫ МАГАЗИН ГОСТИНИЦА EN ВЫСТАВКИ И СОБЫТИЯ Выставки и события День Мецената. Дары Эрмитажу С 14 апреля 2026 года в Аполлоновом зале Зимнего дворца представлены дары меценатов Эрмитажа, пополнившие музейное собрание в 2025 – 2026 годах. Ботиночки дамские из ткани в полоску, на боковой шнуровке Шелковая и льняная ткани, натуральная кожа, шелковая тесьма, белый сплав; тиснение, ручная работа Великобритания. 1830–1840 гг. Дар Н. С. Мустафаева, 2026 г. Экспозицию составят дары Н. П. Абрамовой, М. Баруша, Н. С. Мустафаева, О. И. Сурковой. Среди даров современных художников следует отметить произведения В. А. Цивина. Важные дары музею преподнесли сотрудники Государственного Эрмитажа С. О. Андросов и Г. В. Вилинбахов. Выставка приурочена ко Дню Мецената – эрмитажному празднику, традиционно проходящему в музее 13 апреля. В этом году День Мецената посвящён памяти его инициатора – Аркадия Яковлевича Соснова – петербургского журналиста и писателя, многие годы возглавлявшего альманах «Русский меценат». На протяжении многих лет большим другом и меценатом музея был выдающийся коллекционер, профессор Юрий Шмавонович Абрамов. Его дело продолжила Наталья Петровна Абрамова, которая ко Дню Мецената сделала Эрмитажу ценный дар – портрет графа К. Г. Разумовского кисти неизвестного художника конца XVIII – начала XIX веков (с оригинала Л. Токке), представляющего видного российского государственного деятеля Елизаветинского и Екатерининского царствований. Французский коллекционер Морис Баруш передал в Эрмитаж замечательные образцы русского художественного текстиля из собрания А. А. Попова – основателя знаменитой парижской «Galerie Popoff et Co». Особую ценность представляют великолепной сохранности парчовые платки конца XVIII – первой половины XIX века, которые являлись важной частью традиционного русского праздничного костюма. Назим Султанович Мустафаев – известный российский коллекционер и исследователь в области истории моды – подарил Эрмитажу две пары дамской обуви 1830-х – 1840-х годов. Повседневные дамские ботиночки и нарядные домашние туфли займут достойное место в музейном собрании. Дар Ольги Ивановны Сурковой позволил заполнить существенные лакуны в коллекции одежды XX – XXI веков: платье модного дома «Valentino» и две эксклюзивные пары обуви, исполненные К. Гроувз, демонстрируют высочайшее техническое мастерство исполнения и яркие художественные образы. Среди даров современных художников следует отметить произведения петербургского скульптора, члена-корреспондента Российской Академии художеств, лауреата мн"
Hermitage Museum,Пьетро Гонзага. К 275-летию со дня рождения,28 марта 2026 - 26 апреля 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/gonzaga,"Цветовая палитра Стандартная Инверсия Синяя Показ изображений Показать Скрыть Размер шрифта А А А Тип шрифта Без засечек С засечками Межбуквенный интервал Стандартный Увеличенный Межстрочный интервал Стандартный Полуторный Вернуться к обычной версии МЕНЮ ПОСЕТИТЕЛЯМ ДОСТУПНЫЙ МУЗЕЙ КОЛЛЕКЦИИ. ИСТОРИЯ ЭРМИТАЖА ВИРТУАЛЬНЫЙ ВИЗИТ НОВОСТИ ВЫСТАВКИ И СОБЫТИЯ ПРОГРАММЫ О МУЗЕЕ ПОДДЕРЖКА МУЗЕЯ НАУКА И ПУБЛИКАЦИИ ЭРМИТАЖНЫЙ ТЕАТР ГОСТИНИЦА ЭРМИТАЖ ИНТЕРНЕТ-МАГАЗИН БИЛЕТЫ МАГАЗИН ГОСТИНИЦА EN ВЫСТАВКИ И СОБЫТИЯ Выставки и события Пьетро Гонзага. К 275-летию со дня рождения 28 марта 2026 года в Фойе Эрмитажного театра начинает работу выставка «Пьетро Гонзага. К 275-летию со дня рождения», приуроченная к празднованию Всемирного Дня театра. Гонзага, Пьетро ди Готтардо (1751–1831) Вид Эрмитажного театра. Эскиз занавеса Россия, после 1802 г. Бумага; перо, кисть, тушь по наброску карандашом. 25,5х34 см Программы к выставке Нынешний год отмечен двумя памятными датами, связанными с именем выдающегося театрального декоратора, рисовальщика, живописца, теоретика искусства Пьетро ди Готтардо Гонзага (1751–1831): 275 лет со дня рождения и 195 лет со дня смерти мастера. Уроженец региона Венето, он учился у знаменитых театральных художников своего времени Карло Галли Бибиена, Антонио Везентини, а позднее в Милане, у братьев Галлиари. В 1770-е годы он начал работать для театров Милана и других городов Италии. С 1778 года создавал декорации для театра Ла Скала. В 1792 году Пьетро Гонзага прибыл в Петербург, где стал главным придворным театральным художником. В созданных им декорациях шли спектакли в Эрмитажном и Большом Каменном театрах, на сценах театров Павловска и Гатчины. Уникальный творческий стиль Гонзаги основывался на эффекте иллюзорной перспективы в архитектуре, однако его произведения отличались не масштабными барочными фантазиями, характерными для работ Бибиена, а чёткостью, лаконичностью изображённых конструкций, родственных по духу творчеству итальянских архитекторов Андреа Палладио и Микеле Санмикели. Художник считал, что в театре, где всё построено на иллюзии, декоратор должен максимально приблизиться к натуре, чтобы достичь впечатления реальности сценического действия. На выставке будет представлено 22 эскиза театральных декораций мастера, включая знаменитый эскиз театрального занавеса Эрмитажного театра. Впервые будет показан гравированный увраж с неосуществлённым проектом театра в саду Михайловского замка. Дополнят экспозицию теоретические трактаты «Предуведомление моему начальнику, или надлежащее разъяснение театрального декоратора Пьетро Готтардо Гонзага о сущности его профессии» и «Музыка для глаз и театральная оптика», а также либретто к спектаклям, которые были оформлены Гонзагой. Куратор выставки — Екатерина Михайловна Орехова, старший научный сотрудник Отдела западноевропейского изобразительного искусства Государственного Эрмитажа, хранитель коллекции архитектурной графики. Об экспозиции Когда: 28 марта 2026 - 26 апреля 2026 Где: Главный музейный "
Hermitage Museum,За пределами «учёного искусства». Провинциальный портрет в собрании Эрмитажа,7 марта 2026 - 31 мая 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/province,"Цветовая палитра Стандартная Инверсия Синяя Показ изображений Показать Скрыть Размер шрифта А А А Тип шрифта Без засечек С засечками Межбуквенный интервал Стандартный Увеличенный Межстрочный интервал Стандартный Полуторный Вернуться к обычной версии МЕНЮ ПОСЕТИТЕЛЯМ ДОСТУПНЫЙ МУЗЕЙ КОЛЛЕКЦИИ. ИСТОРИЯ ЭРМИТАЖА ВИРТУАЛЬНЫЙ ВИЗИТ НОВОСТИ ВЫСТАВКИ И СОБЫТИЯ ПРОГРАММЫ О МУЗЕЕ ПОДДЕРЖКА МУЗЕЯ НАУКА И ПУБЛИКАЦИИ ЭРМИТАЖНЫЙ ТЕАТР ГОСТИНИЦА ЭРМИТАЖ ИНТЕРНЕТ-МАГАЗИН БИЛЕТЫ МАГАЗИН ГОСТИНИЦА EN ВЫСТАВКИ И СОБЫТИЯ Выставки и события За пределами «учёного искусства». Провинциальный портрет в собрании Эрмитажа 6 марта 2026 года в Манеже Малого Эрмитажа откроется выставка «За пределами “учёного искусства”. Провинциальный портрет в собрании Эрмитажа». Неизвестный художник. Портрет В.Г. Бибиковой в окружении прислуги. Вторая половина 1800-х годов ВИРТУАЛЬНЫЙ ВИЗИТ Программы к выставке Термин «провинциальное искусство» в данном случае обозначает не региональную принадлежность, а недостаток академического образования художника. Образно говоря, «провинциальный» портрет является некоей «окраиной» по отношению к «учёному искусству». Экспозиция включает в себя как признанные шедевры провинциального портрета первой половины XIX века, так и произведения, которые раньше не выставлялись. Основные задачи – показать живопись, прежде скрытую позднейшими записями, и привлечь внимание к художественным достоинствам подобных полотен. Это стало возможным благодаря серьёзной работе реставраторов Государственного Эрмитажа и Санкт-Петербургской академии художеств имени Ильи Репина, подготовивших для проекта десятки картин. Всего на выставке представлено 80 произведений живописи, большинство из которых широкий зритель увидит впервые. Среди них мужские, женские, детские и семейные портреты – работы неизвестных мастеров и художников, чьи имена сохранились. Часть картин была атрибутирована в процессе подготовки экспозиции. Исследователям удалось установить имена некоторых авторов и изображённых людей. Куратор выставки – Юрий Юрьевич Гудыменко, ведущий научный сотрудник Отдела истории русской культуры Государственного Эрмитажа. К выставке подготовлен иллюстрированный каталог со статьями Юрия Юрьевича Гудыменко и Валерия Юрьевича Бровкина, художника-реставратора высшей категории Лаборатории научной реставрации станковой живописи. *** Основу эрмитажного собрания провинциального портрета заложила коллекция Историко-бытового отдела Русского музея, созданного в 1918 году. Главными источниками пополнения были в то время национализированные частные собрания, хранившиеся в Государственном музейном фонде, а также частые экспедиции сотрудников по России. К моменту закрытия отдела в 1934 году его коллекция включала в себя около 300 тысяч единиц экспонатов, в том числе около 2 тысяч картин. Важнейшей частью собрания были живописные портреты, представлявшие основные социальные типы XVIII – начала XX века: «дворянский», «купеческий», «военный», «церковный» и так далее. Вместе они сложились в исключител"
Hermitage Museum,Архитектура книги,4 марта 2026 - 7 июня 2026,2026,post_2022,https://www.hermitagemuseum.org/what-s-on/book_architechture,"Цветовая палитра Стандартная Инверсия Синяя Показ изображений Показать Скрыть Размер шрифта А А А Тип шрифта Без засечек С засечками Межбуквенный интервал Стандартный Увеличенный Межстрочный интервал Стандартный Полуторный Вернуться к обычной версии МЕНЮ ПОСЕТИТЕЛЯМ ДОСТУПНЫЙ МУЗЕЙ КОЛЛЕКЦИИ. ИСТОРИЯ ЭРМИТАЖА ВИРТУАЛЬНЫЙ ВИЗИТ НОВОСТИ ВЫСТАВКИ И СОБЫТИЯ ПРОГРАММЫ О МУЗЕЕ ПОДДЕРЖКА МУЗЕЯ НАУКА И ПУБЛИКАЦИИ ЭРМИТАЖНЫЙ ТЕАТР ГОСТИНИЦА ЭРМИТАЖ ИНТЕРНЕТ-МАГАЗИН БИЛЕТЫ МАГАЗИН ГОСТИНИЦА EN ВЫСТАВКИ И СОБЫТИЯ Выставки и события Архитектура книги Книжные выставки являются продолжением традиций Эрмитажа, заложенных ещё Екатериной II, в личном собрании которой хранились не только произведения искусства, но и редкие книги, включая коллекции Дидро и Вольтера. Данте Алигьери. Новая жизнь. Иллюстрации Р. Доминова. Санкт-Петербург: Издательство «Вита Нова», 2010 Особое место в экспозиционной деятельности музея занимает представление уникальных образцов книги художника, поступающих в коллекцию музея, благодаря дарам меценатов и издателей. 4 марта 2026 года в Зимнем дворце будет представлен новый проект Государственного Эрмитажа и издательства «Вита Нова» – «Архитектура книги». Экспозиция демонстрирует подход к созданию книги по аналогии со строительством здания и состоит из четырёх крупных разделов – «фасад», «интерьер», «окна» и, собственно, сам «дом». Важное место отведено рассказу о той части работы над книгой, которая остаётся в тени: приёмам и методам работы специалистов разных областей под руководством «главных архитекторов» – издателя, редактора и художника. На выставке будет показано более 200 экспонатов из коллекции издательства «Вита Нова» и собрания Государственного Эрмитажа. Экспозиция приурочена к 25-летию издательства, успешно сотрудничающего с музеем с 2004 года. Открывает выставку зал, посвящённый «фасаду» книги – переплёту. Здесь представлены не только уникальные авторские работы, но также механизмы и инструменты переплётчиков. Посетители смогут познакомиться с разнообразными техниками декорирования переплёта: ручная роспись, аппликация, инкрустация; блинтовое, золотое и конгревное тиснения, тиснение фольгами; торшонирование и золочение обрезов; вышивка и многие другие. Гости выставки увидят также тиски для росписи обреза, пресс, станок для сшивания книжных тетрадей, книжные уголки, замки и жуковины. Во втором зале происходит переход к «интерьеру» книги: печатным техникам, традиционно использовавшимся для воспроизведения текстов и иллюстраций: ксилография, литография, различные офортные технологии. В этом разделе представлен инструментарий художника и печатника, показаны способы и стадии печати. Например, подготовленный к работе литографский камень, гравированные художниками офортные доски и этапы создания ксилографии. Третья часть экспозиции посвящена не тиражной, а уникальной графике – произведениям, созданным в единственном экземпляре. Продолжая метафору книги-здания, их можно уподобить «окнам», через которые читатель заглядывает в текст, или"
