museum,title,date_range,year,period,url,description
Jewish Museum and Tolerance Center,ЭНДИ УОРХОЛ: ДЕСЯТЬ ЗНАМЕНИТЫХ ЕВРЕЕВ ХХ ВЕКА,,2026,post_2022,https://www.jewish-museum.ru/exhibitions/endi-uorkhol-desyat-znamenitykh-evreev-khkh-veka/,"Музей онлайн Музей детям Коллекция Центр толерантности И И О Часы работы Понедельник — четверг, воскресенье: 12:00–22:00 (кассы до 21:00) Пятница: 10:00–15:00 (кассы до 14:00) Суббота и еврейские праздники: выходные Контакты Улица Образцова, дом 11, строение 1А, Москва, Россия +7 (495) 645‑05‑50 info@jewish-museum.ru Как проехать : .12.02.14-09.04.14 Выставка рассказывает о личных историях и судьбах десяти гениев в серии портретов, созданных Уорхолом: Сара Бернар, Луис Брандайс, Мартин Бубер, Джордж Гершвин, Франц Кафка, Братья Маркс, Голда Меир, Гертруда Стайн, Зигмунд Фрейд и Альберт Эйнштейн. Кураторы: Пол Мурхаус 300 ₽ - Выставка 500 ₽ - Основная экспозиция + выставка В Выставка рассказывает о личных историях и судьбах десяти гениев в серии портретов, созданных Уорхолом: Сара Бернар, Луис Брандайс, Мартин Бубер, Джордж Гершвин, Франц Кафка, Братья Маркс, Голда Меир, Гертруда Стайн, Зигмунд Фрейд и Альберт Эйнштейн. В основе выставки портреты, сопровождаемые архивными материалами, фотографиями, видеозаписями и интервью, раскрывающими жизнь и эпоху каждого из представленных на холстах. Кураторы проекта: Пол Мурхаус (Национальная портретная галерея, Лондон) и Мария Насимова (Еврейский музей и центр толерантности, Москва). Идея создания серии принадлежит американскому галеристу Рональду Фельдману и израильскому арт-дилеру Александру Харари. Энди Уорхол — икона века, воплощающая движение поп-арт, через своё искусство навсегда перевернул взгляд на общество потребления, тему которая не перестают быть актуальной и сегодня. В 60-е годы Уорхол сыграл важную роль в возрождении жанра портрета, совместив фотографию с живописью, он придал новое значение понятию «высокое искусство». Проект реализован при поддержке фонда семьи Блаватник. Фонд семьи Блаватник активно поддерживает ведущие образовательные, научные, культурные и благотворительные организации , Великобритании, России, Израиля и других стран мира. Глава фонда — Лен Блаватник, американский предприниматель и меценат. Л. Блаватник является основателем и руководителем частной промышленной инвестиционной компании Access Industries. Глобальные интересы компании состоят из нескольких секторов: природные ресурсы и химические вещества, медиа и телекоммуникации, новые технологии, науки о жизни, а также недвижимость. Подробную информацию о Лене Блаватнике и Access Industries вы можете найти на сайте www.accessindustries.com «Король Лир» Соломона Михоэлса. Постскриптум к 90-летию великого спектакля .30.03.26-17.08.26 500 ₽ За нами Москва. К 85-летию обороны Москвы .20.04.26-24.08.26 Под маской титульного л"
Jewish Museum and Tolerance Center,МЕЖ ДВУХ МИРОВ. ПАМЯТЬ О ЧЕЛОВЕКЕ И БЕССМЕРТИЕ ДУШИ В ЕВРЕЙСКОЙ КУЛЬТУРЕ,,2026,post_2022,https://www.jewish-museum.ru/exhibitions/evreyskiy-muzey-i-tsentr-tolerantnosti-sovmestno-s-muzeem-istorii-evreev-v-rossii-pri-podderzhke-bla/,"Музей онлайн Музей детям Коллекция Центр толерантности И И О Часы работы Понедельник — четверг, воскресенье: 12:00–22:00 (кассы до 21:00) Пятница: 10:00–15:00 (кассы до 14:00) Суббота и еврейские праздники: выходные Контакты Улица Образцова, дом 11, строение 1А, Москва, Россия +7 (495) 645‑05‑50 info@jewish-museum.ru Как проехать . О И В .15.07.15-23.08.15 Выставка посвящена ключевым ценностям в иудаизме, традициям и обычаям еврейского народа, нашедшим отражение в исторических, документальных и культурных свидетельствах. 300 ₽ - Выставка 500 ₽ - Основная экспозиция + выставка 150 ₽ - Выставка льготный 250 ₽ - Основная экспозиция + выставка льготный В Еврейский музей и центр толерантности совместно с Музеем истории евреев в России при поддержке Благотворительного фонда «» представляет выставку «Меж двух миров. Память о человеке и бессмертие души в еврейской культуре». Проект посвящен ключевым ценностям в иудаизме, традициям и обычаям еврейского народа, нашедшим свое отражение в исторических, документальных и культурных свидетельствах. Экспозиция выставки реализует четыре тематических направления: • человек как часть общины Израиля • обряды и ритуалы • эпиграфика • этнография В экспозиции представлены редкие текстуальные и визуальные артефакты иудейской культуры: ритуальная карета из Трансильвании, архивные фотографии, графика, миниатюрные скульптуры и документальное видео. Экспонаты, предоставленные Музеем истории евреев в России, приоткроют завесу тайны над бессменными традициями и обрядами одного из древнейших народов мира, нашедших свое отражение в мировом изобразительном искусстве и литературе. Кураторы: Григорий Казовский, Борис Хаймович Информационные партнеры: «Король Лир» Соломона Михоэлса. Постскриптум к 90-летию великого спектакля .30.03.26-17.08.26 500 ₽ За нами Москва. К 85-летию обороны Москвы .20.04.26-24.08.26 Под маской титульного листа: выставка книг из собрания библиотеки Шнеерсонов .24.06.26-03.10.26 Мы преодолеем. We Shall Overcome .26.06.26-18.07.26 Назад Вперед 2026 2025 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 И Даю согласие на обработку своих персональных данных в соответствии с политикой обработки персональных данных Используется технология Yandex SmartCaptcha. Данные обрабатываются в соответствии с политикой обработки данных И Посетить Выставки Экскурсии Программы Музей детям Контакты Карта музея Доступный музей Купить билет О музее Здание"
Jewish Museum and Tolerance Center,ВЫСТАВКА ПАСХАЛЬНЫХ АГГАДОТ В БИБЛИОТЕКЕ ШНЕЕРСОНА,,2026,post_2022,https://www.jewish-museum.ru/exhibitions/vystavka-paskhalnykh-aggadot-v-biblioteke-shneersona/,"Музей онлайн Музей детям Коллекция Центр толерантности И И О Часы работы Понедельник — четверг, воскресенье: 12:00–22:00 (кассы до 21:00) Пятница: 10:00–15:00 (кассы до 14:00) Суббота и еврейские праздники: выходные Контакты Улица Образцова, дом 11, строение 1А, Москва, Россия +7 (495) 645‑05‑50 info@jewish-museum.ru Как проехать В .06.04.15-05.06.15 Проект посвящен пасхальным аггадот — особым книгам, которые читали на праздник Песах. Считается, что Бог заповедал своему народу в Песах рассказывать историю Исхода, дабы она никогда не была забыта. Исполнением этой заповеди является чтение пасхальной аггады. В C 6 апреля по 5 июня в библиотеке семьи Шнеерсон в Еврейском музее и центре толерантности пройдет выставка «Пасхальные аггадот из коллекции Шнеерсона», посвященная главной книге праздника Песах. Считается, что Бог заповедал своему народу в Песах рассказывать историю Исхода из Египта, дабы она никогда не была забыта. Исполнением этой заповеди и является обязательное чтение в эти дни пасхальной аггады. Поскольку пасхальную аггаду полагалось читать в кругу семьи, то ее, в отличие от большинства других еврейских книг, украшали иллюстрациями, чтобы сделать рассказ интереснее и привлечь внимание детей. С момента появления первых таких печатных книг установилась определенная традиция их иллюстрирования. Как правило, аггада начинается с изображения основных пасхальных ритуалов и событий Исхода, а завершается иллюстрацией Храма — символа неизбежного наступления мессианской эпохи. На выставке будут представлены четыре издания пасхальной аггады из собрания династии Шнеерсон: два из них отпечатаны в Амстердаме (1712 и 1765), одно в Пизе (1801) и одно в городе Мец (1767). Помимо самих книг будут представлены образцы иллюстраций и комментарий к ним. На открытии, которое состоится 6 апреля в 15:00 в помещении библиотеки семьи Шнеерсон, сотрудники библиотеки расскажут всем желающим о представленных экспонатах, а также постараются ответить на вопросы. «Король Лир» Соломона Михоэлса. Постскриптум к 90-летию великого спектакля .30.03.26-17.08.26 500 ₽ За нами Москва. К 85-летию обороны Москвы .20.04.26-24.08.26 Под маской титульного листа: выставка книг из собрания библиотеки Шнеерсонов .24.06.26-03.10.26 Мы преодолеем. We Shall Overcome .26.06.26-18.07.26 Назад Вперед 2026 2025 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 И Даю согласие на обработку своих персональных данных в соответствии с политикой обработки персональных данных Используется технология Ya"
Jewish Museum and Tolerance Center,ПЕРЕВОДЫ ТАНАХА — ОТ ЭЛЛИНИЗМА ДО МОДЕРНА,,2026,post_2022,https://www.jewish-museum.ru/exhibitions/perevody-tanakha-ot-ellinizma-do-moderna/,"Музей онлайн Музей детям Коллекция Центр толерантности И И О Часы работы Понедельник — четверг, воскресенье: 12:00–22:00 (кассы до 21:00) Пятница: 10:00–15:00 (кассы до 14:00) Суббота и еврейские праздники: выходные Контакты Улица Образцова, дом 11, строение 1А, Москва, Россия +7 (495) 645‑05‑50 info@jewish-museum.ru Как проехать — .03.03.15-05.04.15 Выставка проходит в библиотеке семьи Шнеерсон. В Практика переводов священного для еврейской традиции комплекса текстов во все времена вызывала сложности в силу особой ответственности не только перед читателем, но и перед самим Всевышним. Вдруг, двусмысленно переведя какое-то слово, переводчик подтолкнет своего читателя к неверной интерпретации? Несмотря на противодействие еврейских мудрецов, необходимость перевода на другие языки становилась все актуальнее с потерей древнееврейским языком его коммуникативной функции — священному тексту угрожало бы забвение. Это послужило причиной появления переводов Танаха на языках, принимаемых евреями в качестве разговорных, среди которых греческий, арамейский, идиш, ладино, немецкий и многие другие. Некоторые из этих текстов были благосклонно восприняты традиционной средой, а некоторые до сих пор вызывают критическое переосмысление. Почему и насколько переводы разнились между собой? Как на них влиял культурный багаж переводчика и читателя? Чем переводы Танаха для мужчин отличались от переводов для женщин? Ответы на эти и другие вопросы посетители библиотеки смогут получить на нашей выставке, на которой представлены некоторые из еврейских переводов Танаха, обнаруженных в процессе описания книжной коллекции семьи Шнеерсон. «Король Лир» Соломона Михоэлса. Постскриптум к 90-летию великого спектакля .30.03.26-17.08.26 500 ₽ За нами Москва. К 85-летию обороны Москвы .20.04.26-24.08.26 Под маской титульного листа: выставка книг из собрания библиотеки Шнеерсонов .24.06.26-03.10.26 Мы преодолеем. We Shall Overcome .26.06.26-18.07.26 Назад Вперед 2026 2025 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 И Даю согласие на обработку своих персональных данных в соответствии с политикой обработки персональных данных Используется технология Yandex SmartCaptcha. Данные обрабатываются в соответствии с политикой обработки данных И Посетить Выставки Экскурсии Программы Музей детям Контакты Карта музея Доступный музей Купить билет О музее Здание История музея Архив Руководство Ученый совет Постоянная экспозиция Музей онлайн Коллекция муз"
Jewish Museum and Tolerance Center,ВЫСТАВКА ГЕРХАРДА РИХТЕРА «АБСТРАКЦИЯ И ОБРАЗ»,73 по 2016,2016,pre_2022,https://www.jewish-museum.ru/exhibitions/vystavka-gerkharda-rikhtera-abstraktsiya-i-obraz/,"Музей онлайн Музей детям Коллекция Центр толерантности И И О Часы работы Понедельник — четверг, воскресенье: 12:00–22:00 (кассы до 21:00) Пятница: 10:00–15:00 (кассы до 14:00) Суббота и еврейские праздники: выходные Контакты Улица Образцова, дом 11, строение 1А, Москва, Россия +7 (495) 645‑05‑50 info@jewish-museum.ru Как проехать « И » .09.11.16-05.02.17 Еврейский музей и центр толерантности представляет выставку Герхарда Рихтера «Абстракция и образ». Герхард Рихтер - один из самых авторитетных современных художников в мире, центральной темой творчества которого на протяжении более 50 лет является поиск значения образа в нашем восприятии реальности. 300 ₽ - Основная категория 150 ₽ - Льготная категория В Еврейский музей и центр толерантности представляет выставку Герхарда Рихтера «Абстракция и образ» Герхард Рихтер - один из самых авторитетных современных художников в мире, центральной темой творчества которого на протяжении более 50 лет является поиск значения образа в нашем восприятии реальности. Исследованиям Герхарда Рихтера в области абстракции посвящена экспозиция в Еврейском музее и центре толерантности, в которую вошли ключевые работы, созданные в период с 1973 по 2016 годы. На первой масштабной персональной выставке художника в России представлены знаковые произведения, иллюстрирующие важные этапы творчества мастера и разнообразие техник: Gray (1973), Aladin (1999), Haggadah (2006) и коллекция «Абстрактной живописи» (2016). Центром экспозиции является инсталляция «Биркенау» (2014) - серия из четырех широкоформатных абстрактных полотен, написанных под впечатлением от фотографий, снятых узником концентрационного лагеря в августе 1944 года. По мнению художника, любая попытка реалистично показать крупнейшую трагедию в истории человечества будет выглядеть жалко; картины из серии «Биркенау» далеки от фотооригинала, тем не менее, сильное эмоциональное воздействие от снимков в них передано языком беспредметной живописи. В инсталляцию также входят четыре полноразмерные фотографии-оригиналы и 93 детали этих снимков. Данное произведение, в котором ярко прослеживается тема реплицирования образа в нашем восприятии, эксперты относят к наиболее значимым произведениям искусства последних лет. Тема поиска образа представлена и в других разделах выставки: Halifax (1978) - 128 деталей абстрактных полотен; War Cut (2004) - 20 принтов и абстрактные фрагменты ранних картин; специальный проект Museum Visits - коллекция из 24 «зарисованных» фотографий, исследующих взаимоотношение снимка и абстракции; Elbe, November и Tag, а также одна из самых известных «зеркальных» картин Герхарда Рихтера Spiegel Grau"
Jewish Museum and Tolerance Center,НАЧНИ СНАЧАЛА! ФАРФОР ГАЛИНЫ ДУЛЬКИНОЙ,04 по 2016,2016,pre_2022,https://www.jewish-museum.ru/exhibitions/nachni-snachala-farfor-galiny-dulkinoy/,"Музей онлайн Музей детям Коллекция Центр толерантности И И О Часы работы Понедельник — четверг, воскресенье: 12:00–22:00 (кассы до 21:00) Пятница: 10:00–15:00 (кассы до 14:00) Суббота и еврейские праздники: выходные Контакты Улица Образцова, дом 11, строение 1А, Москва, Россия +7 (495) 645‑05‑50 info@jewish-museum.ru Как проехать ! .08.07.16-21.08.16 Еврейский музей и центр толерантности представляет выставку «Начни сначала! Фарфор Галины Дулькиной». Галина Дулькина – молодой автор, скульптор-фарфорист, получившая высокое признание среди коллекционеров и ценителей искусства, благодаря редкому сегодня мастерству работы с фарфором. В Галина Дулькина – молодой автор, скульптор-фарфорист, чьи работы уже находятся в крупнейших отечественных и западных частных собраниях. Столь высокое признание среди коллекционеров и ценителей искусства она получила благодаря редкому сегодня мастерству работы с таким сложным материалом как фарфор. Владение древней технологией, практически не изменившейся за последние 250 лет, требует от художника таланта как скульптора, создающего завершенную форму из фарфоровой массы, так и живописца, способного верно подобрать цвета на всех этапах обжига будущего произведения. Сочетая принципы работы традиционного фарфориста и современного художника, Галина Дулькина работает в собственной мастерской, где в одиночку осуществляет отливку, глазурование, роспись, обжиг, золочение и другие необходимые процессы по созданию фарфоровой скульптуры. В своем творчестве Галина Дулькина входит в диалог с выдающимися мастерами пластики Александром Архипенко и Константином Бранкузи. Стилистика росписи ее произведений отсылает зрителя к полотнам Жоржа Брака и наследию супрематистов. Развивая новый формат современного кубизма, Галина Дулькина исследует принципы этого направления в скульптуре, создавая узнаваемые работы, балансирующие на грани фигуративной пластики и беспредметности. Выставка в Еврейском музее и центре толерантности представит более 40 фарфоровых произведений, созданных с 2004 по 2016гг. «Король Лир» Соломона Михоэлса. Постскриптум к 90-летию великого спектакля .30.03.26-17.08.26 500 ₽ За нами Москва. К 85-летию обороны Москвы .20.04.26-24.08.26 Под маской титульного листа: выставка книг из собрания библиотеки Шнеерсонов .24.06.26-03.10.26 Мы преодолеем. We Shall Overcome .26.06.26-18.07.26 Назад Вперед 2026 2025 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 И Даю согласие на обработку своих персональных данных в соответствии с политикой обраб"
Jewish Museum and Tolerance Center,"СЛУЖЕНИЕ СЕРДЦЕМ. ХАСИДИЗМ: ЦАДИКИ, РЕЛИКВИИ, КНИГИ",,2026,post_2022,https://www.jewish-museum.ru/exhibitions/sluzhenie-serdtsem-khasidizm-tsadiki-relikvii-knigi/,"Музей онлайн Музей детям Коллекция Центр толерантности И И О Часы работы Понедельник — четверг, воскресенье: 12:00–22:00 (кассы до 21:00) Пятница: 10:00–15:00 (кассы до 14:00) Суббота и еврейские праздники: выходные Контакты Улица Образцова, дом 11, строение 1А, Москва, Россия +7 (495) 645‑05‑50 info@jewish-museum.ru Как проехать . : , , .20.04.16-03.07.16 Еврейский музей и центр толерантности при поддержке Банка представляет выставку «Служение сердцем. Хасидизм: цадики, реликвии, книги». Выставка из фондов Еврейского музея и центра толерантности, Российской государственной библиотеки, Музея истории евреев в России. В Еврейский музей и центр толерантности при поддержке Банка представляет выставку «Служение сердцем. Хасидизм: цадики, реликвии, книги». Выставка из фондов Еврейского музея и центра толерантности, Российской государственной библиотеки, Музея истории евреев в России. Хасидизм, возникший во второй половине века на территории современной Украины, привнес в религиозную практику иудаизма идею радостного служения Б-гу и сформировал новый тип общинного лидера - цадика, принимающего на себя обязанность помогать простым евреям и раскрывать перед ними пути Торы и заповедей. Передача хасидского учения осуществлялась как устно, от цадика к его последователям, так и посредством книг. Эти книги формировали институциональный, интеллектуальный и этический облик хасидского движения и получили широкое распространение среди евреев сразу после их написания. Они печатались в основном в еврейских типографиях Восточной Европы. Такие типографии во множестве существовали как раз в тех местах, где возник хасидизм (Волынь, Галиция, Подолия). Мистический характер хасидизма обусловил особое сакральное значение, которое придавалось не только книгам, написанным цадиками и их учениками, но также и тем, что хранились в их библиотеках. Ярким примером такой хасидской библиотеки является собрание книг династии Шнеерсонов, некоторые из которых представлены на этой выставке. Помимо наиболее значительных хасидских трудов, собранных Шнеерсонами, на выставке представлены предметы хасидского костюма; портреты цадиков, амулеты и другие хасидские реликвии из коллекции Музея истории евреев в России. Отдельно рассказывается об истории еврейских типографий, а также выставлены некоторые экспонаты и документы, имеющие отношение к сложной судьбе самой библиотеки Шнеерсонов, национализированной в послереволюционные годы и ныне хранящейся в отделе Российской государственной библиотеки в Еврейском музее и Центре толерантности. Партнеры выставки: «Король Лир» Соломона Михоэлса. Постскри"
Jewish Museum and Tolerance Center,ПОВСЕДНЕВНЫЕ И ПРАЗДНИЧНЫЕ МОЛИТВЕННИКИ В СОБРАНИИ БИБЛИОТЕКИ ШНЕЕРСОНА,,2026,post_2022,https://www.jewish-museum.ru/exhibitions/povsednevnye-i-prazdnichnye-molitvenniki-v-sobranii-biblioteki-shneersona/,"Музей онлайн Музей детям Коллекция Центр толерантности И И О Часы работы Понедельник — четверг, воскресенье: 12:00–22:00 (кассы до 21:00) Пятница: 10:00–15:00 (кассы до 14:00) Суббота и еврейские праздники: выходные Контакты Улица Образцова, дом 11, строение 1А, Москва, Россия +7 (495) 645‑05‑50 info@jewish-museum.ru Как проехать И В .02.02.16-04.03.16 Выставка «Повседневные и праздничные молитвенники в собрании библиотеки Шнеерсона» подготовлена Российской Государственной Библиотекой в сотрудничестве с Исследовательским центром Музея и посвящена еврейской молитвенной традиции. В Выставка «Повседневные и праздничные молитвенники в собрании библиотеки Шнеерсона» подготовлена Российской Государственной Библиотекой в сотрудничестве с Исследовательским центром Музея и посвящена еврейской молитвенной традиции. В экспозиции, наряду с другими сборниками молитв, сохранившимися среди книг библиотеки, представлено первое издания сиддура (молитвенника) Тора ор. Долгое время это издание считалось утерянным, на выставке представлен единственный известный его экземпляр. Сиддур Тора ор был составлен основателем движения Хабад рабби Шнеуром Залманом из Ляд и впервые издан в 1803 году в Шклове. «Король Лир» Соломона Михоэлса. Постскриптум к 90-летию великого спектакля .30.03.26-17.08.26 500 ₽ За нами Москва. К 85-летию обороны Москвы .20.04.26-24.08.26 Под маской титульного листа: выставка книг из собрания библиотеки Шнеерсонов .24.06.26-03.10.26 Мы преодолеем. We Shall Overcome .26.06.26-18.07.26 Назад Вперед 2026 2025 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 И Даю согласие на обработку своих персональных данных в соответствии с политикой обработки персональных данных Используется технология Yandex SmartCaptcha. Данные обрабатываются в соответствии с политикой обработки данных И Посетить Выставки Экскурсии Программы Музей детям Контакты Карта музея Доступный музей Купить билет О музее Здание История музея Архив Руководство Ученый совет Постоянная экспозиция Музей онлайн Коллекция музея Новости музея Для прессы Музейная лавка Кафе «Ришон» Посетить Наука и просвещение Семинары и конференции Исследовательские проекты Конкурсные программы Издательские проекты Библиотеки Образовательные проекты Экспертный совет Журнал Центр толерантности О центре Программы Проекты События Поддержка Эндаумент-фонд Спонсоры и партнеры Карта «Друг музея» Стать волонтером Провести мероприятие Поддержа"
Jewish Museum and Tolerance Center,КАЖДОМУ ПО СВОБОДЕ? ИСТОРИЯ ОДНОГО НАРОДА В ГОДЫ РЕВОЛЮЦИИ,17 октября 2017,2017,pre_2022,https://www.jewish-museum.ru/exhibitions/kazhdomu-po-svobode-istoriya-odnogo-naroda-v-gody-revolyutsii/,"Музей онлайн Музей детям Коллекция Центр толерантности И И О Часы работы Понедельник — четверг, воскресенье: 12:00–22:00 (кассы до 21:00) Пятница: 10:00–15:00 (кассы до 14:00) Суббота и еврейские праздники: выходные Контакты Улица Образцова, дом 11, строение 1А, Москва, Россия +7 (495) 645‑05‑50 info@jewish-museum.ru Как проехать Назад Вперед ? В .17.10.17-14.01.18 Междисциплинарный исследовательский проект, подготовленный совместно с Музеем истории евреев России. Выставка рассказывает о культурном, политическом и религиозном развитии еврейского сообщества в России в годы революции (1917–1919). В 17 октября 2017 года в Еврейском музее и центре толерантности открылась выставка «Каждому по свободе? История одного народа в годы революции» — междисциплинарный исследовательский проект, подготовленный совместно с Музеем истории евреев России. Выставка рассказывает о культурном, политическом и религиозном развитии еврейского сообщества в России в годы революции (1917–1919). На выставке представлены живопись, фотографии, книги, театральные афиши, листовки и плакаты политических партий из музейных собраний, архивов и частных коллекций. Экспонаты демонстрируют подъем и многообразие еврейской общественно–политической и художественной жизни накануне и после февраля 1917 года – времени свободы, надежд и их ограничения в 1919 году. В числе экспонатов — картины Марка Шагала, Роберта Фалька, Иссахара Бера Рыбака и Эль Лисицкого. Многие картины и документы, представленные на выставке, экспонируются впервые. Структурную основу выставки составляет хроника еврейской истории в контексте событий революционного периода в России, подготовленная командой мультимедийного документального проекта «1917. Свободная история». Помимо исторических фактов и статистики, в хронику вошли рассказы от первого лица непосредственных участников событий — Льва Троцкого, Юлия Мартова, Марка Шагала, Веры Инбер, Семена Дубнова и Василия Шульгина. Их рассказы звучат в отдельных пространствах, оформленных в духе времени и передающих особенности биографии и личности персонажей. Посетители выставки могут прочитать их письма, услышать их голос из старинных телефонов и радио. Широкий спектр исторических материалов, использованных при подготовке выставки, позволяет отразить всё многообразие политической и культурной жизни с 1917 по 1919 год. Выставка, ее экспонаты и оформление создают эффект «присутствия» и погружения в атмосферу революционного времени, знакомят посетителей с коротким, но чрезвычайно важным и насыщенным периодом истории еврейского сообщества в России. Кураторы: Григорий Казовский, Екатерина Крылова. Историческ"
Jewish Museum and Tolerance Center,«ДО ВОСТРЕБОВАНИЯ. КОЛЛЕКЦИИ РУССКОГО АВАНГАРДА ИЗ РЕГИОНАЛЬНЫХ МУЗЕЕВ. ЧАСТЬ II»,,2016,pre_2022,https://www.jewish-museum.ru/exhibitions/do-vostrebovaniya-kollektsii-russkogo-avangarda-iz-regionalnykh-muzeev-chast-ii/,"Музей онлайн Музей детям Коллекция Центр толерантности И И О Часы работы Понедельник — четверг, воскресенье: 12:00–22:00 (кассы до 21:00) Пятница: 10:00–15:00 (кассы до 14:00) Суббота и еврейские праздники: выходные Контакты Улица Образцова, дом 11, строение 1А, Москва, Россия +7 (495) 645‑05‑50 info@jewish-museum.ru Как проехать « . . » .30.03.17-28.05.17 Еврейский музей совместно с «Энциклопедией русского авангарда» представляет продолжение масштабного выставочного проекта под кураторством Андрея Сарабьянова – «До востребования. Коллекции русского авангарда из региональных музеев. Часть .» 300 ₽ - Посещение выставки 500 ₽ - Посещение основной экспозиции и выставки В Еврейский музей совместно с «Энциклопедией русского авангарда» представляет продолжение масштабного выставочного проекта под кураторством Андрея Сарабьянова – уникальную коллекцию искусства авангарда из собраний региональных музеев 17 городов: Архангельска, Астрахани, Вятки, Екатеринбурга, Иванова, Костромы, Краснодара, Нижнего Новгорода, Нижнего Тагила, Омска, Самары, Саратова, Смоленска, Тулы, Чебоксар, Ярославля, Яранска. Главная идея выставки – показать забытые произведения известных, малоизвестных или совсем неизвестных художников авангарда, хранящиеся в коллекциях региональных музеев. Экспозиция является логическим продолжением первой выставки «До востребования», проходившей в музее весной 2016 года. Хронология второй части выставки охватывает период с 1917 года до начала 1930-х годов. В это время продолжается художественная эволюция тех стилей, которые возникли в 1910-е годы (сезаннизм, кубофутуризм, примитивизм) и, одновременно, формируются новые направления, такие как беспредметность и конструктивизм. На авангардную сцену выходит поколение молодых художников, которые учились во Вхутемасе у самых известных мастеров авангарда, главным образом у представителей «Бубнового валета». Теперь их воспитанники формируют лицо нового искусства. Все они работают в пределах фигуративности, но развивают новые авангардные направления – экспрессионизм, сюрреализм. Одновременно возникают школы признанных мастеров беспредметного авангарда: школа Казимира Малевича в Витебске и школа Михаила Матюшина в Петрограде-Ленинграде. Александр Родченко также собирает вокруг себя молодых представителей беспредметности и зарождающегося конструктивизма. Для второй части выставки в Еврейском музее и центре толерантности из коллекций региональных музеев России было отобрано более 100 произведений как общеизвестных художников-авангардистов – Василия Кандинского, Эля Лисицкого, Михаила Матюшина, Любови Поповой, Алексан"
