museum,archive_year,raw_text,url
Jewish Museum and Tolerance Center,2014,Евреи России и Первая мировая война,https://www.jewish-museum.ru/exhibitions/evrei-rossii-i-pervaya-mirovaya-voyna/
Jewish Museum and Tolerance Center,2014,Раввинская династия,https://www.jewish-museum.ru/exhibitions/ravvinskaya-dinastiya/
Jewish Museum and Tolerance Center,2014,Отчужденный рай. Современное искусство Китая из коллекции DSL,https://www.jewish-museum.ru/exhibitions/otchuzhdennyy-ray-sovremennoe-iskusstvo-kitaya-iz-kollektsii-dsl/
Jewish Museum and Tolerance Center,2014,Авангард и авиация,https://www.jewish-museum.ru/exhibitions/avangard-i-aviatsiya/
Jewish Museum and Tolerance Center,2014,«Ателье» Моисея Наппельбаума,https://www.jewish-museum.ru/exhibitions/atele-moiseya-nappelbauma/
Jewish Museum and Tolerance Center,2014,Энди Уорхол: десять знаменитых евреев ХХ века,https://www.jewish-museum.ru/exhibitions/endi-uorkhol-desyat-znamenitykh-evreev-khkh-veka/
Jewish Museum and Tolerance Center,2014,Performance Now. Антология 2000-х годов,https://www.jewish-museum.ru/exhibitions/performance-now-antologiya-2000-kh-godov/
Jewish Museum and Tolerance Center,2015,Цепь традиции,https://www.jewish-museum.ru/exhibitions/tsep-traditsii/
Jewish Museum and Tolerance Center,2015,Last Folio,https://www.jewish-museum.ru/exhibitions/last-folio/
Jewish Museum and Tolerance Center,2015,Евреи в Великой Отечественной войне,https://www.jewish-museum.ru/exhibitions/evrei-v-velikoy-otechestvennoy-voyne/
Jewish Museum and Tolerance Center,2015,Аниш Капур. Моя алая родина,https://www.jewish-museum.ru/exhibitions/anish-kapur-moya-alaya-rodina-/
Jewish Museum and Tolerance Center,2015,Меж двух миров. Память о человеке и бессмертие души в еврейской культуре,https://www.jewish-museum.ru/exhibitions/evreyskiy-muzey-i-tsentr-tolerantnosti-sovmestno-s-muzeem-istorii-evreev-v-rossii-pri-podderzhke-bla/
Jewish Museum and Tolerance Center,2015,Процесс о трех миллионах. Коллекция плакатов Александра Добровинского,https://www.jewish-museum.ru/exhibitions/protsess-o-trekh-millionakh-kollektsiya-plakatov-aleksandra-dobrovinskogo/
Jewish Museum and Tolerance Center,2015,Выставка пасхальных аггадот в библиотеке Шнеерсона,https://www.jewish-museum.ru/exhibitions/vystavka-paskhalnykh-aggadot-v-biblioteke-shneersona/
Jewish Museum and Tolerance Center,2015,Альфред Эйзенштадт. Отец фотожурналистики,https://www.jewish-museum.ru/exhibitions/alfred-eyzenshtadt-otets-fotozhurnalistiki-/
Jewish Museum and Tolerance Center,2015,Современники будущего. Еврейские художники в русском авангарде. 1910–1980,https://www.jewish-museum.ru/exhibitions/sovremenniki-budushchego-evreyskie-khudozhniki-v-russkom-avangarde-1910-1980-e-gg/
Jewish Museum and Tolerance Center,2015,Переводы Танаха — от эллинизма до модерна,https://www.jewish-museum.ru/exhibitions/perevody-tanakha-ot-ellinizma-do-moderna/
Jewish Museum and Tolerance Center,2015,Человек и Катастрофа,https://www.jewish-museum.ru/exhibitions/proekt-chelovek-i-katastrofa/
Jewish Museum and Tolerance Center,2016,Выставка Герхарда Рихтера «Абстракция и образ»,https://www.jewish-museum.ru/exhibitions/vystavka-gerkharda-rikhtera-abstraktsiya-i-obraz/
