museum,title,date_range,year,period,url,description
Multimedia Art Museum Moscow,Ogoniok. Life as a holiday,23.05.2024—14.07.2024,2024,post_2022,https://mamm-mdf.ru/en/exhibitions/ogoniok,"Multimedia Art Museum, Moscow | Exhibitions | Ogoniok. Life as a holiday Ru Buy a ticket Museum Exhibitions biennales Books Rodchenko school Ogoniok. Life as a holiday 1 2 3 4 5 6 7 Yakov Ryumkin. Happy New Year, Comrades! 1954. Ogoniok archive Mikhail Savin. Polisher at the Lyudinovo Diesel Locomotive Plant and delegate to the 26th Congress of the Communist Party of the Soviet Union Gennady Petrukhin with his son Alexander. Kaluga region. 1981. Ogoniok archive Yakov Ryumkin. A bumper wheat harvest in the Novo-Alexandrovsk district of Stavropol region. Collective farm worker Anastasia Nikolaevna ""hugs"" the grain. 1951. Ogoniok archive Yakov Ryumkin. Cosmonaut Yuri Gagarin at home with his wife, Valentina. 1962. Ogoniok archive Dmitry Baltermants. Young Leninists Alyosha Pilyaev and Igor Usakov. Moscow. 1961. Ogoniok archive Mikhail Savin. Review by young actors of the Yanka Kupala Belorussian Drama Theatre. Minsk. 1953. Ogoniok archive Nikolai Drachinsky. The high-altitude skating rink in Alma-Ata. Spectators. 1955. Ogoniok archive Satka, 23.05.2024—14.07.2024 exhibition is over The Magnezit Museum Chelyabinsk region, st. Solnechnaya, 34 Share with friends Idea: Olga Sviblova, Viktor Loshak Curators: Anna Zaytseva, Olga Tsipenyuk Marking 115 years of the magazine Idea: Olga Sviblova, Viktor Loshak Curators: Anna Zaytseva, Olga Tsipenyuk Marking 115 years of the magazine Close Exhibition shedule 18.12.2014—15.02.2015 Moscow Multimedia Art Museum 14.12.2018—18.02.2019 Syktyvkar National Museum of the Republic of Komi 23.05.2024—14.07.2024 Satka The Magnezit Palace of Culture 23.05.2024—14.07.2024 Satka The Magnezit Museum Video For the press Supported by MULTIMEDIA ART MUSEUM, MOSCOW 12 a.m.–9 p.m. every day, monday closed ul. Ostozhenka, 16, Moscow, 119034 Inquiry office T: +7 (495) 637-11-00 E-mail: info@ mamm.art Press department T: +7 (495) 637-11-55 E-mail: pr@ mamm.art Event organization E-mail: event@ mamm.art Photobiennale Fashion and Style in Photography Exhibitions Auditorium Events (rus) Museum plan +7 (495) 777-77-77 priemnaja@culture.mos.ru Version for the visually impaired Information for visitors with disabilities Buy a ticket © Multimedia Art Museum, Moscow, 2026 We use cookies for two reasons: to give you a better experience of interacting with MAMМ, and to make sure that the ads you see on other sites are relevant. By continuing, you agree to the use of cookies. Read more I agree"
Multimedia Art Museum Moscow,Marc Riboud l'Alphabet du Monde,18.12.2014—6.02.2015,2015,pre_2022,https://mamm-mdf.ru/en/exhibitions/marc-riboud,"Multimedia Art Museum, Moscow | Exhibitions | Marc Riboud - l'Alphabet du Monde Ru Buy a ticket Museum Exhibitions biennales Books Rodchenko school Marc Riboud l'Alphabet du Monde 1 2 3 4 5 6 7 8 9 10 Marc Riboud. J comme Joie. Célébration de l’indépendance à Alger. Alger, juillet 1962. © Marc Riboud Marc Riboud. 11-1=10. Arabie Saoudite. 1974. © Marc Riboud Marc Riboud. A comme Acrobate. Peintre de la tour Eiffel. Paris, 1953. © Marc Riboud Marc Riboud Jean Babilée. Paris, 1953. © Marc Riboud Marc Riboud. Quai des Tuileries. Paris, 1953. © Marc Riboud Marc Riboud. École secondaire 331. Moscou, Russie, 1960. © Marc Riboud Marc Riboud. Malgré le froid, les amateurs d’échecs suivent « en direct » le match entre Mikhail Botvinnik et Mikhail Tal sur un panneau installé à l’extérieur du théâtre Pouchkine. Moscou, Russie, 1960. © Marc Riboud Marc Riboud. Yves Saint Laurent à son bureau. Paris, 1964. © Marc Riboud Marc Riboud. Pierre Cardin et Jeanne Moreau à un défilé de mode. Paris, 1964. © Marc Riboud Marc Riboud. Soudeurs sur le chantier de construction du paquebot «France», Saint-Nazaire, France, 1959. © Marc Riboud Moscow, 18.12.2014—6.02.2015 exhibition is over Share with friends Close Video For the press Marc Riboud ""l'Alphabet du Monde"" Pendant presque soixante ans Marc Riboud a parcouru le monde. Avide de voir et de comprendre, il a suivi avec passion les mutations du monde contemporain. Depuis le début des années 60, il nous a montré les indépendances africaines, la guerre d’Algérie, les tragédies du Vietnam et du Proche Orient. Ses photographies ont fait le tour du monde et en 1967, son visage d’une jeune fille tendant une fleur aux manifestants à Washington est devenu une icône. Mais la vie ordinaire l’intéresse autant que les évènements extraordinaires. Marc Riboud est sensible à la grâce des enfants qui jouent au Népal, à la tendresse d’un visage féminin au Japon, à la mélancolie d’un jeune soldat chinois. Avec lui le lointain devient proche, et l’ensemble de ses photographies est comme un grand livre d’images qui nous montre comment Marc Riboud regarde la vie, avec humour, avec tendresse, avec un étonnement toujours neuf. Ces images sont comme des mots écrits ou chantés dans un alphabet qui pourrait se lire dans tous les pays, dans toutes les langues. Cette exposition montre cet alphabet du monde et consacre deux chapitres particuliers à la Russie et à la France. Les photos de Russie ont été prises lors de longs séjours de Marc Riboud en URSS en 1960, 1962 et 1967. Ici aussi il a capté l’air du temps, l’atmosphère des années Khrouchtchev, la gloire de Gagarine et les célébrations du cinquantenaire de la Révolution mais aussi, les marchandes de poissons à Moscou, les femmes qui balaient la neige sur la Place Rouge, un écolier rêveur et triste à Iasnaia Poliana. Les photographies de Paris, la ville qu’il habite ou bien de province où il aime se promener à son rythme, c’est à dire en prenant son temps, ont été prises tout au long de sa vie,"
Multimedia Art Museum Moscow,Pirelli Calendar 2015 by Steven Meisel,18.12.2014—8.02.2015,2015,pre_2022,https://mamm-mdf.ru/en/exhibitions/pirelli-calendar-2015,"Multimedia Art Museum, Moscow | Exhibitions | Pirelli Calendar 2015 by Steven Meisel Ru Buy a ticket Museum Exhibitions biennales Books Rodchenko school Pirelli Calendar 2015 by Steven Meisel 1 2 3 4 Pirelli calendar 2015 by Steven Meisel Pirelli calendar 2015 by Steven Meisel Pirelli calendar 2015 by Steven Meisel Pirelli calendar 2015 by Steven Meisel Moscow, 18.12.2014—8.02.2015 exhibition is over Share with friends Close The project is presented by Official media partner Strategic information partner Information partners MULTIMEDIA ART MUSEUM, MOSCOW 12 a.m.–9 p.m. every day, monday closed ul. Ostozhenka, 16, Moscow, 119034 Inquiry office T: +7 (495) 637-11-00 E-mail: info@ mamm.art Press department T: +7 (495) 637-11-55 E-mail: pr@ mamm.art Event organization E-mail: event@ mamm.art Photobiennale Fashion and Style in Photography Exhibitions Auditorium Events (rus) Museum plan +7 (495) 777-77-77 priemnaja@culture.mos.ru Version for the visually impaired Information for visitors with disabilities Buy a ticket © Multimedia Art Museum, Moscow, 2026 We use cookies for two reasons: to give you a better experience of interacting with MAMМ, and to make sure that the ads you see on other sites are relevant. By continuing, you agree to the use of cookies. Read more I agree"
Multimedia Art Museum Moscow,People of the light,18.12.2014—18.01.2015,2015,pre_2022,https://mamm-mdf.ru/en/exhibitions/people-of-the-light,"Multimedia Art Museum, Moscow | Exhibitions | People of the light Ru Buy a ticket Museum Exhibitions biennales Books Rodchenko school People of the light 1 2 3 4 5 6 7 8 9 10 11 12 Moscow, 18.12.2014—18.01.2015 exhibition is over Share with friends Close For the press People of the Light Art Project People of the Light is a story told through photographs in honour of RusHydro’s10th anniversary. It is a story of the people behind the Russian hydro power industry. During the course of the 2014 jubilee year, 52 segments, one each week, were posted on www.ludi-sveta.ru . The stories tell about the people, whose labour gives light and warmth to cities and villages, whose labour allows for factories and construction sites to function. They tell of creations of people of the light — unique dams and hydro power stations, reservoirs and river locks. And the scale of these objects are of no importance, all of them are equally significant and fascinating — be it the story of the tiny Kurushskaya HPP, lost in the mountains of Dagestan or the story of the Sayano-Shushenskaya HPP, which is thirteen times more powerful than the baby Kurushskaya. The refrain that ties all the stories together is that the main asset of RusHydro are it’s people. Without them, even the most modern equipment and the most advanced of technologies would be dead and useless. That is why human fate is at the root of the project. The people are not divided into categories as ordinary or important, together all of them make a successful team. To the viewers, it is equally interesting to find out the story behind the living legend of the RusHydro Chief Technical Inspector Valentin Stafievskiy, or the story of Sergei and his dog Lucy, who keep an eye on the substation in the middle of the Magadan Region wilderness, hundreds of kilometers away from civilization. Each segment consists of dozens of brightly coloured expressive photographs, accompanied by text. Famous Russian masters of photography traveled far and wide across Russia, from Kamchatka to the North Caucasus, and caught on camera the every day life of those who work at hydro power plants. Of course, they could not pass over the diverse and unique Russian nature — the great Siberian rivers, taiga and mountains, the Kamchatka volcanoes. People of the Light is a product of collaboration. Having had such well-known photographers as Sergei Ponomarev, Dmitry Kostyukov, Elena Chernyshova, Yuri Kozyrev, Mitya Aleshkovsky, Oksana Yusko and others take part in the project, made it possible to increase the audience volume. The People of the Light exhibition at the Multimedia Art Museum is a step out of virtual reality into the actual reality, when the visitor is literally inside the project, when digital images become photographs and slide shows, and the text becomes an audio recording. After the exhibition in Moscow, People of the Light will be shown throughout Russia. The best works will become a part of the People of the Light photo album."
Multimedia Art Museum Moscow,«Sometimes a Dream is Like Sight...» Dedicated to the memory of Vladimir Yakovlev,3.12.2014—25.01.2015,2015,pre_2022,https://mamm-mdf.ru/en/exhibitions/yakovlev,"Multimedia Art Museum, Moscow | Exhibitions | «Sometimes a Dream is Like Sight...» Ru Buy a ticket Museum Exhibitions biennales Books Rodchenko school «Sometimes a Dream is Like Sight...» Dedicated to the memory of Vladimir Yakovlev 1 2 3 4 5 6 7 8 9 10 11 12 Vladimir Yakovlev. Eye-flower. 1983. Gouache on paper. Collection of the Vladimir Yakovlev Foundation Vladimir Yakovlev. Self-portrait. 1992. Gouache on paper. Collection of the Vladimir Yakovlev Foundation Vladimir Yakovlev. Hen. 1977. Gouache on paper. Collection of the Vladimir Yakovlev Foundation Vladimir Yakovlev. Rooster. 1992. Tempera on canvas. Collection of the Vladimir Yakovlev Foundation Vladimir Yakovlev. Cat with bird in its teeth. 1980s. Oil on canvas. Collection of the Vladimir Yakovlev Foundation Vladimir Yakovlev. Two white flowers. 1973. Gouache on paper. Collection of the Vladimir Yakovlev Foundation Vladimir Yakovlev. Flying fish. 1971. Gouache on paper. Collection of the Vladimir Yakovlev Foundation Exhibition view Exhibition view Exhibition view Exhibition view Exhibition view Moscow, 3.12.2014—25.01.2015 exhibition is over Share with friends © - Gennadiy Aigi Curators: Olga Sviblova, Anna Zaitseva, Alexandr Kronik, Leonid Ogarev © - Gennadiy Aigi Curators: Olga Sviblova, Anna Zaitseva, Alexandr Kronik, Leonid Ogarev Close Video For the press “Sometimes a Dream is Like Sight…” MAMM presents «Sometimes a Dream is Like Sight...», a solo show by Vladimir Yakovlev which marks 80 years since the birth of one of the most striking representatives of Soviet unofficial art. The exhibition comprises around 80 works dating from the 1950s to the 1990s, plus photographs and archive documents from the Vladimir Yakovlev Foundation. Vladimir Yakovlev (1934–1998) was one of the brightest and yet most tragic figures in unofficial art circles. Major Soviet unofficial artists — Ilya Kabakov, Victor Pivovarov, Vladimir Yankilevsky, Vladimir Nemukhin, Dmitry Plavinsky, Mikhail Grobman — write about Yakovlev with incredible warmth and poets such as Gennady Aigi, Genrikh Sapgir and Igor Kholin dedicated poems to him. The title of the exhibition «Sometimes a Dream is Like Sight...» is a quote from Gennady Aigi’s 1965 poem «To a Portrait by Vladimir Yakovlev». Yakovlev came from a family of «returnees» from the West. His grandfather, Mikhail Yakovlev, an impressionist artist whose work is in the Tretyakov Gallery collection, spent most of his life in western Europe. Several of his works will be exhibited at MAMM. In the 1930s Mikhail returned to the USSR «for ideological reasons», together with his Belgian wife and their son, Igor (Vladimir Yakovlev’s father), who had graduated from Brussels University as an engineer. Vladimir Yakovlev was born in 1934 in Balakhna, near Nizhny Novgorod. As a result of the war, evacuation and childhood illness he only completed six years of schooling. In 1949, at the age of 15, he was already working as a retoucher, photo librarian and photographer at the Iskusst"
Multimedia Art Museum Moscow,Julia Margaret Cameron (1815 - 1879),19.11.2014—1.02.2015,2015,pre_2022,https://mamm-mdf.ru/en/exhibitions/julia-margaret-cameron,"Multimedia Art Museum, Moscow | Exhibitions | Julia Margaret Cameron (1815 - 1879) Ru Buy a ticket Museum Exhibitions biennales Books Rodchenko school Julia Margaret Cameron (1815 - 1879) 1 2 3 4 5 6 7 8 9 10 11 12 Julia Margaret Cameron. Lady Adelaide Talbot, 1865. © Victoria and Albert Museum, London Julia Margaret Cameron. Mrs. Herbert Duckworth, 1872. © Victoria and Albert Museum, London Julia Margaret Cameron. Kept in the Heart / La Madonna della Ricordanza, 1864. © Victoria and Albert Museum, London Julia Margaret Cameron. Sappho, 1865. © Victoria and Albert Museum, London Julia Margaret Cameron. Whisper of the Muse, 1865. © Victoria and Albert Museum, London Julia Margaret Cameron. The red and white Roses, 1865. © Victoria and Albert Museum, London Julia Margaret Cameron. Paul and Virginia, 1864. © Victoria and Albert Museum, London Julia Margaret Cameron. Annie, 1864. © Victoria and Albert Museum, London Julia Margaret Cameron. Herschel, 1867. © Victoria and Albert Museum, London Henry Herschel Hay Cameron. Portrait of Julia Margaret Cameron by her son, about 1870 © Victoria and Albert Museum, London Julia Margaret Cameron. Hosanna, 1865. © Victoria and Albert Museum, London Julia Margaret Cameron. Charlotte Norman, about 1865. © Victoria and Albert Museum, London Moscow, 19.11.2014—1.02.2015 exhibition is over Share with friends Curator: Marta Weiss Celebrating the bicentenary of Julia Margaret Cameron's birth, the exhibition presents approximately 110 photographs, as well as some diary entries and letters, drawn entirely from the rich collections of the V&A, many of which were acquired directly from the artist herself. The Museum’s extensive holdings of Cameron’s photographs have never been exhibited together in depth. Curator: Marta Weiss Celebrating the bicentenary of Julia Margaret Cameron's birth, the exhibition presents approximately 110 photographs, as well as some diary entries and letters, drawn entirely from the rich collections of the V&A, many of which were acquired directly from the artist herself. The Museum’s extensive holdings of Cameron’s photographs have never been exhibited together in depth. Close Video For the press Julia Margaret Cameron (1815 - 1879) Julia Margaret Cameron (1815-79) was one of the most important photographers of the nineteenth century. Her photographic career began at the age of 48 when she received a camera as a gift from her eldest daughter. She quickly and energetically devoted herself to the art of photography, creating ambitious and experimental compositions, producing prints, and promoting and distributing her works as widely as possible. In addition to creating evocative portraits both of male and female subjects, Cameron staged tableaux and posed her sitters, often friends, family and servants — in simulation of allegorical paintings. A sensitive and pioneering portraitist, Cameron was criticised in her lifetime for her innovative and unconventional techniques. She wrote of her method of la"
Multimedia Art Museum Moscow,The Arctic,18.11.2014—11.12.2014,2014,pre_2022,https://mamm-mdf.ru/en/exhibitions/the-arctic,"Multimedia Art Museum, Moscow | Exhibitions | The Arctic Ru Buy a ticket Museum Exhibitions biennales Books Rodchenko school The Arctic 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 Sergey Anisimov. «Ices of Greenland-5». 2013. Artist’s collection Sergey Dolya. Ready for the Olympic relay. Port of Murmansk, 2013. Artist’s collection Sergey Dolya. «The ice scouts or exploring the glacial situation». The North Pole, 2013. Artist’s collection Lev Granovsky. Platform «Prirazlomnaya». 2014. Artist’s collection Sergey Anisimov. Night at the Arctic. Greenland, 2014. Artist’s collection Sergey Anisimov. The cockerels. Canada, 2009. Artist’s collection Pavel Kosenko. Nenets Autonomous Okrug, 2013. Artist’s collection Sergey Anisimov. Good mood. Spitsbergen, 2012. Artist’s collection Vasily Anisimov. The rookery. Spitsbergen, 2014. Artist’s collection Unknown Author. Georgy Sedov, polar captain. 1900s. S. Burasovsky collection Pyotr Novitsky. Vladimir Voronin, Polar researcher and captain of the ice-breakers “Georgy Sedov”, “Sibiryakov”, “Yermak”, “Cheluskin” and Icebreaker Fleet. 1930s. S. Burasovsky collection Viktor Temin. I.D.Papanin at the North Pole. 1937. MAMM collection Mark Troyanovsky. The “Alexander Sibiriakov” steamboat ice-breaker. In 1932 it sailed on the North sea way from the White sea to the Bering sea for the first time. 1933. S. Burasovsky collection Arkadiy Shaikhet. The meeting of the cheluskintsy. 1934. MAMM collection Mark Markov-Grinberg. The meeting of the Cheluskin crew on the Red Square. 1938. MAMM collection Vladislav Mikosha. Otto Schmidt with sons before the departure to the station “North pole – 1”. 1937. MAMM collection Moscow, 18.11.2014—11.12.2014 exhibition is over Share with friends As part of the ""Arctic Days in Moscow"" festival As part of the ""Arctic Days in Moscow"" festival Close Video Strategic partner of MAMM Official media partner Strategic information partner Information partners MULTIMEDIA ART MUSEUM, MOSCOW 12 a.m.–9 p.m. every day, monday closed ul. Ostozhenka, 16, Moscow, 119034 Inquiry office T: +7 (495) 637-11-00 E-mail: info@ mamm.art Press department T: +7 (495) 637-11-55 E-mail: pr@ mamm.art Event organization E-mail: event@ mamm.art Photobiennale Fashion and Style in Photography Exhibitions Auditorium Events (rus) Museum plan +7 (495) 777-77-77 priemnaja@culture.mos.ru Version for the visually impaired Information for visitors with disabilities Buy a ticket © Multimedia Art Museum, Moscow, 2026 We use cookies for two reasons: to give you a better experience of interacting with MAMМ, and to make sure that the ads you see on other sites are relevant. By continuing, you agree to the use of cookies. Read more I agree"
Multimedia Art Museum Moscow,Vsevolod Tarasevich Episode 2. Leningrad,14.11.2014—14.12.2014,2014,pre_2022,https://mamm-mdf.ru/en/exhibitions/vt-leningrad,"Multimedia Art Museum, Moscow | Exhibitions | Vsevolod Tarasevich - Episode 2. Leningrad Ru Buy a ticket Museum Exhibitions biennales Books Rodchenko school Vsevolod Tarasevich Episode 2. Leningrad 1 2 3 4 5 6 Vsevolod Tarasevich. Untitled. From the series ‘Nevsky Prospect’. Leningrad, 1965. Collection of the Moscow House of Photography Vsevolod Tarasevich. Untitled. From the series ‘Nevsky Prospect’. Leningrad, 1965. Collection of the Moscow House of Photography Vsevolod Tarasevich. Untitled. Leningrad, Summer Garden, 1965. Collection of the Moscow House of Photography Vsevolod Tarasevich. Untitled. Leningrad, 1965. Collection of the Moscow House of Photography Vsevolod Tarasevich. Untitled. From the series ‘Nevsky Prospect’. Leningrad, 1965. Collection of the Moscow House of Photography Vsevolod Tarasevich. Untitled. From the series ‘Nevsky Prospect’. Leningrad, 1965. Collection of the Moscow House of Photography Moscow, 14.11.2014—14.12.2014 exhibition is over Share with friends As part of the programmes 'Classics of Russian Photography' and 'Russian History in Photographs', MAMM presents the second exhibition by Vsevolod Tarasevich (1919-1998) – a series of photographs devoted to Leningrad in the 1960s. As part of the programmes 'Classics of Russian Photography' and 'Russian History in Photographs', MAMM presents the second exhibition by Vsevolod Tarasevich (1919-1998) – a series of photographs devoted to Leningrad in the 1960s. Close Video For the press Vsevolod Tarasevich ""Episode 2. Leningrad"" The life and career of Vsevolod Tarasevich was connected to Leningrad, subsequently St. Petersburg, for many years. He began publishing photographs in the Smena and Leningradskaya Pravda newspapers while studying at the Leningrad Electro-Technical Institute, and later, in 1940, became a press photographer for the LenTASS picture chronicle. Throughout the war he worked as photojournalist for the North-West Political Administration, then for the Leningrad front, and after the war with Vecherny Leningrad newspaper. One of Tarasevich’s most famous series was shot in Leningrad during the blockade and in the ruins of Peterhof and Pushkin. After moving to Moscow Tarasevich become staff correspondent for one of the most influential information agencies in the USSR, the Novosti Press Agency (APN). While employed at the agency Tarasevich often travelled to Leningrad on assignments. Most of the photographs shown in this exhibition were taken in the mid-1960s on commission for APN, as proven by texts pasted on the reverse of the image as material was submitted to the editorial office. In Leningrad Tarasevich created several quite diverse photographic series. His social reportage about a Leningrad juvenile detention facility, Leningrad State University and the Electro-Technical Institute date from the 1960s, and later, in the early 1970s, he produced the series ’LOMO Factory’ and ’Four Tasks of the Lathe Operator Moryakov’, about a Leningrad Construction Machine "
Multimedia Art Museum Moscow,Azerbaijan. Where Modernity and Tradition Meet. Photo exhibirtion by Andrey Bronnikov,28.10.2014—9.11.2014,2014,pre_2022,https://mamm-mdf.ru/en/exhibitions/azerbaijan,"Multimedia Art Museum, Moscow | Exhibitions | Azerbaijan. Where Modernity and Tradition Meet. Photo exhibirtion by Andrey Bronnikov Ru Buy a ticket Museum Exhibitions biennales Books Rodchenko school Azerbaijan. Where Modernity and Tradition Meet. Photo exhibirtion by Andrey Bronnikov 1 2 3 4 5 6 7 8 9 Moscow, 28.10.2014—9.11.2014 exhibition is over Share with friends Close MULTIMEDIA ART MUSEUM, MOSCOW 12 a.m.–9 p.m. every day, monday closed ul. Ostozhenka, 16, Moscow, 119034 Inquiry office T: +7 (495) 637-11-00 E-mail: info@ mamm.art Press department T: +7 (495) 637-11-55 E-mail: pr@ mamm.art Event organization E-mail: event@ mamm.art Photobiennale Fashion and Style in Photography Exhibitions Auditorium Events (rus) Museum plan +7 (495) 777-77-77 priemnaja@culture.mos.ru Version for the visually impaired Information for visitors with disabilities Buy a ticket © Multimedia Art Museum, Moscow, 2026 We use cookies for two reasons: to give you a better experience of interacting with MAMМ, and to make sure that the ads you see on other sites are relevant. By continuing, you agree to the use of cookies. Read more I agree"
Multimedia Art Museum Moscow,Best of ELLE,11.06.2016—14.08.2016,2016,pre_2022,https://mamm-mdf.ru/en/exhibitions/best-of-elle,"Multimedia Art Museum, Moscow | Exhibitions | Best of ELLE Ru Buy a ticket Museum Exhibitions biennales Books Rodchenko school Best of ELLE 1 2 3 4 Zemfira, musician. Photographer: Vladimir Mishukov. ELLE Russia, November 2004 Danila Kozlovsky, actor. Photographer: Anton Zemlyanoi. ELLE Russia, April 2014 Ksenia Sobchak, journalist. Photographer: Benoit Peverelli. ELLE Russia, May 2014 Konstantin Khabenksy, actor. Photographer: Anton Zemlyanoi. ELLE Russia, September 2014 Saint Petersburg, 11.06.2016—14.08.2016 exhibition is over Lumiere Hall emb. of Obvodny Canal, 74Ts www.lumierehall.ru Share with friends Close Exhibition shedule 22.10.2014—7.12.2014 Moscow Multimedia Art Museum 12.03.2015—27.04.2015 Samara Samara Regional Art Museum 11.06.2015—28.08.2015 Izhevsk Grifon Art Center 22.10.2015—20.12.2015 Vyatskiye Polyany Vyatskopolyansky Historical Museum 22.12.2015—22.02.2016 Yoshkar-Ola National Art Gallery 2.03.2016—6.04.2016 Kazan Gallery of Modern Art (The State Museum of Fine Arts of Tatarstan Republic) 11.06.2016—14.08.2016 Saint Petersburg Lumiere Hall MAMM strategic partner Official media partner Strategic information partner Information partners MULTIMEDIA ART MUSEUM, MOSCOW 12 a.m.–9 p.m. every day, monday closed ul. Ostozhenka, 16, Moscow, 119034 Inquiry office T: +7 (495) 637-11-00 E-mail: info@ mamm.art Press department T: +7 (495) 637-11-55 E-mail: pr@ mamm.art Event organization E-mail: event@ mamm.art Photobiennale Fashion and Style in Photography Exhibitions Auditorium Events (rus) Museum plan +7 (495) 777-77-77 priemnaja@culture.mos.ru Version for the visually impaired Information for visitors with disabilities Buy a ticket © Multimedia Art Museum, Moscow, 2026 We use cookies for two reasons: to give you a better experience of interacting with MAMМ, and to make sure that the ads you see on other sites are relevant. By continuing, you agree to the use of cookies. Read more I agree"
