period,word,tfidf_avg_score
before_2022,art,0.0483
before_2022,courtesy,0.0367
before_2022,artist,0.0296
before_2022,russian,0.0234
before_2022,print,0.0274
before_2022,project,0.0265
before_2022,new,0.0187
before_2022,house,0.0233
before_2022,series,0.0273
before_2022,world,0.0137
after_2022,art,0.0704
after_2022,courtesy,0.0147
after_2022,artist,0.0192
after_2022,russian,0.0224
after_2022,print,0.0164
after_2022,project,0.0172
after_2022,new,0.0232
after_2022,house,0.0162
after_2022,series,0.0109
after_2022,world,0.0201
