museum,title,date_range,year,period,url,text_to_analyze,category
Tretyakov Gallery,Лаврушинский переулок: шедевры русского искусства XI – начала XX века,,2017,pre_2022,https://www.tretyakovgallery.ru/exhibitions/o/shedevry-russkogo-iskusstva-xi-nachala-xx-veka/,"Временная закрытие некоторых залов Третьяковской галереи с марта до июля из-заเปลення экспозиции, а также временное отсутствие некоторых произведений искусства, включая работы Ивана Шишкина.",национальное российское искусство
Tretyakov Gallery,Архетипы авангарда,24 декабря 2025 — 7 июня 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/arkhetipy-avangarda/,"The exhibition ""Archetypes of Avant-Garde"" presents Russian avant-garde art through the lens of 12 archetypes, revealing the psychological patterns and motivations behind the creative works of famous artists.",западное искусство
Tretyakov Gallery,Фокус-выставка «Матисс и Пикассо. Цвет и форма»,17 февраля 2026 — 31 мая 2026,2026,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/matiss-i-pikasso-tsvet-i-forma/,"В выставке представлены работы Анри Матисса и Пабло Пикассо, известных французских художников-авангардистов XX века, которые нашли взаимосвязь с русским авангардом, повлиявшим на формирование стиля русских художников начала ХХ века.",западное искусство
Tretyakov Gallery,Эпоха Неизвестного. К 100-летию художника,16 декабря 2025 — 12 мая 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/epokha-neizvestnogo-k-100-letiyu-khudozhnika/,"Выставка посвящена творчеству Эрнста Иосифовича Неизвестного, кавалера боевых наград и фронтовика, подчеркивая его вклад не только в искусство, но и в историю страны.",западное искусство
Tretyakov Gallery,Фото[графическое] путешествие,21 ноября 2025 — 20 апреля 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/foto-graficheskoe-puteshestvie/,"В выставке представлены более 70 фотографий и графических работ, рассказывающих о популярных туристических местах более ста лет назад, а также современные работы мобильной фотографии.",восточное искусство
Tretyakov Gallery,Арктика. Полюс цвета,12 декабря 2025 — 19 апреля 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/arktika-polyus-tsveta/,"The State Tretyakov Gallery presents an extensive exhibition ""Arctica. Pole of Color"" dedicated to the artistic interpretation of the Russian North, featuring over 130 works from the 18th century to the present day, including paintings, graphics, sculpture, photography, and ethnographic artifacts. The exhibition explores the evolution of perception of the Arctic region, from romanticized images to documentary evidence of its exploration and modern artistic interpretations.",восточное искусство
Tretyakov Gallery,Братья Чернецовы. К новым берегам,25 декабря 2025 — 12 апреля 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/bratya-chernetsovy-k-novym-beregam/,"The exhibition ""Brothers Chernetsovs: To New Shores"" presents around 30 paintings and drawings by brothers Nikolai and Grigory Chernetsov, showcasing their artistic versatility and contributions to Russian art in the 19th century.",национальное российское искусство
Tretyakov Gallery,Владимир Немухин. Игра в абстракцию,11 ноября 2025 — 15 марта 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/vladimir-nemukhin-k-100-letiyu-so-dnya-rozhdeniya/,"The State Tretyakov Gallery presents a retrospective exhibition of Vladimir Nemukhin (1925-2016), a prominent 1960s artist and leader of the non-conformist movement. The show covers his creative path from the late 1950s to the 2000s, featuring over 70 works in various genres, including painting, graphics, and decorative art.",национальное российское искусство
Tretyakov Gallery,Наследие эпохи. Михаил Савицкий,18 декабря 2025 — 1 марта 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/nasledie-epokhi-mikhail-savitskiy/,"Суть выставки: выставка посвящена жизни и творчеству Михаила Савицкого, классика советского изобразительного искусства, который оставил след в развитии белорусской школы живописи второй половины ХХ века.",восточное искусство
Tretyakov Gallery,Из Пекина в Москву: диалог культур,19 ноября 2025 — 23 февраля 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/iz-pekina-v-moskvu-dialog-kultur/,"Вывод:

Выставка ""Из Пекина в Москву: диалог культур"" - международный проект Государственной Третьяковской галереи и Национального музея Китая, представляющий историю китайского искусства 14-19 века, а также празднуя 75-летие установления дипломатических отношений между Россией и Китаем.",восточное искусство
Tretyakov Gallery,Иван Грозный и сын его Иван. Возвращение,17 декабря 2024 — 15 февраля 2026,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/ivan-groznyy-i-syn-ego-ivan-vozvrashchenie/,"Суть выставки: Реставрация и возвращение в постоянную экспозицию картины Ильи Репина ""Иван Грозный и сын его Иван 16 ноября 1581 года"" после четырех лет реставрационных работ.",национальное российское искусство
Tretyakov Gallery,Зимняя сказка,10 января 2026 — 25 января 2026,2026,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/zimnyaya-skazka/,"The State Tretyakov Gallery presents the ""Winter Fairy Tale"" exhibition, a colorful journey through Russian winter, featuring works by N. Samokish, V. Perepletchikov, I. Levitan, and others, exploring themes of searching for happiness, overcoming challenges, and unexpected encounters.",национальное российское искусство
Tretyakov Gallery,Карл Брюллов. Рим – Москва – Петербург,10 июня 2025 — 18 января 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/karl-bryullov-rim-moskva-peterburg/,"В выставке представлено художественное наследие К.П. Брюллова, рассмотренное через призму понятия ""гений места"", приуроченной к 225-летнему юбилею мастера.",национальное российское искусство
Tretyakov Gallery,110 | Российский дизайн 1915–2025,27 декабря 2024 — 11 января 2026,2024,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/110-rossiyskiy-dizayn-1915-2025/,"Суть выставки: экспозиция отражает эволюцию отечественного дизайна от авангарда до современности, подчеркивая уникальность и особенности дизайнерского наследия России, а также его связи с культурным и промышленным развитием страны.",национальное российское искусство
Tretyakov Gallery,1418 дней. К 80-летию Великой Победы,22 апреля 2025 — 11 января 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/1418-dney-k-80-letiyu-velikoy-pobedy/,"The State Tretyakov Gallery presents an exhibition dedicated to the 80th anniversary of the victory in World War II, featuring artworks from its collection that tell the story of the war through five sections: ""War's Blazing Paths"", ""Altar of Victory"", ""Echoes of Past Wars"", ""Faces of Victory"", and ""Tretyakov Gallery during World War II"".",западное искусство
Tretyakov Gallery,А.В. Ступин и его ученики,22 августа 2025 — 7 декабря 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/aleksandr-stupin-i-ego-ucheniki/,"Суть выставки: Александру Ступину и его ученикам посвященная экспозиция, объединяющая более 30 произведений художника и его воспитанников, включая редко экспонируемые графические работы и шедевры зрелого творчества.",национальное российское искусство
Tretyakov Gallery,Дальний Восток. Время авангарда,23 мая 2025 — 7 декабря 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/dalniy-vostok-vremya-avangarda/,"The essence of the exhibition can be summarized in 2 sentences:

The exhibition ""Дальний Восток. Время авангарда"" (Distant East. Time of Avant-garde) presents local features of avant-garde art on the Russian Far East from 1917 to 1925, showcasing unique artistic phenomena formed by geographical distance from Moscow and cultural influences from China, Japan, and indigenous peoples. The exhibition features works by artists such as Viktor Palmov, Pavel Lubarsky, and others who blended avant-garde experimentation with Eastern traditions, creating a distinct cultural atmosphere on the Far East's outskirts.",восточное искусство
Tretyakov Gallery,Шедевры искусства Казахстана,7 октября 2025 — 23 ноября 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/shedevry-iskusstva-kazakhstana/,"The exhibition ""Masterpieces of Kazakh Art"" showcases the best examples of Kazakh fine art from the 20th century, featuring works by multiple generations of talented artists.",восточное искусство
Tretyakov Gallery,Александр Дейнека. Гимн жизни,26 июня 2025 — 26 октября 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/aleksandr-deyneka-gimn-zhizni/,"Суть выставки: Александра Дейнеки - объединение более 200 произведений живописи, графики и скульптуры из собрания Курской картинной галереи и коллекции Третьяковской галереи.",национальное российское искусство
Tretyakov Gallery,Илья Машков. Авангард. Китч. Классика,17 июня 2025 — 26 октября 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/ilya-mashkov-avangard-kitch-klassika/,"Суть выставки: масштабная ретроспективия Ильи Машкова, ключевой фигуры раннего русского авангарда, объединяющая около 200 работ художника, раскрывающая эволюцию его творчества от радикальных экспериментов до поздних работ периода соцреализма.",национальное российское искусство
Tretyakov Gallery,Елизавета Кругликова и вокруг,31 мая 2025 — 19 октября 2025,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/elizaveta-kruglikova-i-vokrug/,"В Третьяковской галерее проходит выставка, посвященная Елизавете Сергеевне Кругликовой - выдающемуся художнику и педагогу, которая внесла значительный вклад в развитие офорта, силуэта и монотипии в России.",национальное российское искусство
