museum,title,raw_text,year,period,url,date_range,description,foreign_collaboration,collaboration_context,country_or_region,foreign_partner
Pushkin Museum,Беатриса Сандомирская. 1894–1974,Беатриса Сандомирская. 1894–1974 07 апреля – 21 июня 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2026/exhibitions/beatrissa_sandomirskaya/index.php?lang=ru,,"Беатриса Сандомирская. 1894–1974 Рекомендации для посетителей с электронными билетами поиск найти Билеты Внимание Рекомендации для посетителей с электронными билетами Aa Версии сайта Обычная версия Контрастная версия Крупный шрифт • контрастные цвета • скрыть картинки РУС РУС ENG ITA GER FRA ESP 中文 日本 поделиться Поделиться Музей в соцсетях OK VKontakte TripAdviser Telegram Яндекс Цзен RuTube Max 1 Музей Посетителям Выставки и события Коллекции Медиа Наука и образование История музея История коллекций Цветаевская коллекция Сайт Ирины Антоновой Архив выставок Здания Главное здание Галерея искусства стран Европы и Америки Мемориальная квартира Святослава Рихтера Мусейон Учебный музей (РГГУ) Мастерская Эдуарда Штейнберга Музейный квартал Отделы Филиалы Нижний Новгород Томск Руководство Поддержи музей Попечительский совет Спонсоры и партнеры Меценаты и патроны Друзья Пушкинского Фонд Пушкинского Мероприятия Online пожертвование Волонтёры Пушкинского Документы Деятельность Научная и просветительская Издательская Выставочная Археологическая Музыкальная ИТ-развитие и инновации Социальная инклюзия Пресс-центр Контакты Вакансии Использование материалов и изображений Поиск владельцев произведений Cпланировать визит Билеты и льготы Режим работы и адреса зданий музея Экскурсии, события, программы Правила посещения и рекомендации Посетителям с инвалидностью Магазин Шедевры Живопись Графика Скульптура Прикладное искусство Древний Восток Искусство и археология Античного мира Нумизматика Художественная фотография Коллекция слепков Коллекция и электронные публикации отдела визуальной информации Онлайн-словарь фотографических техник Виртуальный Пушкинский Электронные коллекции Пушкинский для всех Специальные проекты Музей на других ресурсах Интернета Видеоканал Подкасты Аудио- и медиагиды Тесты и игры 3D-реконструкции и моделирование Пушкинский XXI Контексты. Фотографы о себе и фотографии Научная работа Научные мероприятия Лекционный сезон 2025–2026 Молодежное направление «Пушкинский.Ю» Детский центр «Мусейон» Академия Пушкинского Издания Научная библиотека Реставрация Археология Медиатека Сотрудничество с вузами и практика в музее Внимание Рекомендации для посетителей с электронными билетами Музей История музея Здания Музейный квартал Отделы Филиалы Руководство Поддержи музей Документы Деятельность Пресс-центр Контакты Вакансии Использование материалов и изображений Поиск владельцев произведений Посетителям Cпланировать визит Билеты и льготы Режим работы и адреса зданий музея Экскурсии, события, программы Правила посещения и рекомендации Посетителям с инвалидностью Магазин Выставки и события Коллекции Шедевры Живопись Графика Скульптура Прикладное искусство Древний Восток Искусство и археология Античного мира Нумизматика Художественная фотография Коллекция слепков Коллекция и электронные публикации отдела визуальной информации Онлайн-словарь фотографических техник Медиа Виртуальный Пушкинский Электронные коллекции Пушкинский для всех Специальные проекты Музей на других ресурсах Интернета Видеоканал Подкасты Аудио- и медиагиды Тесты и игры 3D-реконструкции и моделирование Пушкинский XXI Контексты. Фотографы о себе и фотографии Наука и образование Научная работа Научные мероприятия Лекционный сезон 2025–2026 Молодежное направление «Пушкинский.Ю» Детский центр «Мусейон» Академия Пушкинского Издания Научная библиотека Реставрация Археология Медиатека Сотрудничество с вузами и практика в музее Обычная версия Контрастная версия Крупный шрифт • контрастные цвета • скрыть картинки РУС ENG OK VKontakte TripAdviser Telegram Яндекс Цзен RuTube Max © Государственный музей изобразительных искусств им. А.С. Пушкина поиск Aa EN поделиться Беатриса Сандомирская. 1894–1974 07 апр - 21 июн 2026 Все Выставки Галерея искусства стран Европы и Америки Залы 1-7 Условия покупки билетов и экскурсионных путевок Купить билет Экскурсии Программа к выставке Стать другом Поделиться Доступно по Пушкинской карте Узнать больше Правила посещения Государственный музей изобразительных искусств имени А.С. Пушкина открывает выставку «Беатриса Сандомирская. 1894–1974» — первую за 60 лет экспозицию, посвященную творчеству выдающегося скульптора. Выставка объединит произведения из собраний музеев России и Армении и впишет наследие Сандомирской в контекст мирового искусства. Образный язык Сандомирской сформировался под влиянием российской скульптурной школы. Но своими учителями она считала не только Сергея Волнухина и Сергея Конёнкова, но и Казимира Малевича. Памятник Робеспьеру работы Сандомирской стал одним из самых обсуждаемых монументов в первые годы советской власти. Беатриса Юрьевна организовывала Государственные свободные художественные мастерские (ГСХМ) в Оренбурге и Туркестане, участвовала в деятельности Общества русских скульпторов (ОРС). Самобытность творчества Сандомирской во многом объясняется глубокой погруженностью в мировые художественные процессы. Она изучила русскую пластическую традицию, увлекалась кубизмом, примитивизмом, африканской скульптурой ",yes,"1894–1974 Рекомендации для посетителей с электронными билетами поиск найти Билеты Внимание Рекомендации для посетителей с электронными билетами Aa Версии сайта Обычная версия Контрастная версия Крупный шрифт • контрастные цвета • скрыть картинки РУС РУС ENG ITA GER FRA ESP 中文 日本 поделиться Поделиться Музей в соцсетях OK VKontakte TripAdviser Telegram Яндекс Цзен RuTube Max 1 Музей Посетителям Выставки и события Коллекции Медиа Наука и образование История музея История коллекций Цветаевская коллекция Сайт Ирины Антоновой Архив выставок Здания Главное здание Галерея искусства стран Европы и Америки Мемориальная квартира Святослава Рихтера Мусейон Учебный музей (РГГУ) Мастерская Эдуарда Штейнберга Музейный квартал Отделы Филиалы Нижний Новгород Томск Руководство Поддержи музей Попечительский совет Спонсоры и партнеры Меценаты и патроны Друзья Пушкинского Фонд Пушкинского Мероприятия Online пожертвование Волонтёры Пушкинского Документы Деятельность Научная и просветительская Издательская Выставочная Археологическая Музыкальная ИТ-развитие и инновации Социальная инклюзия Пресс-центр Контакты Вакансии Использование материалов и изображений Поиск владельцев произведений Cпланировать визит Билеты и льготы Режим работы и адреса зданий музея Экскурсии, события, программы Правила посещения и рекомендации Посетителям с инвалидностью Магазин Шедевры Живопись Графика Скульптура Прикладное искусство Древний Восток Искусство и археология Античного мира Нумизматика Художественная фотография Коллекция слепков Коллекция и электронные публикации отдела визуальной информации Онлайн-словарь фотографических техник Виртуальный Пушкинский Электронные коллекции Пушкинский для всех Специальные проекты Музей на других ресурсах Интернета Видеоканал Подкасты Аудио- и медиагиды Тесты и игры 3D-реконструкции и моделирование Пушкинский XXI Контексты.",USA,
Pushkin Museum,Медали Ефима Харабета. Новое поступление в собрание отдела нумизматики ГМИИ им. А.С. Пушкина,Медали Ефима Харабета. Новое поступление в собрание отдела нумизматики ГМИИ им. А.С. Пушкина 24 марта – 31 мая 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2026/exhibitions/medali_efima_harabeta._novoe_postuplenie_v_sobranie_otdela_numizmatiki_gmii_im._a.s._pushkina/index.php?lang=ru,,"Медали Ефима Харабета. Новое поступление в собрание отдела нумизматики ГМИИ им. А.С. Пушкина Рекомендации для посетителей с электронными билетами поиск найти Билеты Внимание Рекомендации для посетителей с электронными билетами Aa Версии сайта Обычная версия Контрастная версия Крупный шрифт • контрастные цвета • скрыть картинки РУС РУС ENG ITA GER FRA ESP 中文 日本 поделиться Поделиться Музей в соцсетях OK VKontakte TripAdviser Telegram Яндекс Цзен RuTube Max 1 Музей Посетителям Выставки и события Коллекции Медиа Наука и образование История музея История коллекций Цветаевская коллекция Сайт Ирины Антоновой Архив выставок Здания Главное здание Галерея искусства стран Европы и Америки Мемориальная квартира Святослава Рихтера Мусейон Учебный музей (РГГУ) Мастерская Эдуарда Штейнберга Музейный квартал Отделы Филиалы Нижний Новгород Томск Руководство Поддержи музей Попечительский совет Спонсоры и партнеры Меценаты и патроны Друзья Пушкинского Фонд Пушкинского Мероприятия Online пожертвование Волонтёры Пушкинского Документы Деятельность Научная и просветительская Издательская Выставочная Археологическая Музыкальная ИТ-развитие и инновации Социальная инклюзия Пресс-центр Контакты Вакансии Использование материалов и изображений Поиск владельцев произведений Cпланировать визит Билеты и льготы Режим работы и адреса зданий музея Экскурсии, события, программы Правила посещения и рекомендации Посетителям с инвалидностью Магазин Шедевры Живопись Графика Скульптура Прикладное искусство Древний Восток Искусство и археология Античного мира Нумизматика Художественная фотография Коллекция слепков Коллекция и электронные публикации отдела визуальной информации Онлайн-словарь фотографических техник Виртуальный Пушкинский Электронные коллекции Пушкинский для всех Специальные проекты Музей на других ресурсах Интернета Видеоканал Подкасты Аудио- и медиагиды Тесты и игры 3D-реконструкции и моделирование Пушкинский XXI Контексты. Фотографы о себе и фотографии Научная работа Научные мероприятия Лекционный сезон 2025–2026 Молодежное направление «Пушкинский.Ю» Детский центр «Мусейон» Академия Пушкинского Издания Научная библиотека Реставрация Археология Медиатека Сотрудничество с вузами и практика в музее Внимание Рекомендации для посетителей с электронными билетами Музей История музея Здания Музейный квартал Отделы Филиалы Руководство Поддержи музей Документы Деятельность Пресс-центр Контакты Вакансии Использование материалов и изображений Поиск владельцев произведений Посетителям Cпланировать визит Билеты и льготы Режим работы и адреса зданий музея Экскурсии, события, программы Правила посещения и рекомендации Посетителям с инвалидностью Магазин Выставки и события Коллекции Шедевры Живопись Графика Скульптура Прикладное искусство Древний Восток Искусство и археология Античного мира Нумизматика Художественная фотография Коллекция слепков Коллекция и электронные публикации отдела визуальной информации Онлайн-словарь фотографических техник Медиа Виртуальный Пушкинский Электронные коллекции Пушкинский для всех Специальные проекты Музей на других ресурсах Интернета Видеоканал Подкасты Аудио- и медиагиды Тесты и игры 3D-реконструкции и моделирование Пушкинский XXI Контексты. Фотографы о себе и фотографии Наука и образование Научная работа Научные мероприятия Лекционный сезон 2025–2026 Молодежное направление «Пушкинский.Ю» Детский центр «Мусейон» Академия Пушкинского Издания Научная библиотека Реставрация Археология Медиатека Сотрудничество с вузами и практика в музее Обычная версия Контрастная версия Крупный шрифт • контрастные цвета • скрыть картинки РУС ENG OK VKontakte TripAdviser Telegram Яндекс Цзен RuTube Max © Государственный музей изобразительных искусств им. А.С. Пушкина поиск Aa EN поделиться Медали Ефима Харабета. Новое поступление в собрание отдела нумизматики ГМИИ им. А.С. Пушкина 24 мар - 31 май 2026 Все Выставки Главное здание Белый пол (площадка перед залом 7) Купить билет Программа к выставке Стать другом Поделиться Доступно по Пушкинской карте Узнать больше Правила посещения Государственный музей изобразительных искусств имени А.С. Пушкина представляет выставку «Медали Ефима Харабета. Новое поступление в собрание отдела нумизматики ГМИИ им. А.С. Пушкина». Музей получил в дар 41 произведение Ефима Викторовича Харабета (1929–2004), выдающегося мастера медальерного искусства. Эти памятники ранее хранились в семье художника. На выставке будет показано 19 предметов, относящихся к советскому периоду его творчества. Переданные в музей работы имеют особую ценность: большинство медалей мастер создавал не для широкого распространения, а как уникальные произведения, которые он дарил родственникам и друзьям. Подробнее о выставке Ефим Харабет, грек по происхождению, был художником-самоучкой. Однако его талант позволил ему выработать неповторимый стиль. Переданные в музей работы особенно ценны: в отличие от многих скульпторов и медальеров, Харабет не сотрудничал с монетными дворами, предпочитая создавать свои работы малыми тиражами. Часто м",yes,"Пушкина Рекомендации для посетителей с электронными билетами поиск найти Билеты Внимание Рекомендации для посетителей с электронными билетами Aa Версии сайта Обычная версия Контрастная версия Крупный шрифт • контрастные цвета • скрыть картинки РУС РУС ENG ITA GER FRA ESP 中文 日本 поделиться Поделиться Музей в соцсетях OK VKontakte TripAdviser Telegram Яндекс Цзен RuTube Max 1 Музей Посетителям Выставки и события Коллекции Медиа Наука и образование История музея История коллекций Цветаевская коллекция Сайт Ирины Антоновой Архив выставок Здания Главное здание Галерея искусства стран Европы и Америки Мемориальная квартира Святослава Рихтера Мусейон Учебный музей (РГГУ) Мастерская Эдуарда Штейнберга Музейный квартал Отделы Филиалы Нижний Новгород Томск Руководство Поддержи музей Попечительский совет Спонсоры и партнеры Меценаты и патроны Друзья Пушкинского Фонд Пушкинского Мероприятия Online пожертвование Волонтёры Пушкинского Документы Деятельность Научная и просветительская Издательская Выставочная Археологическая Музыкальная ИТ-развитие и инновации Социальная инклюзия Пресс-центр Контакты Вакансии Использование материалов и изображений Поиск владельцев произведений Cпланировать визит Билеты и льготы Режим работы и адреса зданий музея Экскурсии, события, программы Правила посещения и рекомендации Посетителям с инвалидностью Магазин Шедевры Живопись Графика Скульптура Прикладное искусство Древний Восток Искусство и археология Античного мира Нумизматика Художественная фотография Коллекция слепков Коллекция и электронные публикации отдела визуальной информации Онлайн-словарь фотографических техник Виртуальный Пушкинский Электронные коллекции Пушкинский для всех Специальные проекты Музей на других ресурсах Интернета Видеоканал Подкасты Аудио- и медиагиды Тесты и игры 3D-реконструкции и моделирование Пушкинский XXI Контексты.",USA,
Pushkin Museum,«Московский Витрувий» в ГМИИ им. А.С. Пушкина,«Московский Витрувий» в ГМИИ им. А.С. Пушкина 27 января – 31 мая 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2026/exhibitions/moscow_vitruvius/index.php?lang=ru,,"«Московский Витрувий» в ГМИИ им. А.С. Пушкина Рекомендации для посетителей с электронными билетами поиск найти Билеты Внимание Рекомендации для посетителей с электронными билетами Aa Версии сайта Обычная версия Контрастная версия Крупный шрифт • контрастные цвета • скрыть картинки РУС РУС ENG ITA GER FRA ESP 中文 日本 поделиться Поделиться Музей в соцсетях OK VKontakte TripAdviser Telegram Яндекс Цзен RuTube Max 1 Музей Посетителям Выставки и события Коллекции Медиа Наука и образование История музея История коллекций Цветаевская коллекция Сайт Ирины Антоновой Архив выставок Здания Главное здание Галерея искусства стран Европы и Америки Мемориальная квартира Святослава Рихтера Мусейон Учебный музей (РГГУ) Мастерская Эдуарда Штейнберга Музейный квартал Отделы Филиалы Нижний Новгород Томск Руководство Поддержи музей Попечительский совет Спонсоры и партнеры Меценаты и патроны Друзья Пушкинского Фонд Пушкинского Мероприятия Online пожертвование Волонтёры Пушкинского Документы Деятельность Научная и просветительская Издательская Выставочная Археологическая Музыкальная ИТ-развитие и инновации Социальная инклюзия Пресс-центр Контакты Вакансии Использование материалов и изображений Поиск владельцев произведений Cпланировать визит Билеты и льготы Режим работы и адреса зданий музея Экскурсии, события, программы Правила посещения и рекомендации Посетителям с инвалидностью Магазин Шедевры Живопись Графика Скульптура Прикладное искусство Древний Восток Искусство и археология Античного мира Нумизматика Художественная фотография Коллекция слепков Коллекция и электронные публикации отдела визуальной информации Онлайн-словарь фотографических техник Виртуальный Пушкинский Электронные коллекции Пушкинский для всех Специальные проекты Музей на других ресурсах Интернета Видеоканал Подкасты Аудио- и медиагиды Тесты и игры 3D-реконструкции и моделирование Пушкинский XXI Контексты. Фотографы о себе и фотографии Научная работа Научные мероприятия Лекционный сезон 2025–2026 Молодежное направление «Пушкинский.Ю» Детский центр «Мусейон» Академия Пушкинского Издания Научная библиотека Реставрация Археология Медиатека Сотрудничество с вузами и практика в музее Внимание Рекомендации для посетителей с электронными билетами Музей История музея Здания Музейный квартал Отделы Филиалы Руководство Поддержи музей Документы Деятельность Пресс-центр Контакты Вакансии Использование материалов и изображений Поиск владельцев произведений Посетителям Cпланировать визит Билеты и льготы Режим работы и адреса зданий музея Экскурсии, события, программы Правила посещения и рекомендации Посетителям с инвалидностью Магазин Выставки и события Коллекции Шедевры Живопись Графика Скульптура Прикладное искусство Древний Восток Искусство и археология Античного мира Нумизматика Художественная фотография Коллекция слепков Коллекция и электронные публикации отдела визуальной информации Онлайн-словарь фотографических техник Медиа Виртуальный Пушкинский Электронные коллекции Пушкинский для всех Специальные проекты Музей на других ресурсах Интернета Видеоканал Подкасты Аудио- и медиагиды Тесты и игры 3D-реконструкции и моделирование Пушкинский XXI Контексты. Фотографы о себе и фотографии Наука и образование Научная работа Научные мероприятия Лекционный сезон 2025–2026 Молодежное направление «Пушкинский.Ю» Детский центр «Мусейон» Академия Пушкинского Издания Научная библиотека Реставрация Археология Медиатека Сотрудничество с вузами и практика в музее Обычная версия Контрастная версия Крупный шрифт • контрастные цвета • скрыть картинки РУС ENG OK VKontakte TripAdviser Telegram Яндекс Цзен RuTube Max © Государственный музей изобразительных искусств им. А.С. Пушкина поиск Aa EN поделиться «Московский Витрувий» в ГМИИ им. А.С. Пушкина 27 янв - 31 май 2026 Все Выставки Главное здание Зал 7 (Византийское искусство. Искусство Италии VIII–XVI веков) Купить билет Программа экскурсий Стать другом Поделиться Доступно по Пушкинской карте Узнать больше Правила посещения Государственный музей изобразительных искусств имени А.С. Пушкина подвел итоги пятилетнего исследовательского проекта «Московский Витрувий». Он посвящен старейшей итальянской книге в собрании музея — экземпляру «Десяти книг об архитектуре» Марка Витрувия Поллиона. Результаты проекта легли в основу двухтомной иллюстрированной монографии, изданной в декабре 2025 года. Оригинал трактата XVI века, впервые покинувший библиотечное фондохранилище, экспонируется в окружении других шедевров в зале византийского искусства и искусства Италии VIII–XVI веков. Подробнее о проекте Главным результатом исследовательского проекта, проводившегося в 2020–2024 годах, стало определение автора записей и рисунков на полях книги, что утвердило за экспонатом статус уникального памятника эпохи Возрождения. Эксперты установили, что записи принадлежат выдающемуся ученому XVI века — венецианскому гуманисту Даниэле Барбаро. Он был послом Венецианской республики на Британских островах, избранным патриархом Аквилеи, а его портреты писали Тициан и Вероне",yes,"Пушкина Рекомендации для посетителей с электронными билетами поиск найти Билеты Внимание Рекомендации для посетителей с электронными билетами Aa Версии сайта Обычная версия Контрастная версия Крупный шрифт • контрастные цвета • скрыть картинки РУС РУС ENG ITA GER FRA ESP 中文 日本 поделиться Поделиться Музей в соцсетях OK VKontakte TripAdviser Telegram Яндекс Цзен RuTube Max 1 Музей Посетителям Выставки и события Коллекции Медиа Наука и образование История музея История коллекций Цветаевская коллекция Сайт Ирины Антоновой Архив выставок Здания Главное здание Галерея искусства стран Европы и Америки Мемориальная квартира Святослава Рихтера Мусейон Учебный музей (РГГУ) Мастерская Эдуарда Штейнберга Музейный квартал Отделы Филиалы Нижний Новгород Томск Руководство Поддержи музей Попечительский совет Спонсоры и партнеры Меценаты и патроны Друзья Пушкинского Фонд Пушкинского Мероприятия Online пожертвование Волонтёры Пушкинского Документы Деятельность Научная и просветительская Издательская Выставочная Археологическая Музыкальная ИТ-развитие и инновации Социальная инклюзия Пресс-центр Контакты Вакансии Использование материалов и изображений Поиск владельцев произведений Cпланировать визит Билеты и льготы Режим работы и адреса зданий музея Экскурсии, события, программы Правила посещения и рекомендации Посетителям с инвалидностью Магазин Шедевры Живопись Графика Скульптура Прикладное искусство Древний Восток Искусство и археология Античного мира Нумизматика Художественная фотография Коллекция слепков Коллекция и электронные публикации отдела визуальной информации Онлайн-словарь фотографических техник Виртуальный Пушкинский Электронные коллекции Пушкинский для всех Специальные проекты Музей на других ресурсах Интернета Видеоканал Подкасты Аудио- и медиагиды Тесты и игры 3D-реконструкции и моделирование Пушкинский XXI Контексты.",USA,
Pushkin Museum,Немолчный напев. К 100-летию со дня рождения Александры Лукашевкер. Вышивки из фондов ГМИИ им. А.С. Пушкина,Немолчный напев. К 100-летию со дня рождения Александры Лукашевкер. Вышивки из фондов ГМИИ им. А.С. Пушкина 20 января – 22 марта 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2026/exhibitions/lukashevker/index.php?lang=ru,,"Немолчный напев Рекомендации для посетителей с электронными билетами поиск найти Билеты Внимание Рекомендации для посетителей с электронными билетами Aa Версии сайта Обычная версия Контрастная версия Крупный шрифт • контрастные цвета • скрыть картинки РУС РУС ENG ITA GER FRA ESP 中文 日本 поделиться Поделиться Музей в соцсетях OK VKontakte TripAdviser Telegram Яндекс Цзен RuTube Max 1 Музей Посетителям Выставки и события Коллекции Медиа Наука и образование История музея История коллекций Цветаевская коллекция Сайт Ирины Антоновой Архив выставок Здания Главное здание Галерея искусства стран Европы и Америки Мемориальная квартира Святослава Рихтера Мусейон Учебный музей (РГГУ) Мастерская Эдуарда Штейнберга Музейный квартал Отделы Филиалы Нижний Новгород Томск Руководство Поддержи музей Попечительский совет Спонсоры и партнеры Меценаты и патроны Друзья Пушкинского Фонд Пушкинского Мероприятия Online пожертвование Волонтёры Пушкинского Документы Деятельность Научная и просветительская Издательская Выставочная Археологическая Музыкальная ИТ-развитие и инновации Социальная инклюзия Пресс-центр Контакты Вакансии Использование материалов и изображений Поиск владельцев произведений Cпланировать визит Билеты и льготы Режим работы и адреса зданий музея Экскурсии, события, программы Правила посещения и рекомендации Посетителям с инвалидностью Магазин Шедевры Живопись Графика Скульптура Прикладное искусство Древний Восток Искусство и археология Античного мира Нумизматика Художественная фотография Коллекция слепков Коллекция и электронные публикации отдела визуальной информации Онлайн-словарь фотографических техник Виртуальный Пушкинский Электронные коллекции Пушкинский для всех Специальные проекты Музей на других ресурсах Интернета Видеоканал Подкасты Аудио- и медиагиды Тесты и игры 3D-реконструкции и моделирование Пушкинский XXI Контексты. Фотографы о себе и фотографии Научная работа Научные мероприятия Лекционный сезон 2025–2026 Молодежное направление «Пушкинский.Ю» Детский центр «Мусейон» Академия Пушкинского Издания Научная библиотека Реставрация Археология Медиатека Сотрудничество с вузами и практика в музее Внимание Рекомендации для посетителей с электронными билетами Музей История музея Здания Музейный квартал Отделы Филиалы Руководство Поддержи музей Документы Деятельность Пресс-центр Контакты Вакансии Использование материалов и изображений Поиск владельцев произведений Посетителям Cпланировать визит Билеты и льготы Режим работы и адреса зданий музея Экскурсии, события, программы Правила посещения и рекомендации Посетителям с инвалидностью Магазин Выставки и события Коллекции Шедевры Живопись Графика Скульптура Прикладное искусство Древний Восток Искусство и археология Античного мира Нумизматика Художественная фотография Коллекция слепков Коллекция и электронные публикации отдела визуальной информации Онлайн-словарь фотографических техник Медиа Виртуальный Пушкинский Электронные коллекции Пушкинский для всех Специальные проекты Музей на других ресурсах Интернета Видеоканал Подкасты Аудио- и медиагиды Тесты и игры 3D-реконструкции и моделирование Пушкинский XXI Контексты. Фотографы о себе и фотографии Наука и образование Научная работа Научные мероприятия Лекционный сезон 2025–2026 Молодежное направление «Пушкинский.Ю» Детский центр «Мусейон» Академия Пушкинского Издания Научная библиотека Реставрация Археология Медиатека Сотрудничество с вузами и практика в музее Обычная версия Контрастная версия Крупный шрифт • контрастные цвета • скрыть картинки РУС ENG OK VKontakte TripAdviser Telegram Яндекс Цзен RuTube Max © Государственный музей изобразительных искусств им. А.С. Пушкина поиск Aa EN поделиться Немолчный напев К 100-летию со дня рождения Александры Лукашевкер. Вышивки из фондов ГМИИ им. А.С. Пушкина 20 янв - 22 мар 2026 Все Выставки Главное здание Белый пол (площадка перед залом 7) Купить билет Стать другом Поделиться Доступно по Пушкинской карте Узнать больше Правила посещения Государственный музей изобразительных искусств имени А.С. Пушкина представляет выставку «Немолчный напев. К 100-летию со дня рождения Александры Лукашевкер. Вышивки из фондов ГМИИ им. А.С. Пушкина». Экспозиция включает вышивки-миниатюры художника-монументалиста, живописца и графика XX века Александры Лукашевкер, произведения которой отличают внимание к деталям, свобода в обращении с цветом и умение точно передавать натуру. Она вошла в историю искусства благодаря изобретенной ею технике «живописи нитью». Подробнее о выставке Творчество Александры Лукашевкер (1925–1992) показало, что вышивку можно рассматривать как самостоятельную художественную технику, а современники называли открытием ее умение использовать стежок как красочный мазок. Миниатюрные вышитые пейзажи Лукашевкер при всей декоративности сопоставимы с живописными картинами, в которых нетрудно различить оттенки настроения и смысла, переживание цвета в натуре, в атмосфере. Художница мастерски обыгрывала пространство внутри вышивки, привнося в нее глубину и объем. Экспозиция включа",yes,"Пушкина Немолчный напев Рекомендации для посетителей с электронными билетами поиск найти Билеты Внимание Рекомендации для посетителей с электронными билетами Aa Версии сайта Обычная версия Контрастная версия Крупный шрифт • контрастные цвета • скрыть картинки РУС РУС ENG ITA GER FRA ESP 中文 日本 поделиться Поделиться Музей в соцсетях OK VKontakte TripAdviser Telegram Яндекс Цзен RuTube Max 1 Музей Посетителям Выставки и события Коллекции Медиа Наука и образование История музея История коллекций Цветаевская коллекция Сайт Ирины Антоновой Архив выставок Здания Главное здание Галерея искусства стран Европы и Америки Мемориальная квартира Святослава Рихтера Мусейон Учебный музей (РГГУ) Мастерская Эдуарда Штейнберга Музейный квартал Отделы Филиалы Нижний Новгород Томск Руководство Поддержи музей Попечительский совет Спонсоры и партнеры Меценаты и патроны Друзья Пушкинского Фонд Пушкинского Мероприятия Online пожертвование Волонтёры Пушкинского Документы Деятельность Научная и просветительская Издательская Выставочная Археологическая Музыкальная ИТ-развитие и инновации Социальная инклюзия Пресс-центр Контакты Вакансии Использование материалов и изображений Поиск владельцев произведений Cпланировать визит Билеты и льготы Режим работы и адреса зданий музея Экскурсии, события, программы Правила посещения и рекомендации Посетителям с инвалидностью Магазин Шедевры Живопись Графика Скульптура Прикладное искусство Древний Восток Искусство и археология Античного мира Нумизматика Художественная фотография Коллекция слепков Коллекция и электронные публикации отдела визуальной информации Онлайн-словарь фотографических техник Виртуальный Пушкинский Электронные коллекции Пушкинский для всех Специальные проекты Музей на других ресурсах Интернета Видеоканал Подкасты Аудио- и медиагиды Тесты и игры 3D-реконструкции и моделирование Пушкинский XXI Контексты.",USA,
