museum,title,raw_text,year,period,url,text_to_analyze,category
Pushkin Museum,Беатриса Сандомирская. 1894–1974,Беатриса Сандомирская. 1894–1974 07 апреля – 21 июня 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2026/exhibitions/beatrissa_sandomirskaya/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина открывает выставку «Беатриса Сандомирская. 1894–1974» — первую за 60 лет экспозицию, посвященную творчеству выдающегося скульптора. Выставка объединит произведения из собраний музеев России и Армении и впишет наследие Сандомирской в контекст мирового искусства. Образный язык Сандомирской сформировался под влиянием российской скульптурной школы. Но своими учителями она считала не только Сергея Волнухина и Сергея Конёнкова, но и Казимира Малевича. Памятник Робеспьеру работы Сандомирской стал одним из самых обсуждаемых монументов в первые годы советской власти. Беатриса Юрьевна организовывала Государственные свободные художественные мастерские (ГСХМ) в Оренбурге и Туркестане, участвовала в деятельности Общества русских скульпторов (ОРС). Самобытность творчества Сандомирской во многом объясняется глубокой погруженностью в миров",национальное российское искусство
Pushkin Museum,Медали Ефима Харабета. Новое поступление в собрание отдела нумизматики ГМИИ им. А.С. Пушкина,Медали Ефима Харабета. Новое поступление в собрание отдела нумизматики ГМИИ им. А.С. Пушкина 24 марта – 31 мая 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2026/exhibitions/medali_efima_harabeta._novoe_postuplenie_v_sobranie_otdela_numizmatiki_gmii_im._a.s._pushkina/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина представляет выставку «Медали Ефима Харабета. Новое поступление в собрание отдела нумизматики ГМИИ им. А.С. Пушкина». Музей получил в дар 41 произведение Ефима Викторовича Харабета (1929–2004), выдающегося мастера медальерного искусства. Эти памятники ранее хранились в семье художника. На выставке будет показано 19 предметов, относящихся к советскому периоду его творчества. Переданные в музей работы имеют особую ценность: большинство медалей мастер создавал не для широкого распространения, а как уникальные произведения, которые он дарил родственникам и друзьям. Подробнее о выставке Ефим Харабет, грек по происхождению, был художником-самоучкой. Однако его талант позволил ему выработать неповторимый стиль. Переданные в музей работы особенно ценны: в отличие от многих скульпторов и медальеров, Харабет не сотрудничал с монетн",национальное российское искусство
Pushkin Museum,«Московский Витрувий» в ГМИИ им. А.С. Пушкина,«Московский Витрувий» в ГМИИ им. А.С. Пушкина 27 января – 31 мая 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2026/exhibitions/moscow_vitruvius/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина подвел итоги пятилетнего исследовательского проекта «Московский Витрувий». Он посвящен старейшей итальянской книге в собрании музея — экземпляру «Десяти книг об архитектуре» Марка Витрувия Поллиона. Результаты проекта легли в основу двухтомной иллюстрированной монографии, изданной в декабре 2025 года. Оригинал трактата XVI века, впервые покинувший библиотечное фондохранилище, экспонируется в окружении других шедевров в зале византийского искусства и искусства Италии VIII–XVI веков. Подробнее о проекте Главным результатом исследовательского проекта, проводившегося в 2020–2024 годах, стало определение автора записей и рисунков на полях книги, что утвердило за экспонатом статус уникального памятника эпохи Возрождения. Эксперты установили, что записи принадлежат выдающемуся ученому XVI века — венецианскому гуманисту Даниэле Барбаро. Он был посл",восточное искусство
Pushkin Museum,Немолчный напев. К 100-летию со дня рождения Александры Лукашевкер. Вышивки из фондов ГМИИ им. А.С. Пушкина,Немолчный напев. К 100-летию со дня рождения Александры Лукашевкер. Вышивки из фондов ГМИИ им. А.С. Пушкина 20 января – 22 марта 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2026/exhibitions/lukashevker/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина представляет выставку «Немолчный напев. К 100-летию со дня рождения Александры Лукашевкер. Вышивки из фондов ГМИИ им. А.С. Пушкина». Экспозиция включает вышивки-миниатюры художника-монументалиста, живописца и графика XX века Александры Лукашевкер, произведения которой отличают внимание к деталям, свобода в обращении с цветом и умение точно передавать натуру. Она вошла в историю искусства благодаря изобретенной ею технике «живописи нитью». Подробнее о выставке Творчество Александры Лукашевкер (1925–1992) показало, что вышивку можно рассматривать как самостоятельную художественную технику, а современники называли открытием ее умение использовать стежок как красочный мазок. Миниатюрные вышитые пейзажи Лукашевкер при всей декоративности сопоставимы с живописными картинами, в которых нетрудно различить оттенки настроения и смысла, пе",западное искусство
Pushkin Museum,Прекрасные чудовища,Прекрасные чудовища 16 декабря 2025 – 01 марта 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/beautiful_monsters/index.php?lang=ru,"Государственный музей изобразительных искусств имени А. С. Пушкина представляет выставку «Прекрасные чудовища». Проект обращается к теме экзотических животных в творчестве европейских художников разных времен: Альбрехта Дюрера, Джованни Баттисты Пиранези и других. Выставка объединит произведения XVI–XX веков из собрания Пушкинского музея: графику, живопись, декоративно-прикладное искусство и видео-арт. Многие работы покинут запасники музея и будут показаны широкой аудитории впервые. Подробнее о выставке Центральное место экспозиции занимают произведения XVI–XVIII веков, которые позволяют проследить, как менялось восприятие носорогов, слонов и других невиданных в Европе животных. У художников не было возможности увидеть их своими глазами, поэтому мастера, пользуясь только обрывочными сведениями, слухами и зарисовками, наделяли этих зверей фантастическими чертами. Один из разделов выставки посвящен феномену кунсткамер. С развитием знаний диковинные животные постепенно стано",западное искусство
Pushkin Museum,Марк Шагал. Радость земного притяжения,Марк Шагал. Радость земного притяжения 11 декабря 2025 – 15 марта 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/marc_chagall/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина впервые за четыре десятилетия представит в стенах музея масштабный проект — моновыставку «Марк Шагал. Радость земного притяжения». Основу экспозиции составят произведения «русского периода» (конец 1900-х — 1922) — одного из самых насыщенных и важных в творчестве художника. Проект предлагает по-новому открыть для себя искусство Марка Шагала, который даже в эмиграции продолжал возвращаться в своем творчестве на родину. Подробнее о выставке Произведения из отечественных музейных и частных собраний будут сопровождаться цитатами из автобиографической книги Марка Шагала «Моя жизнь». Литературный комментарий поможет зрителям понять, что скрыто за знакомыми образами летящих влюбленных и витебских улиц, и увидеть картины великого мастера XX века такими, какими их задумывал сам автор. Годы, проведенные на родине, стали очень плодотворными и в",национальное российское искусство
Pushkin Museum,Августейшие. Куклы,Августейшие. Куклы 02 декабря 2025 – 09 марта 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/dolls/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина представляет выставку «Августейшие. Куклы», посвященную образу детства во второй половине XIX — начале ХХ века. Экспозиция расскажет о том, как в этот период кукла приобрела статус произведения искусства. Выставка включает редкие детские вещи и игрушки с более чем вековой историей. Подробнее о выставке В эпоху Просвещения кардинально изменились представления о значении детства и воспитании ребенка. XIX столетие стало Золотым веком кукол и активного развития производства игрушек в целом. Куклы приобрели собственную типологию, их облик соответствовал модным тенденциям, они стали предметом коллекционирования. Объекты для игры превратились в символы определенных идеалов, традиций и стилей, отражающие процесс изменения в восприятии детства и воспитания ребенка, формирования моды и ценностей общества. Первые художествен",западное искусство
Pushkin Museum,Пантикапей. Из прошлого в будущее. 80 лет Боспорской (Пантикапейской) археологической экспедиции ГМИИ им. А.С. Пушкина,Пантикапей. Из прошлого в будущее. 80 лет Боспорской (Пантикапейской) археологической экспедиции ГМИИ им. А.С. Пушкина 16 ноября 2025 – 01 марта 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/pantikapeion/index.php?lang=ru,"Давайте познакомимся Доступно по Пушкинской карте Узнать больше Правила посещения Государственный музей изобразительных искусств имени А.С. Пушкина в 2025 году отмечает 80-летие Боспорской археологической экспедиции, одной из важнейших в стране, и представляет выставку «Пантикапей. Из прошлого в будущее». Первый сезон экспедиции состоялся летом 1945 года в Керчи, на городище Пантикапей — в столице Боспорского царства и, как позднее доказал руководитель экспедиции Владимир Толстиков, самом древнем непрерывно существующем городе на территории современной России. Почти все, что сейчас известно о Пантикапее, — результат работы ГМИИ им. А.С. Пушкина. Открытия, сделанные в ходе многолетних исследований экспедиции, будут представлены на выставке в Волго-Вятском филиале Пушкинского музея в Нижнем Новгороде . Проект значим не только как дань уважения основателям экспедиции, но и как отражение вклада экспедиции в историческую науку. Выставка наглядно демонстрируе",восточное искусство
Pushkin Museum,От рассвета до заката: византийские монеты из коллекции Г.А. Щетинина,От рассвета до заката: византийские монеты из коллекции Г.А. Щетинина 11 ноября 2025 – 18 января 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/byzantine_coins/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина представляет выставку «От рассвета до заката: византийские монеты из коллекции Г.А. Щетинина». На ней впервые будут показаны золотые и серебряные монеты из коллекции Герольда Александровича Щетинина, созданные в период от времени правления Константина I (306–337) до царствования Иоанна VIII Палеолога (1425–1448) — некоторым экспонатам уже более 1500 лет. Эти монеты являются свидетельствами как повседневной жизни византийцев, так и тех глубинных процессов и сдвигов, которые происходили в экономике и политике Византийской империи на всем протяжении ее существования. Они принадлежат к важнейшим источникам по политической, религиозной и духовной истории Византийского государства. Подробнее о выставке Большая часть экспонатов — золотые монеты различных хронологических периодов, чеканка которых впервые началась около 308–309 годов. Неизменный ве",национальное российское искусство
Pushkin Museum,Благороднейшие из тканей. Западноевропейские шпалеры XVI–XVIII веков,Благороднейшие из тканей. Западноевропейские шпалеры XVI–XVIII веков 30 сентября – 04 ноября 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/european_tapestry/index.php?lang=ru,"Государственный музей изобразительных искусств имени А.С. Пушкина представляет выставку «Благороднейшие из тканей. Западноевропейские шпалеры XVI–XVIII веков», демонстрирующую редкие и значительные в художественном отношении образцы «тканых картин» фламандских и французских мастеров из нашего собрания. Экспозиция позволяет проследить эволюцию этого искусства: от разнообразных по тематике южнонидерландских шпалер XVI века до произведений французского «большого стиля» XVII и XVIII столетий, созданных в парижских мастерских и на знаменитой Королевской мануфактуре Гобеленов. В экспозиции представлены девять шпалер — настенных безворсовых ковров с сюжетными композициями, служивших украшением светских и церковных интерьеров. Выставка дает представление о жанровом разнообразии шпалерного искусства XVI–XVIII веков, знакомит с художественными особенностями продукции крупнейших производственных центров и отдельных мастерских. Подро",западное искусство
