museum,title,raw_text,year,period,url
Pushkin Museum,Беатриса Сандомирская. 1894–1974,Беатриса Сандомирская. 1894–1974 07 апреля – 21 июня 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2026/exhibitions/beatrissa_sandomirskaya/index.php?lang=ru
Pushkin Museum,Медали Ефима Харабета. Новое поступление в собрание отдела нумизматики ГМИИ им. А.С. Пушкина,Медали Ефима Харабета. Новое поступление в собрание отдела нумизматики ГМИИ им. А.С. Пушкина 24 марта – 31 мая 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2026/exhibitions/medali_efima_harabeta._novoe_postuplenie_v_sobranie_otdela_numizmatiki_gmii_im._a.s._pushkina/index.php?lang=ru
Pushkin Museum,«Московский Витрувий» в ГМИИ им. А.С. Пушкина,«Московский Витрувий» в ГМИИ им. А.С. Пушкина 27 января – 31 мая 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2026/exhibitions/moscow_vitruvius/index.php?lang=ru
Pushkin Museum,Немолчный напев. К 100-летию со дня рождения Александры Лукашевкер. Вышивки из фондов ГМИИ им. А.С. Пушкина,Немолчный напев. К 100-летию со дня рождения Александры Лукашевкер. Вышивки из фондов ГМИИ им. А.С. Пушкина 20 января – 22 марта 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2026/exhibitions/lukashevker/index.php?lang=ru
Pushkin Museum,Прекрасные чудовища,Прекрасные чудовища 16 декабря 2025 – 01 марта 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/beautiful_monsters/index.php?lang=ru
Pushkin Museum,Марк Шагал. Радость земного притяжения,Марк Шагал. Радость земного притяжения 11 декабря 2025 – 15 марта 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/marc_chagall/index.php?lang=ru
Pushkin Museum,Августейшие. Куклы,Августейшие. Куклы 02 декабря 2025 – 09 марта 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/dolls/index.php?lang=ru
Pushkin Museum,Пантикапей. Из прошлого в будущее. 80 лет Боспорской (Пантикапейской) археологической экспедиции ГМИИ им. А.С. Пушкина,Пантикапей. Из прошлого в будущее. 80 лет Боспорской (Пантикапейской) археологической экспедиции ГМИИ им. А.С. Пушкина 16 ноября 2025 – 01 марта 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/pantikapeion/index.php?lang=ru
Pushkin Museum,От рассвета до заката: византийские монеты из коллекции Г.А. Щетинина,От рассвета до заката: византийские монеты из коллекции Г.А. Щетинина 11 ноября 2025 – 18 января 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/byzantine_coins/index.php?lang=ru
Pushkin Museum,Благороднейшие из тканей. Западноевропейские шпалеры XVI–XVIII веков,Благороднейшие из тканей. Западноевропейские шпалеры XVI–XVIII веков 30 сентября – 04 ноября 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/european_tapestry/index.php?lang=ru
Pushkin Museum,Выбор Марины Бессоновой,Выбор Марины Бессоновой 23 сентября 2025 – 01 февраля 2026,2026,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/marina_bessonova/index.php?lang=ru
Pushkin Museum,"Рисунок Гверчино «Иаков, благословляющий сыновей Иосифа»","Рисунок Гверчино «Иаков, благословляющий сыновей Иосифа» 16 сентября – 19 октября 2025",2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/guercino_jacob/index.php?lang=ru
Pushkin Museum,Курс на Север,Курс на Север 28 августа – 19 октября 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/north/index.php?lang=ru
Pushkin Museum,Новые шедевры Пушкинского. Выставка одного произведения,Новые шедевры Пушкинского. Выставка одного произведения 08 июля – 14 сентября 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/new_masterpieces/index.php?lang=ru
Pushkin Museum,Не только Брейгель. Нидерландская гравюра XVI века из собраний Москвы и Санкт-Петербурга,Не только Брейгель. Нидерландская гравюра XVI века из собраний Москвы и Санкт-Петербурга 01 июля – 09 ноября 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/notonlybreugel/index.php?lang=ru
Pushkin Museum,Подвиг музея. к 80-летию Победы в Великой Отечественной войне,Подвиг музея. к 80-летию Победы в Великой Отечественной войне 24 апреля – 07 сентября 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/museum_act_of_bravery/index.php?lang=ru
Pushkin Museum,Французский рисунок. первой половины — середины XIX века из собрания ГМИИ им. А.С. Пушкина,Французский рисунок. первой половины — середины XIX века из собрания ГМИИ им. А.С. Пушкина 08 апреля – 10 августа 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/french_drawing/index.php?lang=ru
Pushkin Museum,Сокровищница графики. Гравюрный кабинет в первой четверти XX века,Сокровищница графики. Гравюрный кабинет в первой четверти XX века 18 марта – 15 июня 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/graphics/index.php?lang=ru
Pushkin Museum,К 100-летию Картинной галереи ГМИИ им. А.С. Пушкина,К 100-летию Картинной галереи ГМИИ им. А.С. Пушкина 11 марта – 06 июля 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/gallery100/index.php?lang=ru
Pushkin Museum,Возвращение воина. Уникальная италийская фреска IV века до н.э. из собрания Воронежского областного художественного музея имени И.Н Крамского,Возвращение воина. Уникальная италийская фреска IV века до н.э. из собрания Воронежского областного художественного музея имени И.Н Крамского 04 февраля – 30 марта 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2025/exhibitions/return_of_a_warrior/index.php?lang=ru
Pushkin Museum,Неизвестный Щукин. Не только новое искусство,Неизвестный Щукин. Не только новое искусство 26 ноября 2024 – 16 марта 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2024/exhibitions/shchukin/index.php?lang=ru
Pushkin Museum,Вокруг Кармен,Вокруг Кармен 21 ноября 2024 – 22 февраля 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2024/exhibitions/carmen/index.php?lang=ru
Pushkin Museum,От слепка до пикселя. Искусство через призму данных,От слепка до пикселя. Искусство через призму данных 20 ноября 2024 – 09 февраля 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2024/exhibitions/cast_to_pixel/index.php?lang=ru
Pushkin Museum,Встреча двух шедевров Фрагонара,Встреча двух шедевров Фрагонара 29 октября 2024 – 02 февраля 2025,2025,post_2022,https://pushkinmuseum.art/events/archive/2024/exhibitions/fragonard/index.php?lang=ru
