museum,title,date_range,year,period,url,description
Tretyakov Gallery,Лаврушинский переулок: шедевры русского искусства XI – начала XX века,,2017,pre_2022,https://www.tretyakovgallery.ru/exhibitions/o/shedevry-russkogo-iskusstva-xi-nachala-xx-veka/,"В историческом здании, в котором располагалась коллекция основателя Галереи Павла Михайловича Третьякова (с 1856 года), можно увидеть постоянную экспозицию музея из более 1300 произведений русского искусства XI – начала ХХ века – от домонгольских икон и мозаик до пейзажной, портретной и исторической живописи, в том числе такие шедевры мирового значения, как «Спас Нерукотворный» (новгородская икона XII века) и «Явление Христа народу» Александра Иванова. Многогранно представлено творчество великих художников Василия Ивановича Сурикова, Василия Васильевича Верещагина, Ильи Ефимовича Репина, Валентина Александровича Серова и других."
Tretyakov Gallery,Архетипы авангарда,24 декабря 2025 — 7 июня 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/arkhetipy-avangarda/,"Важнейшее отличие авангарда от искусства предшествующих эпох – абсолютная свобода творческого самовыражения, отказ от академической и иной единой стилистической традиции, нежелание подчинять искусство социальной проблематике, фокус на индивидуализированное аутентичное творчество. Именно поэтому произведения авангардистов так сильно отличаются друг от друга. Художники не ставили целью отразить в творчестве внутренний мир, но, оказавшись освобожденными от внешних ограничений, проявили свою индивидуальность особенно ярко. На выставке представлены работы Казимира Малевича, Василия Кандинского, Александра Родченко, Наталии Гончаровой, Михаила Ларионова, Ильи Машкова, Аристарха Лентулова, Ольги Розановой, Георгия Якулова и других выдающихся мастеров авангарда. Взгляд через призму архетипов дает возможность проникнуть в творческое сознание художника на новом уровне. Он позволяет понять, какие психологические паттерны двигали мастером, почему он создавал именно такие работы, какова была мотивация и, таким образом, прийти к бол"
Tretyakov Gallery,Фокус-выставка «Матисс и Пикассо. Цвет и форма»,17 февраля 2026 — 31 мая 2026,2026,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/matiss-i-pikasso-tsvet-i-forma/,"Открытия Матисса и Пикассо дали импульс для творческого взлета художников русского авангарда начала ХХ века. Под знаком Анри Матисса проходило формирование художников объединения «Бубновый валет». Кубизм Пабло Пикассо разрушил привычное понимание изобразительной формы и дал возможность для совершенно иного анализа объёма, линии и света. Новации Матисса и Пикассо в области цвета и формы были с энтузиазмом восприняты Любовью Поповой, Надеждой Удальцовой, Александрой Экстер, Владимиром Татлиным, Казимиром Малевичем и другими мощными творческими индивидуальностями. Русские художники не копировали приемы французских современников, а использовали их открытия в области формы как инструменты для решения собственных художественных и даже философских задач – с"
Tretyakov Gallery,Эпоха Неизвестного. К 100-летию художника,16 декабря 2025 — 12 мая 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/epokha-neizvestnogo-k-100-letiyu-khudozhnika/,"Выставка дает наиболее полное представление о творчестве Эрнста Неизвестного и состоит из четырех разделов: «Война – это…», «Неизвестный в Манеже», «Гигантомахия», «Древо жизни», в которых экспонируются произведения скульптуры, графики и живописи из музейных и частных собраний. В 1999 году в Третьяковской галерее проходила выставка иллюстраций Эрнста Неизвестного к Книге Иова, но нынешний проект впервые раскрывает эволюцию художественного языка мастера. Посетители увидят такие работы, как «Мулатка» и «Портрет разнорабочей Бейсбары», «Орфей» (с 1994 года утверждена в качестве престижной награды телевизионной премии «ТЭФИ»), «Космонавт», «Женский торс» и многие другие. Выставка в Третьяковской галерее – это не только дань памяти выдающемуся скульптору, но и возможность заново открыть многогранное наследие Эрнста Неизвестного, чье творчество остается актуальным и в XXI веке. Поддержка проекта Информационная поддержка"
Tretyakov Gallery,Фото[графическое] путешествие,21 ноября 2025 — 20 апреля 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/foto-graficheskoe-puteshestvie/,"Диалог двух видов искусства отражает не только реальные впечатления, но и их интерпретации. Помимо предметов из собрания Галереи, зрители увидят избранные работы участников конкурса мобильной фотографии HUAWEI XMAGE, проекта, который призван объединить современных любителей фотопутешествий. На выставке собраны графические работы русских художников Бориса Григорьева, Алексея Кравченко, Александра Куприна, Михаила Ларионова, Лазаря Лисицкого, Роберта Фалька, Николая Ульянова и других"
Tretyakov Gallery,Арктика. Полюс цвета,12 декабря 2025 — 19 апреля 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/arktika-polyus-tsveta/,"Экспозиция, охватывающая период с XVIII века до современности, отражает эволюцию восприятия северного края: от романтизированных образов до документальных свидетельств освоения региона и современных художественных интерпретаций. В состав выставки вошло более 130 произведений разных жанров и техник. В экспозиции представлены живопись, графика, скульптура, фотография, этнографические артефакты и мультимедийные инсталляции. Среди экспонатов – миниатюрные костяные иконы XVIII–XIX веков, работы первых художников-путешественников по Арктике – Александра Борисова и Константина Коровина, а также произведения советских и современных авторов, включая участников полярных экспедиций: Фёдора Решетникова, Митрофана Берингова и Игоря Рубана. Отдельный раздел выставки посвящён современным художникам и тому, как они продолжают тему художественного освоения Арктики в XXI веке. Здесь будет рассказано о путешествиях Леонида Тишкова, Аркадия Насонова, Фёдора Конюхова и Александра Пономарёва. Особое внимание уделено творчеству ненецких художников – Тыко Вылки и Константина Панкова, чьи работы отражают аутентичный взгляд на Арктику. Фотографические разделы выстав"
Tretyakov Gallery,Братья Чернецовы. К новым берегам,25 декабря 2025 — 12 апреля 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/bratya-chernetsovy-k-novym-beregam/,"На выставке, приуроченной к 220-летию со дня рождения Никанора Чернецова, можно увидеть около 30 живописных и графических произведений, как известных, так и редко покидающих фонды Галереи, выполненных братьями в разные периоды жизни. Небольшая, но разноплановая экспозиция раскрывает многогранность творчества двух незаурядных виртуозных мастеров XIX столетия, внесших существенный вклад в историю отечественного искусства. Григорий Чернецов (1802–1865) – блистательный пейзажист, придворный художник, прославившийся масштабными изображениями парадов и торжеств. Никанор Чернецов (1805–1879) известен пейзажными работами. Успешно обращались оба живописца и к жанру интерьера. На протяжении многолетней творческой деятельности Чернецовы стремились «быть полезными себе и отечеству, обретя честь и существование в памяти потомства». Главной же страстью братье"
Tretyakov Gallery,Владимир Немухин. Игра в абстракцию,11 ноября 2025 — 15 марта 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/vladimir-nemukhin-k-100-letiyu-so-dnya-rozhdeniya/,"Выставка, приуроченная к 100-летию мастера, охватывает все этапы его творческого пути – от ранних работ конца 1950-х до произведений 2000-х годов. В экспозицию вошло более 70 работ разных жанров: живопись, графика, а также редкие образцы декоративно-прикладного искусства, включая малотиражный фарфор. Особое место занимают скульптурные эксперименты художника: геометрические конструкции из дерева и мемориальные композиции-посвящения современникам раскрывают его поиски в области формы и пространства. Впервые представлены архивные материалы – личные документы, фотографии, письма, позволяющие глубже понять внутренний мир Немухина и проследить эволюцию его творчества. Владимир Немухин более 20 лет сотрудничал с Третьяковской галереей, способствуя формированию ее коллекции «неофициального» отечественного искусства. В 2006 году он вместе с правительством Москвы передал Галерее произведения своих друзей – Оскара Рабина, Лидии Мастерковой, Анатолия Зверева, Олега Целкова и других легендарных шестидесятник"
Tretyakov Gallery,Наследие эпохи. Михаил Савицкий,18 декабря 2025 — 1 марта 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/nasledie-epokhi-mikhail-savitskiy/,"Пройдя суровую школу жизни, будучи участником Великой Отечественной войны, узником концентрационных лагерей под номером 32815, Михаил Савицкий сумел создать эпическую пластическую поэму о жизни человека во всей её сложности, о подвиге и жертвенности, долге и предназначении. Тема Великой Отечественной войны стала ключевой в творчестве художника, определив драматический, пронзительный, но вместе с тем философский и гуманистический характер его произведений. На рубеже 80-х–90-х годов он первым из художников открыл для мирового искусства трагедию на Чернобыльской атомной электростанции. Савицкий решил сложную задачу: как передать разрушительную силу проникающей радиации, силу, которую нельзя ощутить физически. Последние двадцать лет творчества Михаила Савицкого пришлись на эпоху перемен. В этот период художник работал над циклом «Заповеди блаженства» и карт"
Tretyakov Gallery,Из Пекина в Москву: диалог культур,19 ноября 2025 — 23 февраля 2026,2025,post_2022,https://www.tretyakovgallery.ru/exhibitions/o/iz-pekina-v-moskvu-dialog-kultur/,"Масштабная выставка живописи и каллиграфии подготовлена совместно с Национальным музеем Китая и приурочена к 75-летию установления дипломатических отношений между Россией и Китаем, а также к успешному завершению перекрестных Годов культуры двух стран. Экспоз"
