period,word,tfidf_avg_score
before_2022,искусства,0.0385
before_2022,живописи,0.0263
before_2022,проекта,0.0247
before_2022,русского,0.0195
before_2022,проект,0.022
before_2022,мастера,0.0148
before_2022,россии,0.0204
before_2022,начала,0.0194
before_2022,годов,0.0122
before_2022,искусстве,0.0199
after_2022,искусства,0.0354
after_2022,живописи,0.0221
after_2022,проекта,0.0211
after_2022,русского,0.0213
after_2022,проект,0.0167
after_2022,мастера,0.0207
after_2022,россии,0.0143
after_2022,начала,0.0144
after_2022,годов,0.0193
after_2022,искусстве,0.0089
