museum,place,title,date_range,year,period,url,description
Русский музей,Михайловский (Инженерный) замок,Искусство как профессия. Собрание Майи и Анатолия Беккерман,9 июля 2014 – 1 сентября 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/art-as-a-profession-maya-collection-and-anatoly-beckerman,"На выставке в Русском музее представлено около 48 живописных и скульптурных произведений, в числе авторов которых - ведущие мастера русского искусства второй половины XIX - начала ХХ века: Б.И.Анисфельд, М.М.Антокольский, Д.Д.Бурлюк, Н.С.Гончарова, Б.Д.Григорьев, К.А.Коровин, С.Ю.Судейкин, Р.Р.Фальк..."
Русский музей,Михайловский (Инженерный) замок,Дмитрий Шувалов. 1932-2013,5 ноября 2014 – 1 декабря 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/dmitry-shuvalov-1932-2013,"Выставка знакомит с творчеством Заслуженного художника России Дмитрия Александровича Шувалова, многие годы отдавшего педагогической деятельности."
Русский музей,Михайловский дворец,Цветы и натюрморты Александра Бенуа Ди Стетто,6 июня 2014 – 22 июня 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/flowers-still-lifes-of-alexander-benois-stetto,"Имя Александра Бенуа ди Стетто (1896–1979), принадлежащего к прославленному художественному «клану» Бенуа-Серебряковых-Лансере, стало известно широкому зрителю совсем недавно. Это знакомство состоялось во многом благодаря выставочному проекту «Александр Бенуа ди Стетто. Возвращение в Россию», на..."
Русский музей,Летний сад,Россия из окна поезда,9 июня 2014 – 28 июня 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/russia-through-a-train-window,"«Россия из окна поезда» — это проект, известного фотографа Антона Ланге. Идея проекта заключается в представлении современного образа России, увиденного через объектив фотохудожника, путешествующего по железным дорогам нашей родины."
Русский музей,Мраморный дворец,Бумажная скульптура,18 июня 2014 – 1 сентября 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/paper-sculpture,"Новая выставка Русского музея представляет более ста скульптурных работ, выполненных из бумаги. Среди 60 авторов, принявших участие в выставке - скульпторы, живописцы, графики и дизайнеры из Петербурга и Москвы."
Русский музей,Мраморный дворец,Алексей Талащук. Живопись. Акварель. Эмаль,26 июня 2014 – 28 июля 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/alexey-talaschuk-painting-watercolor-enamel,"Экспозиция знакомит с живописными произведениями, акварелями и эмалями известного петербургского художника-монументалиста, президента СПбГХПА имени А.Л.Штиглица."
Русский музей,Строгановский дворец,Собрание Максима Кочерова,9 июля 2014 – 1 сентября 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/the-collection-of-maxim-kocherov,"Экспозицию составляют произведения отечественного и зарубежного искусства из собрания известного московского библиофила и коллекционера Максима Борисовича Кочерова. На выставке представлено более 15 древнерусских икон, а также образцы зарубежного прикладного искусства и картины европейских мастеров:..."
Русский музей,Мраморный дворец,Латиф Казбеков. Акварель,7 августа 2014 – 15 сентября 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/latif-kazbekov-watercolor,"Экспозицию составляют произведения известного современного петербургского художника - акварели и графические работы в авторской смешанной технике, выполненные в разные годы."
Русский музей,Мраморный дворец,Зураб Церетели. Возможные миры,28 мая 2014 – 11 августа 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/zurab-tsereteli-possible-worlds,"Выставка приурочена к 80-летию народного художника России и Грузии, президента Российской Академии художеств Зураба Константиновича Церетели."
Русский музей,Корпус Бенуа,Портрет семьи,13 августа 2014 – 27 октября 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/family-portrait,"Экспозиция включает более 200 произведений живописи, графики и скульптуры из собрания Русского музея, частных собраний и мастерских художников."
Русский музей,Мраморный дворец,Киноплакат из собрания Русского музея,10 сентября 2014 – 3 ноября 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/cinema-poster-from-the-collection-of-the-russian-museum,Выставка позволяет проследить развитие отечественного киноплаката первой трети ХХ века на примере более 100 экспонатов эпохи немого кино из собрания Русского музея.
Русский музей,Строгановский дворец,Григорий Потоцкий,17 сентября 2014 – 20 октября 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/gregory-pototsky,"Выставка знакомит с творчеством современного российского скульптора, получившего заслуженное признание на родине и за рубежом. Персональные выставки Григория Потоцкого проходили в разных городах России, а также в Молдавии, Германии, Франции, США, Швеции, Канаде, Швейцарии, Японии, Малайзии, на Филип..."
Русский музей,Михайловский (Инженерный) замок,Андрей Ефимович Мартынов (1768-1826),22 сентября 2014 – 3 ноября 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/andrey-yefimovich-martynov-1768-1826,"Экспозицию составляют более ста произведений Андрея Ефимовича Мартынова (1768-1826) - известного русского живописца, рисовальщика, акварелиста, гравёра и литографа, академика Императорской Академии художеств."
Русский музей,Мраморный дворец,За гранью предметности в русском искусстве второй половины ХХ века,24 сентября 2014 – 10 ноября 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/beyond-figurativism-in-the-russian-art-of-the-second-half-of-the-twentieth-century,"1960-70-е годы - период в отечественном искусстве, когда его представители, несогласные с эстетикой Академии художеств, самостоятельно искали другие пути и авторитеты в творчестве. Именно в это время на смену лидерам школ русского авангарда начала ХХ века (К.Малевич, П.Филонов, М.Матюшин и други..."
Русский музей,Летний сад,Фотопроект «Византийские маршруты Италии»,3 октября 2014 – 2 ноября 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/photo-project-byzantine-routes-italy,С 3 октября по 2 ноября 2014 в Кофейном домике Летнего сада в партнерстве с Ассоциацией АСЕВ и культурным фондом «Метрополи» был представлен фотопроект «Византийские маршруты Италии».
Русский музей,Мраморный дворец,Расим Бабаев,29 октября 2014 – 24 ноября 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/rasim-babayev,"Выставка знакомит с творчеством Расима Бабаева - художника, принадлежащего к плеяде выдающихся деятелей азербайджанского искусства. Творчество Бабаева проникнуто искренней любовью к своей стране, ее истории, фольклору и культуре."
Русский музей,Строгановский дворец,Ричард Мейер. Коллажи,30 октября 2014 – 3 декабря 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/richard-meyer-collages,Русский музей представляет выставку коллажей Ричарда Мейера - одного из самых известных и успешных современных архитекторов. Его называют самым последовательным американским модернистом в смысле приверженности чистым формам.
Русский музей,Корпус Бенуа,Валентин Сидоров. «Тихая моя Родина...»,3 сентября 2014 – 3 ноября 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/valentin-sidorov-quiet-my-homeland-,"Выставка знакомит с основными этапами творческого пути Валентина Михайловича Сидорова (род. 1928) – народного художника СССР (1988), народного художника Украины, действительного члена Российской академии художеств, председателя правления Союза художников России, члена Союза писателей..."
Русский музей,Мраморный дворец,Геннадий Мызников,21 мая 2014 – 16 июня 2014,2014,pre_2022,https://rusmuseum.ru/exhibitions/archive/gennady-myznikov,"Экспозиция персональной выставки, приуроченной к 80-летию известного московского живописца, народного художника России, члена-корреспондента Российской Академии художеств, объединяет портреты, натюрморты и сюжетные композиции, выполненные мастером в разные годы."
