title,year,url,text_to_analyze
Степан Эрьзя – скульптор мира. К 150-летию со дня рождения,2026,https://rusmuseum.ru/exhibitions/archive/stepan-erzya-skulptor-mira-k-150-letiyu-so-dnya-rozhdeniya/,"В Год единства народов России, в Михайловском (Инженерном) замке Русского музея открылась выставка «Степан Эрьзя — скульптор мира. К 150-летию со дня рождения». В экспозиции представлено около 60 произведений всемирно известного скульптора, «русского Родена» Степан..."
Эпоха Императора Александра III и её наследие,2025,https://rusmuseum.ru/exhibitions/archive/epokha-imperatora-aleksandra-iii-i-eye-nasledie/,В год 180-летия со дня рождения Императора Александра III (1845–1894) в Русском музее Фонд содействия возрождению традиций милосердия и благотворительности «Елисаветинско-Сергиевское просветительское общество» при поддержке Министерства культуры Российской Федерации открывает масштабный выставочный ...
Архип Куинджи. Иллюзия света,2025,https://rusmuseum.ru/exhibitions/archive/arkhip-kuindzhi-illyuziya-sveta/,"«Архип Куинджи. Иллюзия света» — масштабная выставка Архипа Куинджи, одного из самых ярких и загадочных художников в истории русской пейзажной живописи. Впервые за долгое время в Петербурге гений мастера предстанет перед зрителем в столь полном объёме, что позволит проследить вехи его творческого пу..."
Русская традиция,2025,https://rusmuseum.ru/exhibitions/archive/russkaya-traditsiya/,"Масштабная выставка «Русская традиция» в корпусе Бенуа представляет беспрецедентное количество экспонатов — свыше 650 произведений из собрания Русского музея. Шедевры живописи, уникальные костюмы, знаменитое кружево, редчайшие образцы крестецкой строчки и золотного шитья показаны..."
Наш авангард,2025,https://rusmuseum.ru/exhibitions/archive/nash-avangard/,"В Русском музее хранится уникальная по объему, качеству и разнообразию коллекция искусства авангарда. Среди ее отличительных черт — высокий художественный уровень произведений, репрезентативность основных тенденций искусства, полнота и пропорциональность количественного..."
Фёдор Васильев. К 175-летию со дня рождения,2025,https://rusmuseum.ru/exhibitions/archive/fyedor-vasilev-k-175-letiyu-so-dnya-rozhdeniya/,"Фёдор Александрович Васильев (1850–1873) относится к числу крупнейших мастеров русского пейзажа. На выставке зрители увидят как известные произведения мастера, так и малознакомые широкой публике работы из музейных фондов."
Василий Пушкарёв (1915–2002). Директор Русского музея в 1951–1977 годах,2026,https://rusmuseum.ru/exhibitions/archive/direktor-russkogo-muzeya-vasiliy-alekseevich-pushkarev-1915-2002/,"В Садовом вестибюле Михайловского дворца открыта выставка, посвящённая Василию Пушкарёву."
Русский декоративный поднос,2025,https://rusmuseum.ru/exhibitions/archive/russkiy-dekorativnyy-podnos/,"Русский музей представляет пятивековую историю одного из главных предметов прикладного искусства России. В состав выставки включены более 150 экспонатов XVII–XXI веков, демонстрирующих все разнообразие материалов, приемов украшения, имен выдающихся мастеров и известных художественных центров."
Виктор Васнецов. К 175-летию со дня рождения,2024,https://rusmuseum.ru/exhibitions/archive/viktor-vasnetsov-k-175-letiyu-so-dnya-rozhdeniya/,"В корпусе Бенуа Русского музея открыта первая за 30 лет ретроспективная юбилейная выставка «Виктор Васнецов. К 175-летию со дня рождения». На ней представлены такие известные былинно-сказочные полотна Васнецова как «Аленушка» (1881, ГТГ), «Иван-Царевич на сером волке» (1889, ГТГ), «К..."
Степан Эрьзя – скульптор мира. К 150-летию со дня рождения,2026,https://rusmuseum.ru/exhibitions/archive/stepan-erzya-skulptor-mira-k-150-letiyu-so-dnya-rozhdeniya/,"В Год единства народов России, в Михайловском (Инженерном) замке Русского музея открылась выставка «Степан Эрьзя — скульптор мира. К 150-летию со дня рождения». В экспозиции представлено около 60 произведений всемирно известного скульптора, «русского Родена» Степан..."
Эпоха Императора Александра III и её наследие,2025,https://rusmuseum.ru/exhibitions/archive/epokha-imperatora-aleksandra-iii-i-eye-nasledie/,В год 180-летия со дня рождения Императора Александра III (1845–1894) в Русском музее Фонд содействия возрождению традиций милосердия и благотворительности «Елисаветинско-Сергиевское просветительское общество» при поддержке Министерства культуры Российской Федерации открывает масштабный выставочный ...
Архип Куинджи. Иллюзия света,2025,https://rusmuseum.ru/exhibitions/archive/arkhip-kuindzhi-illyuziya-sveta/,"«Архип Куинджи. Иллюзия света» — масштабная выставка Архипа Куинджи, одного из самых ярких и загадочных художников в истории русской пейзажной живописи. Впервые за долгое время в Петербурге гений мастера предстанет перед зрителем в столь полном объёме, что позволит проследить вехи его творческого пу..."
Русская традиция,2025,https://rusmuseum.ru/exhibitions/archive/russkaya-traditsiya/,"Масштабная выставка «Русская традиция» в корпусе Бенуа представляет беспрецедентное количество экспонатов — свыше 650 произведений из собрания Русского музея. Шедевры живописи, уникальные костюмы, знаменитое кружево, редчайшие образцы крестецкой строчки и золотного шитья показаны..."
Наш авангард,2025,https://rusmuseum.ru/exhibitions/archive/nash-avangard/,"В Русском музее хранится уникальная по объему, качеству и разнообразию коллекция искусства авангарда. Среди ее отличительных черт — высокий художественный уровень произведений, репрезентативность основных тенденций искусства, полнота и пропорциональность количественного..."
Фёдор Васильев. К 175-летию со дня рождения,2025,https://rusmuseum.ru/exhibitions/archive/fyedor-vasilev-k-175-letiyu-so-dnya-rozhdeniya/,"Фёдор Александрович Васильев (1850–1873) относится к числу крупнейших мастеров русского пейзажа. На выставке зрители увидят как известные произведения мастера, так и малознакомые широкой публике работы из музейных фондов."
Василий Пушкарёв (1915–2002). Директор Русского музея в 1951–1977 годах,2026,https://rusmuseum.ru/exhibitions/archive/direktor-russkogo-muzeya-vasiliy-alekseevich-pushkarev-1915-2002/,"В Садовом вестибюле Михайловского дворца открыта выставка, посвящённая Василию Пушкарёву."
Русский декоративный поднос,2025,https://rusmuseum.ru/exhibitions/archive/russkiy-dekorativnyy-podnos/,"Русский музей представляет пятивековую историю одного из главных предметов прикладного искусства России. В состав выставки включены более 150 экспонатов XVII–XXI веков, демонстрирующих все разнообразие материалов, приемов украшения, имен выдающихся мастеров и известных художественных центров."
