period,word,tfidf_avg_score
before_2022,искусства,0.0236
before_2022,летию,0.0136
before_2022,живописи,0.0181
before_2022,дня,0.0119
before_2022,посвящена,0.0134
before_2022,представляет,0.021
before_2022,михайловского,0.0104
before_2022,россии,0.0161
before_2022,рождения,0.0107
before_2022,открылась,0.0067
after_2022,искусства,0.0248
after_2022,летию,0.0251
after_2022,живописи,0.0205
after_2022,дня,0.0226
after_2022,посвящена,0.0198
after_2022,представляет,0.0114
after_2022,михайловского,0.0209
after_2022,россии,0.015
after_2022,рождения,0.0182
after_2022,открылась,0.0215
